iter	RMSE
0	7.123754093
1	7.113158831
2	7.101716823
3	7.091226764
4	7.081015402
5	7.073530912
6	7.069603962
7	7.062006323
8	7.059216423
9	7.052958493
10	7.046077704
11	7.040091624
12	7.033741209
13	7.026430493
14	7.020453424
15	7.011796714
16	7.00576287
17	6.997964796
18	6.987440444
19	6.981186354
20	6.972296002
21	6.966408651
22	6.960814285
23	6.957223576
24	6.950963812
25	6.9446707
26	6.935115778
27	6.926168226
28	6.919999374
29	6.916133786
30	6.909550994
31	6.900619379
32	6.898702214
33	6.889784351
34	6.8869868
35	6.882010961
36	6.875243447
37	6.869091369
38	6.865937725
39	6.862487428
40	6.859853269
41	6.852434774
42	6.846173744
43	6.840127071
44	6.835983623
45	6.833847404
46	6.829244541
47	6.826252275
48	6.821304743
49	6.817116214
50	6.812007213
51	6.808265626
52	6.803734157
53	6.797803868
54	6.793888912
55	6.791202656
56	6.784355819
57	6.78053006
58	6.77650209
59	6.772276171
60	6.76812665
61	6.762388898
62	6.760117862
63	6.756626241
64	6.754192661
65	6.751254878
66	6.747422646
67	6.744255081
68	6.740090559
69	6.736306948
70	6.731526689
71	6.726351853
72	6.721141118
73	6.717880721
74	6.713679673
75	6.710483413
76	6.704798173
77	6.701866884
78	6.697167812
79	6.694136545
80	6.690245751
81	6.683980207
82	6.679663068
83	6.676416343
84	6.67192929
85	6.668751298
86	6.664435344
87	6.657179189
88	6.655634555
89	6.653305971
90	6.653302707
91	6.651425808
92	6.647667225
93	6.646310099
94	6.642533891
95	6.639879093
96	6.634939107
97	6.632490413
98	6.630614911
99	6.627055097
100	6.624364046
101	6.621412073
102	6.618375043
103	6.616814944
104	6.613480331
105	6.610847475
106	6.60622925
107	6.602910585
108	6.600590512
109	6.599522835
110	6.594279122
111	6.590212133
112	6.585648165
113	6.585312522
114	6.58326031
115	6.57958501
116	6.573941416
117	6.568539277
118	6.568146882
119	6.564734338
120	6.561070448
121	6.559038947
122	6.55597711
123	6.553767861
124	6.551211694
125	6.548442171
126	6.545310199
127	6.542077258
128	6.540475073
129	6.538254817
130	6.536259076
131	6.535362663
132	6.531300151
133	6.529286795
134	6.527245616
135	6.524482803
136	6.522248713
137	6.519501426
138	6.515988246
139	6.512654317
140	6.510462647
141	6.508357403
142	6.507493041
143	6.506243487
144	6.50431874
145	6.50037696
146	6.497305638
147	6.493125832
148	6.490347778
149	6.489021567
150	6.486548638
151	6.482368145
152	6.481844266
153	6.478988611
154	6.476102901
155	6.473493709
156	6.471511043
157	6.468729706
158	6.466077344
159	6.461821263
160	6.459841986
161	6.457529027
162	6.455094837
163	6.454523479
164	6.451782867
165	6.450387706
166	6.446689816
167	6.444831427
168	6.443660652
169	6.439394115
170	6.437018248
171	6.436054243
172	6.434753556
173	6.431804297
174	6.428013859
175	6.426057732
176	6.423443699
177	6.419816256
178	6.417339277
179	6.415297067
180	6.413153356
181	6.413106358
182	6.411782689
183	6.408508046
184	6.406347403
185	6.403305632
186	6.401388566
187	6.399494909
188	6.393353907
189	6.392286231
190	6.389338392
191	6.386276163
192	6.383810661
193	6.380238418
194	6.378305579
195	6.377140474
196	6.375348363
197	6.373851913
198	6.370545917
199	6.368605623
200	6.365610974
201	6.363224729
202	6.362011563
203	6.359439095
204	6.356260715
205	6.355077972
206	6.353643817
207	6.352232096
208	6.347924882
209	6.346201927
210	6.343173669
211	6.340468226
212	6.338308198
213	6.334459672
214	6.333690036
215	6.330727193
216	6.328435781
217	6.325823259
218	6.323961926
219	6.320854808
220	6.318226812
221	6.316606337
222	6.312695513
223	6.309680799
224	6.306735977
225	6.304095891
226	6.302984194
227	6.299254451
228	6.295986473
229	6.291749866
230	6.288563916
231	6.286911838
232	6.28473429
233	6.282667031
234	6.280244958
235	6.278259874
236	6.274704763
237	6.272965427
238	6.271317703
239	6.26954055
240	6.269408023
241	6.267484087
242	6.264416515
243	6.261167467
244	6.258996287
245	6.256548671
246	6.255332345
247	6.251979093
248	6.251491514
249	6.2479297
250	6.245205069
251	6.241845627
252	6.24107466
253	6.239648934
254	6.235057884
255	6.232353401
256	6.231100238
257	6.228138629
258	6.226307421
259	6.224777547
260	6.222940446
261	6.221021482
262	6.219046631
263	6.214593984
264	6.212990359
265	6.212189506
266	6.211175293
267	6.208822736
268	6.207104631
269	6.20483063
270	6.201445039
271	6.199350252
272	6.196223594
273	6.192733259
274	6.19195956
275	6.190368295
276	6.187975132
277	6.185499061
278	6.179610043
279	6.178278295
280	6.176920454
281	6.176075686
282	6.172537786
283	6.170951019
284	6.168244003
285	6.164945038
286	6.162225536
287	6.159626577
288	6.155617434
289	6.154642679
290	6.151934885
291	6.148189303
292	6.145813953
293	6.143626812
294	6.13913982
295	6.136716434
296	6.133291288
297	6.130957768
298	6.12939362
299	6.126616371
