iter	Passed	Remaining
0	62	12351
1	62	6150
2	62	4086
3	62	3052
4	62	2432
5	62	2018
6	62	1723
7	62	1501
8	62	1328
9	62	1190
10	62	1078
11	62	983
12	62	903
13	62	835
14	62	775
15	62	724
16	63	678
17	63	638
18	63	602
19	63	569
20	63	539
21	63	512
22	63	488
23	63	465
24	63	444
25	63	425
26	63	407
27	63	391
28	63	375
29	63	361
30	63	348
31	63	335
32	63	323
33	64	312
34	64	302
35	64	292
36	64	283
37	64	274
38	64	265
39	64	257
40	64	250
41	64	243
42	64	236
43	64	229
44	64	223
45	64	217
46	64	211
47	64	205
48	65	200
49	65	195
50	65	190
51	65	185
52	65	180
53	65	176
54	65	172
55	65	168
56	65	164
57	65	160
58	65	156
59	65	153
60	65	149
61	65	146
62	65	143
63	65	140
64	65	137
65	66	134
66	66	131
67	66	128
68	66	125
69	66	123
70	66	120
71	66	118
72	66	115
73	66	113
74	66	110
75	66	108
76	66	106
77	66	104
78	66	102
79	66	100
80	66	98
81	66	96
82	67	94
83	67	92
84	67	90
85	67	89
86	67	87
87	67	85
88	67	84
89	67	82
90	67	80
91	67	79
92	67	77
93	67	76
94	67	74
95	67	73
96	67	72
97	67	70
98	67	69
99	68	68
100	68	66
101	68	65
102	68	64
103	68	63
104	68	61
105	68	60
106	68	59
107	68	58
108	68	57
109	68	56
110	68	55
111	68	54
112	68	53
113	68	52
114	69	51
115	69	50
116	69	49
117	69	48
118	69	47
119	69	46
120	69	45
121	69	44
122	69	43
123	69	42
124	69	41
125	69	40
126	69	40
127	69	39
128	69	38
129	69	37
130	69	36
131	69	36
132	70	35
133	70	34
134	70	33
135	70	33
136	70	32
137	70	31
138	70	30
139	70	30
140	70	29
141	70	28
142	70	28
143	70	27
144	70	26
145	70	26
146	70	25
147	71	24
148	71	24
149	71	23
150	71	23
151	71	22
152	71	21
153	71	21
154	71	20
155	71	20
156	71	19
157	71	19
158	71	18
159	71	17
160	71	17
161	71	16
162	71	16
163	72	15
164	72	15
165	72	14
166	72	14
167	72	13
168	72	13
169	72	12
170	72	12
171	72	11
172	72	11
173	72	10
174	72	10
175	72	9
176	72	9
177	72	9
178	73	8
179	73	8
180	73	7
181	73	7
182	73	6
183	73	6
184	73	5
185	73	5
186	73	5
187	73	4
188	73	4
189	73	3
190	73	3
191	73	3
192	74	2
193	74	2
194	74	1
195	74	1
196	74	1
197	74	0
198	74	0
199	74	0
