ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy,code6
688017.SH,20260423,20260331,0.178,0.178,0.7644,0.7644,14.9349,0.4458,3.0155,9207581.73,23426565.79,47110415.37,9.6269,8.4783,6.6101,0.7149,0.0551,0.334,0.0356,15911833.72,35741612.62,,-238468014.1636,-238468014.1636,258779404.94,113787196.49,289467.41,-218349854.18,3480399447.77,2233867580.56,769826370.19,3575864507.73,634550493.15,0.178,19.4667,0.0294,3.4612,-2.8738,0.195,-1.3008,-1.3008,23.541,33.618,66.382,17.4179,23.541,2.3958,14.3286,0.6934,-4.4817,88.6453,25.9661,25.5052,0.9185,0.92,0.6594,0.9074,0.8375,0.9111,3.674,3.6296,9.4431,1.1043,1.1086,63.1342,36.8658,88.1464,0.0081,99.8031,69.4486,30.5514,0.0208,0.1043,9.5716,12328.9337,9.3344,12023.4587,,0.0145,407.67,3.35,0.8285,648472237.85,25.9431,2.3958,88.6453,0.9185,0.6594,0.8375,3.8491,56.8282,56.8282,-68.5897,56.9644,60.3458,61.1688,41.57,-68.5487,55.6032,0.9045,0.4913,0.9045,42.9556,42.9556,42.9556,-7.6087,3.5767,688017
688017.SH,20260423,20260331,,,0.7644,0.7644,14.9349,0.4458,3.0155,,,47110415.37,9.6269,8.4783,6.6101,0.7149,0.0551,0.334,0.0356,15911833.72,35741612.62,,,,258779404.94,113787196.49,289467.41,-218349854.18,3480399447.77,2233867580.56,769826370.19,3575864507.73,634550493.15,0.178,19.4667,0.0294,3.4612,-2.8738,0.195,,,23.541,33.618,66.382,17.4179,23.541,2.3958,14.3286,0.6934,-4.4817,88.6453,25.9661,25.5052,0.9185,,,0.9074,0.8375,0.9111,3.674,3.6296,9.4431,1.1043,1.1086,63.1342,36.8658,88.1464,0.0081,99.8031,69.4486,30.5514,0.0208,0.1043,9.5716,12328.9337,9.3344,12023.4587,,0.0145,407.67,3.35,0.8285,648472237.85,25.9431,2.3958,88.6453,0.9185,,0.8375,3.8491,56.8282,56.8282,-68.5897,56.9644,60.3458,61.1688,,-68.5487,55.6032,0.9045,0.4913,0.9045,42.9556,42.9556,42.9556,-7.6087,3.5767,688017
688017.SH,20260423,20251231,0.6924,0.6923,3.113,3.113,14.9349,0.4288,2.8545,24938451.3,99428462.27,210622885.15,9.5672,8.515,7.4891,3.347,0.238,1.3738,0.1485,81399033.79,145357278.19,205199331.09,-136842512.8218,-284916224.7418,270732619.59,114879398.53,286454.9,-745854881.28,3451616130.91,2320799234.33,559437755.46,3543515480.69,601916345.63,0.6784,19.2922,0.8291,3.2832,-4.2503,0.7929,-0.7464,-1.5541,22.0529,36.9052,63.0948,16.6965,22.0529,2.3198,14.0741,0.3026,-5.2262,85.7373,25.4916,25.4694,3.5727,3.57,2.8563,3.7832,3.2757,3.5597,3.5727,3.7832,9.8215,1.1089,1.1037,65.961,34.039,87.8469,0.0081,99.8114,70.1981,29.8019,0.5611,0.1089,9.1652,12346.9118,8.9444,12049.4225,,0.3939,372.7914,3.2757,3.2368,610552510.84,25.2848,3.4678,86.5609,0.8718,0.6733,0.7905,25.4406,108.4914,108.6498,400.0603,139.1431,137.4819,121.4189,115.19,443.2298,114.4385,-4.9486,4.6284,3.2552,47.3148,47.3148,47.1977,-12.2576,3.2552,688017
688017.SH,20260423,20251231,,,3.113,3.113,14.9349,0.4288,2.8545,,,210622885.15,9.5672,8.515,7.4891,3.347,0.238,1.3738,0.1485,81399033.79,145357278.19,205199331.09,,,270732619.59,114879398.53,286454.9,-745854881.28,3451616130.91,2320799234.33,559437755.46,3543515480.69,601916345.63,0.6784,19.2922,0.8291,3.2832,-4.2503,0.7929,,,22.0529,36.9052,63.0948,16.6965,22.0529,2.3198,14.0741,0.3026,-5.2262,85.7373,25.4916,25.4694,3.5727,,,3.7832,3.2757,3.5597,3.5727,3.7832,9.8215,1.1089,1.1037,65.961,34.039,87.8469,0.0081,99.8114,70.1981,29.8019,0.5611,0.1089,9.1652,12346.9118,8.9444,12049.4225,,0.3939,372.7914,3.2757,3.2368,610552510.84,25.2848,3.4678,86.5609,0.8718,,0.7905,25.4406,108.4914,108.6498,400.0603,139.1431,137.4819,121.4189,,443.2298,114.4385,-4.9486,4.6284,3.2552,47.3148,47.3148,47.1977,-12.2576,3.2552,688017
688017.SH,20251031,20250930,0.5112,0.5111,2.2181,2.2181,14.933,0.354,2.7618,17949096.41,75718252.92,148826302.96,10.0904,8.9902,7.6088,2.3051,0.1685,0.9976,0.1063,59350643.79,107780094.89,,-304940807.854,-423014519.774,229587459.05,122849028.69,30335333.08,-205628519.71,3424239134.71,2361279097.52,697504592.96,3542711783.93,571216781.39,0.5109,19.1251,0.6015,3.1158,-7.0402,0.5879,-1.6633,-2.3074,23.3452,36.5979,63.4021,17.1371,23.3452,1.8566,14.8188,0.4617,-3.604,85.4051,26.0911,26.5042,2.7026,2.7,2.1847,2.8176,2.4818,2.7072,3.6035,3.7568,9.8269,1.109,1.1037,67.2897,32.7103,87.9104,0.8563,98.9696,67.8619,32.1381,0.4245,0.109,9.16,115.5816,8.9459,112.8796,,0.2881,395.3387,3.3091,2.4487,539984959.22,26.0995,1.6856,81.5857,1.1554,0.954,1.0121,40.8844,46.5596,46.615,104.5918,60.5419,60.6223,59.2091,44.21,122.2077,-7.9985,-5.7719,3.7235,2.3611,47.362,47.362,49.922,18.0212,73.0505,688017
688017.SH,20250816,20250630,0.2916,0.2915,1.3722,1.3722,14.9164,0.3542,2.5438,10933696.09,42482680.26,87412579.4,5.2293,4.665,4.5683,1.492,0.1097,0.6408,0.065,30764136.09,62969673.3,92198366.38,38220552.3831,168430909.5431,175911426.2,56603221.0,279055347.73,17034873.31,3381388692.65,1923322155.31,364911072.08,3746880241.77,530965808.41,0.2916,18.892,0.2554,2.8981,-6.8997,0.3437,0.2086,0.9193,21.9107,34.7687,65.2313,16.6532,21.9107,1.9622,14.5002,0.1909,-4.6093,87.7635,24.3482,25.0464,1.5513,1.55,1.2338,1.6282,1.4244,1.5454,3.1026,3.2564,12.8555,1.1475,1.1232,59.7599,40.2401,84.9724,7.4477,92.3769,88.8949,11.1051,0.1029,0.1475,6.7659,12.4035,6.6098,12.1173,198.498,0.0915,396.252,2.8488,1.3812,504582647.4,24.3717,1.6598,86.181,0.9604,0.751,0.8433,19.3278,34.316,34.3318,12061.9048,49.6502,49.8036,45.8727,25.09,13026.3879,-15.7334,-6.9204,5.9669,1.0486,45.8245,45.8245,69.524,64.0591,73.1085,688017
688017.SH,20250430,20250331,0.1135,0.1135,0.535,0.535,14.9164,0.3542,2.4628,3701022.32,16547409.91,33389967.55,4.7078,4.2141,4.1373,0.6576,0.0415,0.2462,0.025,9567810.76,23186111.77,,-6517468.2259,289992888.9341,135259389.93,57830854.8,445913110.82,138764078.44,3366627098.2,1983295717.93,380856103.18,3897214323.81,516119137.79,0.1105,18.8065,0.0936,2.817,-6.6456,0.1266,-0.0356,1.5828,21.4852,34.0622,65.9378,21.0875,21.4852,2.4355,18.3391,0.3129,-2.1506,90.2396,23.6487,23.6529,0.5894,0.59,0.4817,0.5911,0.5369,0.5761,2.3576,2.3644,15.6224,1.1851,1.1419,61.565,38.435,82.3075,11.4418,88.4115,83.7085,16.2915,0.0321,0.1851,5.3921,7.727,5.2686,7.55,24.2615,0.0268,491.611,2.1476,0.5162,491776750.87,23.1295,2.4355,90.2396,0.5894,0.4817,0.5369,17.4953,-4.8617,-4.7819,118.1818,0.2929,-1.9091,0.6593,1.88,137.1607,-40.6089,-7.3416,8.9203,0.5913,19.6509,19.6509,19.6509,541.3005,69.4853,688017
688017.SH,20250430,20250331,0.1135,0.1135,0.535,0.535,14.9164,0.3542,2.4628,3701022.32,16547409.91,33389967.55,4.7078,4.2141,4.131,0.6576,0.0415,0.2462,0.025,9567810.76,23186111.77,,,,135259389.93,57830854.8,445913110.82,138764078.44,3366627098.2,1983295717.93,2075787353.18,3897214323.81,516119137.79,0.1105,18.8065,0.0936,2.817,-6.6456,0.1266,,,21.4852,34.0622,65.9378,21.0875,21.4852,2.4355,18.3391,0.3129,-2.1506,90.2396,23.6487,23.6529,0.5894,0.59,0.4817,0.5911,0.5369,0.5761,2.3576,2.3644,15.6224,1.1851,1.1419,61.565,38.435,82.3075,11.4418,88.4115,83.7085,16.2915,0.0321,0.1851,5.3921,7.727,5.2686,7.55,24.2615,0.0268,491.611,2.1476,0.5162,491776750.87,23.1295,2.4355,90.2396,0.5894,0.4817,0.5369,17.4953,-4.8617,-4.7819,118.1818,0.2929,-1.9091,0.6593,1.88,137.1607,-40.6089,-7.3416,8.9203,0.5913,19.6509,19.6509,19.6509,541.3005,69.4853,688017
688017.SH,20250430,20241231,0.3321,0.3318,2.2956,2.2956,16.2791,0.3846,2.5537,9963222.23,46204927.65,145434435.49,9.6825,8.6042,8.4142,3.1784,0.2001,0.9726,0.118,18180743.0,60057611.64,116060853.9,290737157.7406,-214089130.3394,118359951.34,57429177.27,149292309.76,-1375406829.44,3346119674.85,1977324774.9,379757337.78,3579528166.56,495870705.56,0.3328,20.2966,0.1658,2.9383,3.2908,0.3559,1.7227,-1.2686,14.4056,37.5401,62.4599,21.743,14.4056,3.3426,18.4731,-0.0727,-8.8423,95.3071,15.7031,15.5023,2.0658,2.79,1.6994,1.829,1.6996,1.7635,2.0658,1.829,8.6566,1.0948,1.2077,58.7184,41.2816,89.1035,4.1707,95.6923,70.0556,29.9444,0.1229,0.0948,10.5368,22.9438,10.2932,22.4132,,0.0861,484.8582,1.6996,1.7105,494082703.0,15.6846,2.9387,114.858,-0.0978,-0.2312,-0.1303,-19.4168,-33.4736,-33.4937,-81.2677,-33.5736,-33.643,-33.2566,-38.09,-81.2568,-60.7854,70.1079,33.5427,70.2005,8.7727,8.7727,9.1027,-120.859,70.2005,688017
688017.SH,20241030,20240930,0.3488,0.3486,1.6352,1.6352,7.9717,0.3496,2.6045,6325580.97,52507328.67,109084657.87,2.8627,2.1501,2.0529,2.3638,0.2028,0.6845,0.1032,34740879.29,64376418.57,,288068440.6278,-27917371.6722,106344218.98,56118697.47,341939342.66,150450940.15,1949353164.02,686663018.54,367081825.35,2374395404.68,498535465.32,0.3486,12.0056,0.294,2.954,-4.6091,0.3815,1.7069,-0.1654,21.7095,39.5299,60.4701,21.3925,21.7095,3.5057,18.2177,-0.3309,-3.7441,87.4107,23.9491,23.3286,2.9135,2.91,2.6002,2.4071,2.24,2.3113,3.8847,3.2095,19.8829,1.2482,1.3244,41.5985,58.4015,76.8412,14.4011,85.3319,73.083,26.917,0.1346,0.2482,4.0169,5.9254,3.8647,5.7009,12.9567,0.0984,532.2443,2.9867,2.1998,484261055.05,23.9449,3.2924,87.1778,1.1037,0.9214,0.8597,47.5782,-18.9026,-18.9114,-45.6461,-19.4248,-19.4835,-18.8508,-21.02,-45.6135,-19.9095,0.6202,-9.7869,0.6753,8.64,8.64,25.5938,41.5581,1.322,688017
688017.SH,20240831,20240630,0.2171,0.217,1.0221,1.0221,7.9509,0.3498,2.4742,2657771.32,33960723.76,69630955.38,2.4635,1.9427,1.6719,1.5881,0.1186,0.4207,0.0625,21463757.0,38313047.53,65292000.25,61342885.3053,-27576996.0747,72543391.07,57554297.51,569237243.75,387560706.22,1921737725.8,737283708.35,986845039.57,2574729872.28,476321050.76,0.2171,11.8542,0.0021,2.8239,-4.6698,0.2271,0.3637,-0.1635,21.6802,40.3875,59.6125,22.5262,21.6802,3.6338,20.3145,-1.422,-3.5905,87.5505,23.7257,22.2224,1.8254,1.82,1.693,1.3889,1.355,1.3336,3.6508,2.7778,25.8551,1.3487,1.3751,45.8833,54.1167,71.0484,22.1086,77.6575,72.0372,27.9628,0.0007,0.3487,2.8591,3.5125,2.748,3.376,4.9585,0.0005,565.4907,2.71,1.3275,480812661.3,23.7243,4.4047,89.4001,0.8185,0.8788,0.595,-7.5982,-27.7297,-27.7389,-98.8806,-28.5145,-28.5902,-27.6902,-25.76,-98.8736,-28.5163,-0.6487,-3.8137,-0.6488,0.4927,0.4927,8.9632,-23.0324,1.1556,688017
688017.SH,20240831,20240630,0.2171,0.217,1.0221,1.0221,7.9509,0.3498,2.4742,2657771.32,33960723.76,69630955.38,2.4635,1.9427,1.6719,1.5881,0.1186,0.4207,0.0625,21463757.0,38313047.53,65292000.25,,,72543391.07,57554297.51,569237243.75,387560706.22,1921737725.8,737283708.35,986845039.57,2574729872.28,476321050.76,0.2171,11.8542,0.0021,2.8239,-4.6698,0.2271,,,21.6802,40.3875,59.6125,22.5262,21.6802,3.6338,20.3145,-1.422,-3.5905,87.5505,23.7257,22.2224,1.8254,1.82,1.693,1.3889,1.355,1.3336,3.6508,2.7778,25.8551,1.3487,1.3751,45.8833,54.1167,71.0484,22.1086,77.6575,72.0372,27.9628,0.0007,0.3487,2.8591,3.5125,2.748,3.376,4.9585,0.0005,565.4907,2.71,1.3275,480812661.3,23.7243,4.4047,89.4001,0.8185,0.8788,0.595,-7.5982,-27.7297,-27.7389,-98.8806,-28.5145,-28.5902,-27.6902,-25.76,-98.8736,-28.5163,-0.6487,-3.8137,-0.6488,0.4927,0.4927,8.9632,-23.0324,1.1556,688017
688017.SH,20240430,20240331,0.1193,0.1192,0.4857,0.4857,7.9473,0.361,2.6651,3874172.06,16241643.33,34862450.26,2.6666,2.2642,2.0152,0.7935,0.0481,0.2124,0.0288,11872951.4,20940118.58,,27237907.6635,79603283.4035,75245618.12,58486600.86,710664627.15,-326809851.83,1954569987.65,1086174712.11,625177290.84,2749534982.11,510420021.47,0.1193,12.0528,0.0429,3.0261,0.404,0.1241,0.1615,0.4719,25.332,42.553,57.447,22.2391,25.332,2.7823,21.8313,-2.3745,-4.1451,85.5079,28.2133,25.5594,0.9945,0.99,0.8029,0.7353,0.7288,0.6931,3.978,2.9412,29.2861,1.4141,1.4078,60.2753,39.7247,67.7901,25.8467,73.9387,77.182,22.818,0.0111,0.4141,2.4076,2.8607,2.3148,2.7503,,0.0086,607.1133,2.9152,0.7064,489829178.35,28.2133,2.7823,85.5079,0.9945,0.8029,0.7288,8.8266,-18.3995,-18.4679,-33.694,-19.7089,-19.8873,-18.3939,-25.58,-33.7175,-21.0917,1.0158,2.5317,1.0157,-7.4528,-7.4528,-7.4528,141.7237,3.419,688017
300503.SZ,20260421,20260331,0.3,0.3,1.6089,1.6089,2.0113,0.2602,1.3898,6861857.53,84071846.18,209013068.35,1.449,1.0043,0.9659,0.5948,0.2616,0.5402,0.1465,100093906.93,115685980.94,,-20717701.7872,109729748.4828,731313795.91,194718847.09,1096016254.74,887861945.45,1175891558.33,616653450.77,1050497085.88,2585048584.42,508569181.75,0.295,4.7814,0.0609,1.65,0.2247,0.3753,-0.0672,0.356,18.2372,42.1482,57.8518,20.8597,18.2372,5.5146,13.3275,2.0176,-0.1127,79.8157,21.597,23.3285,6.3692,6.37,5.8886,3.4174,2.6716,3.9327,25.4768,13.6696,57.5905,2.358,2.3711,56.6767,43.3233,33.4909,42.3983,57.011,67.9168,32.0832,0.0137,1.358,0.7288,1.3447,0.5815,1.0729,1.3244,0.0093,334.7976,10.6864,2.6862,1135249479.5,21.5722,5.5146,79.8157,6.3692,5.8886,2.6716,3.7854,500.0,500.0,-39.8815,733.7836,593.3594,483.5371,863.09,-39.4448,381.1889,6.6658,7.7217,6.6652,72.8763,72.8763,72.8763,588.4073,21.2699,300503
300503.SZ,20260421,20251231,0.39,0.39,5.1739,5.1739,1.9963,0.2602,1.0948,29885259.72,89367686.87,607748721.78,1.4025,0.9673,0.9358,2.3044,1.0185,1.7801,0.5415,105295917.06,187432296.14,319646254.57,-187873441.0579,60496636.0521,674174271.4,196569653.16,991220098.82,853608997.11,1072179123.55,517040669.33,989755604.65,2388656818.5,417635478.04,0.3869,4.4826,0.4086,1.355,0.2162,0.6081,-0.6095,0.1963,7.4692,38.1097,61.8903,25.6931,7.4692,6.5085,16.7519,2.4327,-3.9843,93.3973,8.7717,11.7532,9.276,9.31,6.9514,6.3638,4.0442,6.8734,9.276,6.3638,57.126,2.3324,2.291,55.2722,44.7278,32.895,41.497,57.843,68.9863,31.0137,0.098,1.3324,0.7421,1.3939,0.5758,1.0817,1.2561,0.0676,346.7394,4.0442,4.0489,1056005320.56,9.429,6.3015,98.9279,-0.1705,-0.5652,-0.0798,19.154,44.4444,44.4444,-7.3469,48.6786,59.5902,43.8509,110.0,-6.6952,23.8472,15.3377,23.8749,16.1519,22.0437,22.0437,33.3108,-76.0084,16.1519,300503
300503.SZ,20251030,20250930,0.4,0.4,3.7092,3.7092,1.8856,0.2071,1.1555,24506177.99,97070538.94,428232861.02,1.4399,0.96,0.9283,1.6553,0.7649,1.2699,0.4012,100455100.75,164272819.63,,-160368771.0485,-3156819.6385,641627482.74,170538090.96,895123820.63,802554155.99,1051230814.55,506864627.95,924976374.33,2255294518.18,419959248.38,0.3945,4.3614,0.128,1.3626,0.0702,0.533,-0.5203,-0.0102,10.6402,37.4591,62.5409,25.3831,10.6402,6.5903,16.2354,2.5574,-1.4065,91.2128,10.8754,14.3696,9.5966,9.65,7.6622,5.7653,4.269,6.9983,12.7955,7.6871,55.6581,2.2552,2.2491,54.0895,45.9105,34.2704,39.6899,59.6022,67.4935,32.5065,0.0342,1.2552,0.7873,1.5017,0.6157,1.1744,1.3099,0.0231,359.2193,5.692,4.2668,1028114126.39,11.9304,6.2764,87.1502,4.4613,4.052,1.9497,3.5077,53.8462,53.8462,0.2349,38.8607,53.242,50.4026,102.52,0.8975,32.7179,12.2192,16.5801,13.0022,18.1012,18.1012,24.8947,39.0446,13.3251,300503
