ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type,code6
688017.SH,20251231,谐波减速器及金属部件,P,476486798.69,175199476.67,301287322.02,CNY,688017
688017.SH,20251231,机电一体化产品,P,74303375.72,30386001.15,43917374.57,CNY,688017
688017.SH,20251231,智能自动化设备,P,14889071.41,1715928.53,13173142.88,CNY,688017
688017.SH,20251231,其他业务,P,5034779.44,3321478.8,1713300.64,CNY,688017
688017.SH,20250630,谐波减速器及金属部件,P,196927829.0,67601531.21,129326297.79,CNY,688017
688017.SH,20250630,机电一体化产品,P,41639307.1,16479086.05,25160221.05,CNY,688017
688017.SH,20250630,智能自动化设备,P,8148469.92,182019.55,7966450.37,CNY,688017
688017.SH,20250630,其他产品及收入,P,4696314.67,3149942.59,1546372.08,CNY,688017
688017.SH,20241231,谐波减速器及金属部件,P,325415663.13,117575798.7,207839864.43,CNY,688017
688017.SH,20241231,机电一体化产品,P,52593288.84,21635537.74,30957751.1,CNY,688017
688017.SH,20241231,智能自动化设备,P,4633282.14,2356454.14,2276828.0,CNY,688017
688017.SH,20241231,其他业务,P,4769069.73,3866644.91,902424.82,CNY,688017
688017.SH,20240630,谐波减速器及金属部件,P,146494492.27,58159765.68,88334726.59,CNY,688017
688017.SH,20240630,机电一体化产品,P,24542997.65,10327583.5,14215414.15,CNY,688017
688017.SH,20240630,其他业务,P,1369686.74,1143606.2,226080.54,CNY,688017
688017.SH,20231231,谐波减速器及金属部件,P,317293251.24,130614588.24,186678663.0,CNY,688017
688017.SH,20231231,机电一体化产品,P,33555046.04,13766099.69,19788946.35,CNY,688017
688017.SH,20231231,智能自动化设备,P,2341474.36,-294164.74,2635639.1,CNY,688017
688017.SH,20231231,其他业务收入,P,2976005.26,2424916.36,551088.9,CNY,688017
688017.SH,20231231,其他业务,P,2976005.26,2424916.36,551088.9,CNY,688017
688017.SH,20230630,谐波减速器及金属部件,P,153104255.06,,,CNY,688017
688017.SH,20230630,机电一体化产品,P,15205299.51,,,CNY,688017
688017.SH,20230630,智能自动化设备,P,1920353.97,,,CNY,688017
688017.SH,20230630,其他业务,P,1332061.57,,,CNY,688017
688017.SH,20221231,谐波减速器及金属部件,P,416439057.38,203152479.96,213286577.42,CNY,688017
688017.SH,20221231,机电一体化产品,P,25658200.64,10872480.51,14785720.13,CNY,688017
688017.SH,20221231,智能自动化设备,P,117548.68,7364.84,110183.84,CNY,688017
688017.SH,20221231,其他业务,P,3530546.03,3001018.27,529527.76,CNY,688017
688017.SH,20220630,谐波减速器及金属部件,P,230785250.72,,,CNY,688017
688017.SH,20220630,机电一体化产品,P,11314885.8,,,CNY,688017
688017.SH,20220630,智能自动化设备,P,91000.0,,,CNY,688017
688017.SH,20220630,其他业务,P,1214517.32,,,CNY,688017
688017.SH,20211231,谐波减速器及金属部件,P,416220992.85,221343273.0,194877719.85,CNY,688017
688017.SH,20211231,机电一体化产品,P,22484733.29,8434898.93,14049834.36,CNY,688017
688017.SH,20211231,智能自动化设备,P,404818.59,62187.55,342631.04,CNY,688017
688017.SH,20211231,其他业务,P,4240889.97,3004364.33,1236525.64,CNY,688017
688017.SH,20210630,谐波减速器及金属部件,P,173872891.31,,,CNY,688017
688017.SH,20210630,机电一体化产品,P,7911655.74,,,CNY,688017
688017.SH,20210630,其他业务,P,2221008.88,,,CNY,688017
688017.SH,20201231,谐波减速器及金属部件,P,203687805.67,96903791.39,106784014.28,CNY,688017
688017.SH,20201231,机电一体化产品,P,8142340.35,2808430.93,5333909.42,CNY,688017
688017.SH,20201231,其他业务,P,4681980.87,2447916.48,2234064.39,CNY,688017
688017.SH,20191231,谐波减速器,P,144525200.0,85411800.0,59113400.0,CNY,688017
688017.SH,20191231,精密零部件,P,36728900.0,4588300.0,32140600.0,CNY,688017
688017.SH,20191231,其他业务,P,1933685.92,861585.56,1072100.36,CNY,688017
688017.SH,20191231,一体化执行器,P,2713200.0,922900.0,1790300.0,CNY,688017
688017.SH,20181231,谐波减速器,P,173541700.0,101677300.0,71864400.0,CNY,688017
688017.SH,20181231,精密零部件,P,43222100.0,3793800.0,39428300.0,CNY,688017
688017.SH,20181231,其他业务,P,1750269.3,1682973.98,67295.32,CNY,688017
688017.SH,20181231,一体化执行器,P,1019900.0,36300.0,983600.0,CNY,688017
688017.SH,20171231,谐波减速器,P,128392200.0,74825900.0,53566300.0,CNY,688017
688017.SH,20171231,精密零部件,P,45554300.0,6242700.0,39311600.0,CNY,688017
688017.SH,20171231,其他业务,P,1755642.65,1658667.59,96975.06,CNY,688017
300503.SZ,20251231,运动控制产品,P,285257002.29,115187558.3,170069443.99,CNY,300503
300503.SZ,20251231,转台、直线电机、减速器等功能部件,P,219880196.28,78997117.62,140883078.66,CNY,300503
300503.SZ,20251231,其他业务,P,24660276.38,13860171.16,10800105.22,CNY,300503
300503.SZ,20251231,主轴,P,1064937753.42,399703874.7,665233878.72,CNY,300503
300503.SZ,20250630,运动控制产品,P,134241123.86,55602636.94,78638486.92,CNY,300503
300503.SZ,20250630,转台、直线电机、减速器等功能部件,P,69358564.61,28643619.5,40714945.11,CNY,300503
300503.SZ,20250630,转台,P,69358564.61,28643619.5,40714945.11,CNY,300503
300503.SZ,20250630,机器人核心功能部件,P,12210321.45,-1852450.49,14062771.94,CNY,300503
300503.SZ,20250630,导轨丝杆,P,23761309.26,4287582.45,19473726.81,CNY,300503
300503.SZ,20250630,其他业务,P,9663987.67,8092227.37,1571760.3,CNY,300503
300503.SZ,20250630,主轴整机,P,453987864.84,157244812.1,296743052.74,CNY,300503
