ts_code,name,trade_date,q,a,pub_time,code6
688017.SH,绿的谐波,20260423,请问，截止到2026年4月8日公司的股东人数是多少呢？,尊敬的投资者您好，公司会在定期报告中披露对应时点的股东人数信息。如需了解其他时间点的股东信息，请将证券开户营业部或中国证券登记结算公司开具的有效持股证明及本人有效身份证件发送至公司投资者邮箱，公司核实后予以提供，感谢您的关注！,2026-04-23 16:36:51,688017
688017.SH,绿的谐波,20260326,董秘你好公司产品有应用哪些行业跟领域？公司有引入人工智能技术来提高效益吗？,尊敬的投资者您好，公司是一家专业从事精密传动装置研发、设计、生产和销售的高新技术企业，产品包括谐波减速器、行星滚柱丝杠及精密零部件、机电一体化产品、智能自动化装备等。公司产品广泛应用于智能机器人、数控机床、医疗器械、半导体生产设备、新能源装备等高端制造领域。感谢您的关注！,2026-03-26 16:30:00,688017
688017.SH,绿的谐波,20260326,董秘你好公司有布局光伏跟投资相关产业链领域或者合作吗？,尊敬的投资者您好，公司是一家专业从事精密传动装置研发、设计、生产和销售的高新技术企业，产品包括谐波减速器、行星滚柱丝杠及精密零部件、机电一体化产品、智能自动化装备等。公司产品广泛应用于智能机器人、数控机床、医疗器械、半导体生产设备、新能源装备等高端制造领域。感谢您的关注！,2026-03-26 16:30:00,688017
688017.SH,绿的谐波,20260326,董秘你好公司产品在工业母机领域有涉足吗？,尊敬的投资者您好，公司是一家专业从事精密传动装置研发、设计、生产和销售的高新技术企业，产品包括谐波减速器、行星滚柱丝杠及精密零部件、机电一体化产品、智能自动化装备等。公司产品广泛应用于智能机器人、数控机床、医疗器械、半导体生产设备、新能源装备等高端制造领域。感谢您的关注！,2026-03-26 16:30:00,688017
688017.SH,绿的谐波,20260326,董秘你好公司产品能否应用光伏、电力这些领域能否讲解下？,尊敬的投资者您好，公司是一家专业从事精密传动装置研发、设计、生产和销售的高新技术企业，产品包括谐波减速器、行星滚柱丝杠及精密零部件、机电一体化产品、智能自动化装备等。公司产品广泛应用于智能机器人、数控机床、医疗器械、半导体生产设备、新能源装备等高端制造领域。感谢您的关注！,2026-03-26 16:30:00,688017
688017.SH,绿的谐波,20260326,董秘你好公司产品在AIGC领域有哪些涉足布局？,尊敬的投资者您好，公司是一家专业从事精密传动装置研发、设计、生产和销售的高新技术企业，产品包括谐波减速器、行星滚柱丝杠及精密零部件、机电一体化产品、智能自动化装备等。公司产品广泛应用于智能机器人、数控机床、医疗器械、半导体生产设备、新能源装备等高端制造领域。感谢您的关注！,2026-03-26 16:30:00,688017
688017.SH,绿的谐波,20260326,董秘您好，请问公司对于球形电机用于人形机器人的前景如何看待？,尊敬的投资者您好。球形电机尚处于技术研发阶段，暂时还无法满足具身智能机器人关节的性能及量产要求。感谢您的关注！,2026-03-26 16:30:00,688017
688017.SH,绿的谐波,20260326,近日关注到，机器人行业出现以“直驱关节模组”替代传统“伺服电机+谐波减速器”方案的技术趋势。有企业提出，其直驱方案能够实现更高的集成度、静音性和能效。请问贵司如何看待这一技术路径的挑战？,尊敬的投资者您好。直驱关节模组是机器人驱动技术的重要探索方向，在特定轻载、静音场景具备应用价值，但目前仍面临扭矩密度、热管理、重载适配及成本规模化等技术挑战。感谢您的关注。,2026-03-26 16:30:00,688017
688017.SH,绿的谐波,20260325,关注到公司前三季度虽然营收增长，但毛利率仍受行业价格战和新产能折旧的影响。请问公司认为谐波减速器的价格战是否已经见底？随着 2026 年高附加值的‘微型/定制化’人形机器人产品（如 14mm 微型减速器）放量，公司对明年整体毛利率的回升是否有信心？,尊敬的投资者您好，公司在稳步提升产能以匹配市场需求的同时，持续优化生产工艺与运营流程，生产效率与资源利用效率显著改善，进一步增强了盈利转化能力，推动公司实现高质量增长。感谢您的关注。,2026-03-25 16:30:00,688017
688017.SH,绿的谐波,20260224,董秘你好公司跟特斯拉有业务往来跟产品合作吗？,尊敬的投资者您好，相关内容请关注公司后续披露的定期报告。感谢您的关注！,2026-02-24 16:30:07,688017
