trade_date,title,report_type,author,name,ts_code,inst_csname,ind_name,url,code6
20260526,国信证券_2026年一季度业绩快速增长，人形机器人优势持续巩固_20260526.pdf,个股研报,"吴双,杜松阳",绿的谐波,688017.SH,国信证券,自动化设备,https://pdf.dfcfw.com/pdf/H3_AP202605261822876254_1.pdf?1779807069000.pdf,688017
20260429,国元证券_2025年年报及2026年一季报点评：战略卡位具身智能，营收净利表现亮眼_20260429.pdf,个股研报,"龚斯闻,楼珈利",绿的谐波,688017.SH,国元证券,自动化设备,https://pdf.dfcfw.com/pdf/H3_AP202604291821759233_1.pdf?1777488172000.pdf,688017
20260423,群益证券_机器人需求回升，公司25Q4-26Q1净利润大幅增长_20260423.pdf,个股研报,赵旭东,绿的谐波,688017.SH,群益证券,自动化设备,https://pdf.dfcfw.com/pdf/H3_AP202604231821497943_1.pdf?1776963600000.pdf,688017
20260423,国金证券_人形机器人收入占比龙头，26Q1业绩超预期_20260423.pdf,个股研报,"陈传红,冉婷",绿的谐波,688017.SH,国金证券,自动化设备,https://pdf.dfcfw.com/pdf/H3_AP202604231821482992_1.pdf?1776935483000.pdf,688017
20260423,东吴证券_2025年报&2026一季报点评：Q1营收同比+43%，具身智能+工业机器人双轮驱动_20260423.pdf,个股研报,"周尔双,钱尧天,陶泽",绿的谐波,688017.SH,东吴证券,自动化设备,https://pdf.dfcfw.com/pdf/H3_AP202604231821491305_1.pdf?1776957811000.pdf,688017
20260130,群益证券_2025年利润翻倍增长，维持“买进”评级_20260130.pdf,个股研报,赵旭东,绿的谐波,688017.SH,群益证券,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202601301818582090_1.pdf?1769789558000.pdf,688017
20260129,国金证券_谐波减速器全球龙头，拓展丝杠等新赛道_20260129.pdf,个股研报,"陈传红,冉婷",绿的谐波,688017.SH,国金证券,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202601291818526425_1.pdf?1769674033000.pdf,688017
20251107,国元证券_2025年三季报点评：业绩增长显著，业务持续拓展_2025-11-07.pdf,个股研报,"龚斯闻,楼珈利",绿的谐波,688017.SH,国元证券,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202511071776922593_1.pdf?1762538184000.pdf,688017
20251102,东吴证券_2025年三季报点评：业绩持续高增，持续加码人形机器人领域_2025-11-02.pdf,个股研报,"周尔双,钱尧天,陶泽",绿的谐波,688017.SH,东吴证券,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202511021773654298_1.pdf?1762083860000.pdf,688017
20251031,群益证券_3Q公司收入快速增长，利润增速超预期_2025-10-31.pdf,个股研报,赵旭东,绿的谐波,688017.SH,群益证券,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202510311772467250_1.pdf?1761918357000.pdf,688017
20250822,国元证券_2025年半年报点评：营收利润同步增长，各项业务稳步推进_2025-08-22.pdf,个股研报,"龚斯闻,楼珈利",绿的谐波,688017.SH,国元证券,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202508221732112681_1.pdf?1755849988000.pdf,688017
20250819,山西证券_Q2业绩翻倍增长，持续布局机器人研发_2025-08-19.pdf,个股研报,"姚健,徐风",绿的谐波,688017.SH,山西证券,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202508191730509122_1.pdf?1755626438000.pdf,688017
20250818,东吴证券_2025半年报点评：业绩超市场预期，人形机器人产品逐步放量_2025-08-18.pdf,个股研报,"周尔双,钱尧天,陶泽",绿的谐波,688017.SH,东吴证券,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202508181729943693_1.pdf?1755547963000.pdf,688017
20250818,群益证券_2Q收入及利润超预期，公司加码具身智能领域_2025-08-18.pdf,个股研报,赵旭东,绿的谐波,688017.SH,群益证券,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202508181729854538_1.pdf?1755535725000.pdf,688017
20250523,国元证券_2024年报及2025年一季报点评：营收增长稳健，深化机器人布局_2025-05-23.pdf,个股研报,"龚斯闻,楼珈利",绿的谐波,688017.SH,国元证券,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202505231677725186_1.pdf?1748012248000.pdf,688017
20250515,山西证券_25Q1业绩修复，关注公司产品和高端场景拓展_2025-05-15.pdf,个股研报,"姚健,徐风",绿的谐波,688017.SH,山西证券,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202505151673270411_1.pdf?1747323036000.pdf,688017
20250513,国信证券_2025年一季度业绩微增，巩固人形机器人技术产能和优势_2025-05-13.pdf,个股研报,"吴双,杜松阳",绿的谐波,688017.SH,国信证券,通用设备,https://pdf.dfcfw.com/pdf/H3_AP202505131672043737_1.pdf?1747143510000.pdf,688017
