ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type,code6
000001.SZ,20251231,非利息收入:手续费及佣金收入:银行卡业务(产品),P,12393000000.0,,,CNY,000001
000001.SZ,20251231,非利息收入:手续费及佣金收入:资产托管(产品),P,1510000000.0,,,CNY,000001
000001.SZ,20251231,非利息收入:手续费及佣金收入:结算业务(产品),P,3161000000.0,,,CNY,000001
000001.SZ,20251231,非利息收入:手续费及佣金收入:其他(产品),P,4050000000.0,,,CNY,000001
000001.SZ,20251231,非利息收入:手续费及佣金收入:代理委托业务(产品),P,6126000000.0,,,CNY,000001
000001.SZ,20251231,利息收入:金融投资利息收入(产品),P,27327000000.0,,,CNY,000001
000001.SZ,20251231,利息收入:存放同业、拆放同业及买入返售金融资产(产品),P,8915000000.0,,,CNY,000001
000001.SZ,20251231,利息收入:存放中央银行款项(产品),P,3120000000.0,,,CNY,000001
000001.SZ,20251231,利息收入:发放贷款及垫款:票据贴现业务(产品),P,1876000000.0,,,CNY,000001
000001.SZ,20251231,利息收入:发放贷款及垫款:公司贷款业务(产品),P,46382000000.0,,,CNY,000001
000001.SZ,20251231,利息收入:发放贷款及垫款:个人贷款业务(产品),P,82243000000.0,,,CNY,000001
000001.SZ,20250630,非利息收入:手续费及佣金收入:银行卡业务(产品),P,6408000000.0,,,CNY,000001
000001.SZ,20250630,非利息收入:手续费及佣金收入:资产托管(产品),P,798000000.0,,,CNY,000001
000001.SZ,20250630,非利息收入:手续费及佣金收入:结算业务(产品),P,1907000000.0,,,CNY,000001
000001.SZ,20250630,非利息收入:手续费及佣金收入:其他(产品),P,2122000000.0,,,CNY,000001
000001.SZ,20250630,非利息收入:手续费及佣金收入:代理委托业务(产品),P,3124000000.0,,,CNY,000001
000001.SZ,20250630,利息收入:金融投资利息收入(产品),P,13982000000.0,,,CNY,000001
000001.SZ,20250630,利息收入:存放同业、拆放同业及买入返售金融资产(产品),P,4884000000.0,,,CNY,000001
000001.SZ,20250630,利息收入:存放中央银行款项(产品),P,1608000000.0,,,CNY,000001
000001.SZ,20250630,利息收入:发放贷款及垫款:票据贴现业务(产品),P,1274000000.0,,,CNY,000001
000001.SZ,20250630,利息收入:发放贷款及垫款:公司贷款业务(产品),P,23126000000.0,,,CNY,000001
000001.SZ,20250630,利息收入:发放贷款及垫款:个人贷款业务(产品),P,43057000000.0,,,CNY,000001
000001.SZ,20241231,非利息收入:手续费及佣金收入:银行卡业务(产品),P,13174000000.0,,,CNY,000001
000001.SZ,20241231,非利息收入:手续费及佣金收入:资产托管(产品),P,1456000000.0,,,CNY,000001
000001.SZ,20241231,非利息收入:手续费及佣金收入:结算业务(产品),P,3022000000.0,,,CNY,000001
000001.SZ,20241231,非利息收入:手续费及佣金收入:其他(产品),P,4758000000.0,,,CNY,000001
000001.SZ,20241231,非利息收入:手续费及佣金收入:代理委托业务(产品),P,5434000000.0,,,CNY,000001
000001.SZ,20241231,利息收入:金融投资利息收入(产品),P,30538000000.0,,,CNY,000001
000001.SZ,20241231,利息收入:存放同业、拆放同业及买入返售金融资产(产品),P,10206000000.0,,,CNY,000001
000001.SZ,20241231,利息收入:存放中央银行款项(产品),P,3438000000.0,,,CNY,000001
000001.SZ,20241231,利息收入:发放贷款及垫款:票据贴现业务(产品),P,3428000000.0,,,CNY,000001
000001.SZ,20241231,利息收入:发放贷款及垫款:公司贷款业务(产品),P,49206000000.0,,,CNY,000001
000001.SZ,20241231,利息收入:发放贷款及垫款:个人贷款业务(产品),P,101565000000.0,,,CNY,000001
000001.SZ,20240630,非利息收入:手续费及佣金收入:银行卡业务(产品),P,6412000000.0,,,CNY,000001
