trade_date,title,report_type,author,name,ts_code,inst_csname,ind_name,url,code6
20260426,国信证券_2025年报及2026一季报点评：收入利润增速均回正_20260426.pdf,个股研报,"陈俊良,王剑",平安银行,000001.SZ,国信证券,银行Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202604261821586763_1.pdf?1777215803000.pdf,000001
20260322,国信证券_2025年报点评：资产质量压力减轻_20260322.pdf,个股研报,"王剑,陈俊良",平安银行,000001.SZ,国信证券,银行Ⅱ,https://pdf.dfcfw.com/pdf/H3_AP202603221820687530_1.pdf?1774197639000.pdf,000001
20251028,东兴证券_2025年三季报点评：三季度息差阶段企稳，资产质量总体平稳_2025-10-28.pdf,个股研报,"林瑾璐,田馨宇",平安银行,000001.SZ,东兴证券,银行,https://pdf.dfcfw.com/pdf/H3_AP202510281770514161_1.pdf?1761649474000.pdf,000001
20251026,国信证券_2025年三季报点评：息差环比回升，资产质量平稳_2025-10-26.pdf,个股研报,"王剑,陈俊良,田维韦",平安银行,000001.SZ,国信证券,银行,https://pdf.dfcfw.com/pdf/H3_AP202510261769278155_1.pdf?1761485376000.pdf,000001
20250827,中国银河_平安银行2025年半年报业绩点评：业绩基本面持续修复，不良生成拐点显现_2025-08-27.pdf,个股研报,"张一纬,袁世麟",平安银行,000001.SZ,中国银河,银行,https://pdf.dfcfw.com/pdf/H3_AP202508271735355813_1.pdf?1756305809000.pdf,000001
20250827,东兴证券_2025年半年报点评：盈利降幅收窄，零售资产质量改善_2025-08-27.pdf,个股研报,"林瑾璐,田馨宇",平安银行,000001.SZ,东兴证券,银行,https://pdf.dfcfw.com/pdf/H3_AP202508271735342281_1.pdf?1756304244000.pdf,000001
20250824,国信证券_2025年中报点评：收入利润降幅收窄，资产质量稳定_2025-08-24.pdf,个股研报,"王剑,陈俊良",平安银行,000001.SZ,国信证券,银行,https://pdf.dfcfw.com/pdf/H3_AP202508241733444225_1.pdf?1756038958000.pdf,000001
20250318,民生证券_2024年年报点评：结构优化见效，风险处置有力_2025-03-18.pdf,个股研报,余金鑫,平安银行,000001.SZ,民生证券,银行,https://pdf.dfcfw.com/pdf/H3_AP202503181644529525_1.pdf?1742337703000.pdf,000001
20250318,万联证券_点评报告：结构调整持续，资产质量指标变动不大_2025-03-18.pdf,个股研报,郭懿,平安银行,000001.SZ,万联证券,银行,https://pdf.dfcfw.com/pdf/H3_AP202503181644488421_1.pdf?1742320216000.pdf,000001
20250316,国信证券_贷款结构优化，营收降幅收窄_2025-03-16.pdf,个股研报,"陈俊良,王剑",平安银行,000001.SZ,国信证券,银行,https://pdf.dfcfw.com/pdf/H3_AP202503161644416306_1.pdf?1742122641000.pdf,000001
20241022,东兴证券_2024年三季报点评：零售业务调优结构，存款成本持续改善_2024-10-22.pdf,个股研报,"林瑾璐,田馨宇",平安银行,000001.SZ,东兴证券,银行,https://pdf.dfcfw.com/pdf/H3_AP202410221640398395_1.pdf?1729583333000.pdf,000001
20241020,国信证券_2024年三季报点评：持续优化贷款业务结构_2024-10-20.pdf,个股研报,"王剑,陈俊良",平安银行,000001.SZ,国信证券,银行,https://pdf.dfcfw.com/pdf/H3_AP202410201640374148_1.pdf?1729431524000.pdf,000001
20241019,民生证券_2024年三季报点评：息差降幅收窄，利润维持正增_2024-10-19.pdf,个股研报,"余金鑫,马月",平安银行,000001.SZ,民生证券,银行,https://pdf.dfcfw.com/pdf/H3_AP202410191640373303_1.pdf?1729354036000.pdf,000001
20240819,东兴证券_2024年半年报点评：净利润保持正增长，中期分红方案落地_2024-08-19.pdf,个股研报,"林瑾璐,田馨宇",平安银行,000001.SZ,东兴证券,银行,https://pdf.dfcfw.com/pdf/H3_AP202408191639328390_1.pdf?1724060673000.pdf,000001
20240819,万联证券_点评报告：调整业务结构 公布中期分红_2024-08-19.pdf,个股研报,郭懿,平安银行,000001.SZ,万联证券,银行,https://pdf.dfcfw.com/pdf/H3_AP202408191639329854_1.pdf?1727365503000.pdf,000001
20240816,国信证券_2024年中报点评：非息收入增长亮眼_2024-08-16.pdf,个股研报,"王剑,陈俊良,田维韦",平安银行,000001.SZ,国信证券,银行,https://pdf.dfcfw.com/pdf/H3_AP202408161639304268_1.pdf?1723804365000.pdf,000001
20240816,民生证券_2024年半年报点评：持续调整结构，宣布中期分红_2024-08-16.pdf,个股研报,"余金鑫,马月",平安银行,000001.SZ,民生证券,银行,https://pdf.dfcfw.com/pdf/H3_AP202408161639302707_1.pdf?1723799687000.pdf,000001
