trigger_stock_code,trigger_stock_name,auction_price,up_limit,auction_amount,auction_amount_yi,confirmation_status,data_source
300332,天壕能源,5.16,5.16,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
600727,鲁北化工,7.11,7.11,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
002067,景兴纸业,4.05,4.05,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
000524,岭南控股,10.84,10.84,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
002490,山东墨龙,7.67,7.67,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
001208,华菱线缆,16.34,16.34,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
603928,兴业股份,18.0,18.0,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
001395,亚联机械,26.03,26.03,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
603726,朗迪集团,33.5,33.5,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
002208,合肥城建,19.12,19.12,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
000977,浪潮信息,85.99,85.99,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
002414,高德红外,13.31,13.31,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
001229,魅视科技,46.97,46.97,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
002829,星网宇达,17.73,17.73,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
603496,恒为科技,26.99,26.99,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
600756,浪潮软件,14.55,14.55,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
603329,上海雅仕,10.16,10.16,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
600094,大名城,4.64,4.64,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
002274,华昌化工,5.43,5.43,0.0,0.0,待确认真实封单金额,stk_auction+stk_limit
