trade_date,trigger_stock_count,trigger_stocks,concept_count,concepts,bond_count,evaluable_trades,wins,win_rate,avg_return_pct
2026-05-06,2,"东阳光(600673,封单12.61亿)、通富微电(002156,封单11.04亿)",2,消毒剂、国家大基金持股,18,3,2,66.6667,-0.1338
2026-05-07,0,,0,,0,0,0,,
2026-05-08,0,,0,,0,0,0,,
2026-05-11,0,,0,,0,0,0,,
2026-05-12,0,,0,,0,0,0,,
2026-05-13,0,,0,,0,0,0,,
2026-05-14,0,,0,,0,0,0,,
2026-05-15,0,,0,,0,0,0,,
2026-05-18,4,"合肥城建(002208,封单8.83亿)、合肥城建(002208,封单8.83亿)、弘信电子(300657,封单5.28亿)、弘信电子(300657,封单5.28亿)",2,租售同权、无线耳机,35,6,2,33.3333,-0.1968
2026-05-19,0,,0,,0,0,0,,
2026-05-20,2,"金利华电(300069,封单5.4亿)、金利华电(300069,封单5.4亿)",2,线缆部件及其他、文化传媒概念,30,6,1,16.6667,-0.1796
2026-05-21,2,"京东方A(000725,封单22.2亿)、京东方Ａ(000725,封单22.2亿)",2,民营医院、沪深300样本股,50,3,2,66.6667,-0.1613
2026-05-22,2,"鹏鼎控股(002938,封单6.84亿)、鹏鼎控股(002938,封单6.84亿)",2,沪深300样本股、行业龙头,50,8,3,37.5,-0.5478
2026-05-25,0,,0,,0,0,0,,
2026-05-26,0,,0,,0,0,0,,
2026-05-27,2,"江海股份(002484,封单6.06亿)、江海股份(002484,封单6.06亿)",2,人形机器人、国企改革,50,0,0,,
2026-05-28,0,,0,,0,0,0,,
2026-05-29,0,,0,,0,0,0,,
