code,name,reason,trade_date
000066,中国长城,昨日已涨停,2026-05-06
601991,大唐发电,封单金额不足5亿,2026-05-06
603399,永杉锂业,封单金额不足5亿,2026-05-06
000620,盈新发展,封单金额不足5亿,2026-05-06
688069,德林海,封单金额不足5亿,2026-05-06
002290,禾盛新材,封单金额不足5亿,2026-05-06
603045,福达合金,封单金额不足5亿,2026-05-06
600673,东阳光,昨日已涨停,2026-05-07
002491,通鼎互联,封单金额不足5亿,2026-05-07
603045,福达合金,封单金额不足5亿,2026-05-07
300807,天迈科技,封单金额不足5亿,2026-05-07
688069,德林海,封单金额不足5亿,2026-05-07
002624,完美世界,封单金额不足5亿,2026-05-08
002317,众生药业,封单金额不足5亿,2026-05-08
601991,大唐发电,封单金额不足5亿,2026-05-08
603738,泰晶科技,封单金额不足5亿,2026-05-08
002929,润建股份,封单金额不足5亿,2026-05-08
000839,国安股份,封单金额不足5亿,2026-05-08
603636,南威软件,封单金额不足5亿,2026-05-08
603045,福达合金,封单金额不足5亿,2026-05-08
300449,汉邦高科,封单金额不足5亿,2026-05-11
603459,红板科技,封单金额不足5亿,2026-05-11
600172,黄河旋风,封单金额不足5亿,2026-05-11
002491,通鼎互联,封单金额不足5亿,2026-05-11
603045,福达合金,封单金额不足5亿,2026-05-11
002918,蒙娜丽莎,封单金额不足5亿,2026-05-11
603311,金海高科,封单金额不足5亿,2026-05-11
300449,汉邦高科,封单金额不足5亿,2026-05-12
300449,汉邦高科,封单金额不足5亿,2026-05-12
603052,可川科技,封单金额不足5亿,2026-05-12
603052,可川科技,封单金额不足5亿,2026-05-12
300959,线上线下,封单金额不足5亿,2026-05-12
300959,线上线下,封单金额不足5亿,2026-05-12
002918,蒙娜丽莎,封单金额不足5亿,2026-05-12
002918,蒙娜丽莎,封单金额不足5亿,2026-05-12
603007,顺景科技,封单金额不足5亿,2026-05-12
603007,花王股份,封单金额不足5亿,2026-05-12
001259,利仁科技,封单金额不足5亿,2026-05-12
001259,利仁科技,封单金额不足5亿,2026-05-12
600530,交大昂立,封单金额不足5亿,2026-05-12
600530,交大昂立,封单金额不足5亿,2026-05-12
603311,金海高科,封单金额不足5亿,2026-05-12
603311,金海高科,封单金额不足5亿,2026-05-12
300965,恒宇信通,封单金额不足5亿,2026-05-13
300965,恒宇信通,封单金额不足5亿,2026-05-13
603779,威龙股份,封单金额不足5亿,2026-05-13
603779,威龙股份,封单金额不足5亿,2026-05-13
001259,利仁科技,封单金额不足5亿,2026-05-13
001259,利仁科技,封单金额不足5亿,2026-05-13
603007,花王股份,封单金额不足5亿,2026-05-13
603007,顺景科技,封单金额不足5亿,2026-05-13
603052,可川科技,封单金额不足5亿,2026-05-13
603052,可川科技,封单金额不足5亿,2026-05-13
603070,万控智造,封单金额不足5亿,2026-05-13
603070,万控智造,封单金额不足5亿,2026-05-13
603126,中材节能,封单金额不足5亿,2026-05-13
603126,中材节能,封单金额不足5亿,2026-05-13
600156,华升股份,封单金额不足5亿,2026-05-13
600156,华升股份,封单金额不足5亿,2026-05-13
002777,久远银海,封单金额不足5亿,2026-05-13
002777,久远银海,封单金额不足5亿,2026-05-13
603779,威龙股份,封单金额不足5亿,2026-05-14
603779,威龙股份,封单金额不足5亿,2026-05-14
002309,中利集团,封单金额不足5亿,2026-05-14
002309,中利集团,封单金额不足5亿,2026-05-14
003018,金富科技,封单金额不足5亿,2026-05-14
003018,金富科技,封单金额不足5亿,2026-05-14
001259,利仁科技,封单金额不足5亿,2026-05-14
001259,利仁科技,封单金额不足5亿,2026-05-14
603007,花王股份,封单金额不足5亿,2026-05-14
603007,顺景科技,封单金额不足5亿,2026-05-14
600156,华升股份,封单金额不足5亿,2026-05-14
600156,华升股份,封单金额不足5亿,2026-05-14
603118,共进股份,封单金额不足5亿,2026-05-14
603118,共进股份,封单金额不足5亿,2026-05-14
600578,京能电力,封单金额不足5亿,2026-05-14
600578,京能电力,封单金额不足5亿,2026-05-14
