trade_date,rank,cb_code,cb_name,stk_code,stk_name,theme_score,matched_concepts,trigger_sources,risk_notes,open,close,t0_return_pct
2026-06-09,1,111025.SH,圣泉转债,605589,圣泉集团,1217.1878,先进封装、存储芯片,605589,剩余规模25.00亿,,,
2026-06-09,2,110040.SH,生益转债,600183,生益科技,217.1878,先进封装、存储芯片,605589,退市日期2019-08-01,,,
2026-06-09,3,113556.SH,至纯转债,603690,至纯科技,217.1878,先进封装、存储芯片,605589,退市日期2021-01-26,,,
2026-06-09,4,118017.SH,深科转债,688328,深科达,217.1878,先进封装、存储芯片,605589,强赎中；退市日期2024-01-10,,,
2026-06-09,5,118048.SH,利扬转债,688135,利扬芯片,217.1878,先进封装、存储芯片,605589,强赎中；退市日期2026-03-31,,,
2026-06-09,6,118049.SH,汇成转债,688403,汇成股份,217.1878,先进封装、存储芯片,605589,强赎中；退市日期2026-04-28,,,
2026-06-09,7,118054.SH,安集转债,688019,安集科技,217.1878,先进封装、存储芯片,605589,强赎中；退市日期2026-03-27,,,
2026-06-09,8,118055.SH,伟测转债,688372,伟测科技,217.1878,先进封装、存储芯片,605589,强赎中；退市日期2026-04-03,,,
2026-06-09,9,118058.SH,微导转债,688147,微导纳米,217.1878,先进封装、存储芯片,605589,成交额偏低14.3万；剩余规模11.70亿,333.0,354.227,6.374474474474468
2026-06-09,10,118064.SH,联瑞转债,688300,联瑞新材,217.1878,先进封装、存储芯片,605589,成交额偏低10.8万,434.95,445.808,2.4963788941257623
2026-06-09,11,118501.SH,华海定转,688535,华海诚科,217.1878,先进封装、存储芯片,605589,,,,
2026-06-09,12,123025.SZ,精测转债,300567,精测电子,217.1878,先进封装、存储芯片,605589,公告到期赎回；退市日期2025-03-31,,,
2026-06-09,13,123078.SZ,飞凯转债,300398,飞凯材料,217.1878,先进封装、存储芯片,605589,强赎中；退市日期2025-05-30,,,
2026-06-09,14,123176.SZ,精测转2,300567,精测电子,217.1878,先进封装、存储芯片,605589,成交额偏低7.9万；剩余规模12.75亿,367.23,389.747,6.131579663970807
2026-06-09,15,123197.SZ,光力转债,300480,光力科技,217.1878,先进封装、存储芯片,605589,强赎中；退市日期2026-04-16,,,
2026-06-09,16,123255.SZ,鼎龙转债,300054,鼎龙股份,217.1878,先进封装、存储芯片,605589,成交额偏低7.3万,349.0,352.948,1.1312320916905383
2026-06-09,17,124004.SZ,中京定转,002579,中京电子,217.1878,先进封装、存储芯片,605589,退市日期2022-09-21,,,
2026-06-09,18,124005.SZ,中京定02,002579,中京电子,217.1878,先进封装、存储芯片,605589,退市日期2022-09-21,,,
2026-06-09,19,127051.SZ,博杰转债,002975,博杰股份,217.1878,先进封装、存储芯片,605589,强赎中；退市日期2025-05-08,,,
2026-06-09,20,128003.SZ,华天转债,002185,华天科技,217.1878,先进封装、存储芯片,605589,退市日期2014-12-08,,,
2026-06-09,21,128035.SZ,大族转债,002008,大族激光,217.1878,先进封装、存储芯片,605589,公告到期赎回；退市日期2024-02-07,,,
2026-06-09,22,128088.SZ,深南转债,002916,深南电路,217.1878,先进封装、存储芯片,605589,退市日期2020-09-11,,,
2026-06-09,23,128122.SZ,兴森转债,002436,兴森科技,217.1878,先进封装、存储芯片,605589,公告到期赎回；退市日期2025-07-23,,,
2026-06-09,24,110081.SH,闻泰转债,600745,*ST闻泰,117.1878,先进封装,605589,成交额偏低1.6万；剩余规模85.96亿,90.43,89.953,-0.5274798186442595
2026-06-09,25,110800.SH,赛腾定转,603283,赛腾股份,117.1878,存储芯片,605589,退市日期2021-05-31,,,
2026-06-09,26,111010.SH,立昂转债,605358,立昂微,117.1878,存储芯片,605589,强赎中；成交额偏低51.2万；退市日期2026-06-18,199.997,218.981,9.492142382135722
2026-06-09,27,113031.SH,博威转债,601137,博威合金,117.1878,先进封装,605589,退市日期2020-08-31,,,
2026-06-09,28,113069.SH,博23转债,601137,博威合金,117.1878,先进封装,605589,强赎中；退市日期2026-01-22,,,
2026-06-09,29,113548.SH,石英转债,603688,石英股份,117.1878,存储芯片,605589,强赎中；退市日期2022-08-15,,,
2026-06-09,30,113566.SH,翔港转债,603499,翔港科技,117.1878,存储芯片,605589,强赎中；退市日期2024-04-15,,,
2026-06-09,31,113609.SH,永安转债,603776,永安行,117.1878,存储芯片,605589,强赎中；退市日期2025-08-12,,,
2026-06-09,32,113621.SH,彤程转债,603650,彤程新材,117.1878,存储芯片,605589,强赎中；退市日期2025-11-14,,,
2026-06-09,33,113630.SH,赛伍转债,603212,赛伍技术,117.1878,先进封装,605589,强赎中；退市日期2022-08-01,,,
2026-06-09,34,113639.SH,华正转债,603186,华正新材,117.1878,先进封装,605589,强赎中；退市日期2026-02-24,,,
2026-06-09,35,118011.SH,银微转债,688689,银河微电,117.1878,先进封装,605589,成交额偏低1.7万,138.999,140.127,0.8115166296160508
2026-06-09,36,118018.SH,瑞科转债,688323,瑞华泰,117.1878,先进封装,605589,强赎中；成交额偏低37.7万；退市日期2026-07-06,165.0,172.296,4.421818181818177
2026-06-09,37,118025.SH,奕瑞转债,688301,奕瑞科技,117.1878,先进封装,605589,强赎中；成交额偏低6.3万；剩余规模14.22亿,149.0,150.463,0.9818791946308683
2026-06-09,38,118033.SH,华特转债,688268,华特气体,117.1878,存储芯片,605589,强赎中；成交额偏低0.0万；退市日期2026-06-10,,,
2026-06-09,39,118038.SH,金宏转债,688106,金宏气体,117.1878,存储芯片,605589,强赎中；退市日期2026-04-29,,,
2026-06-09,40,118053.SH,正帆转债,688596,正帆科技,117.1878,存储芯片,605589,成交额偏低10.0万；剩余规模10.41亿,149.813,160.642,7.228344669688217
2026-06-09,41,118056.SH,路维转债,688401,路维光电,117.1878,先进封装,605589,成交额偏低6.0万,280.0,291.543,4.122500000000002
2026-06-09,42,118057.SH,甬矽转债,688362,甬矽电子,117.1878,先进封装,605589,强赎中；成交额偏低21.1万；退市日期2026-06-16,190.0,200.387,5.466842105263158
2026-06-09,43,118059.SH,颀中转债,688352,颀中科技,117.1878,先进封装,605589,成交额偏低7.0万,198.197,202.504,2.173090410046564
2026-06-09,44,118062.SH,天准转债,688003,天准科技,117.1878,先进封装,605589,成交额偏低8.5万,275.555,264.263,-4.097911487724784
2026-06-09,45,123022.SZ,长信转债,300088,长信科技,117.1878,先进封装,605589,公告到期赎回；退市日期2025-03-19,,,
2026-06-09,46,123027.SZ,蓝晓转债,300487,蓝晓科技,117.1878,存储芯片,605589,强赎中；退市日期2022-11-01,,,
2026-06-09,47,123031.SZ,晶瑞转债,300655,晶瑞电材,117.1878,存储芯片,605589,公告到期赎回；退市日期2025-08-29,,,
