trade_date,rank,cb_code,cb_name,stk_code,stk_name,theme_score,matched_concepts,trigger_sources,risk_notes,open,close,t0_return_pct
2026-06-09,1,113621.SH,彤程转债,603650,彤程新材,217.1878,光刻胶、存储芯片,605589,强赎中；退市日期2025-11-14,,,
2026-06-09,2,118033.SH,华特转债,688268,华特气体,217.1878,光刻胶、存储芯片,605589,强赎中；成交额偏低0.0万；退市日期2026-06-10,,,
2026-06-09,3,118054.SH,安集转债,688019,安集科技,217.1878,光刻胶、存储芯片,605589,强赎中；退市日期2026-03-27,,,
2026-06-09,4,123031.SZ,晶瑞转债,300655,晶瑞电材,217.1878,光刻胶、存储芯片,605589,公告到期赎回；退市日期2025-08-29,,,
2026-06-09,5,123078.SZ,飞凯转债,300398,飞凯材料,217.1878,光刻胶、存储芯片,605589,强赎中；退市日期2025-05-30,,,
2026-06-09,6,123124.SZ,晶瑞转2,300655,晶瑞电材,217.1878,光刻胶、存储芯片,605589,成交额偏低0.9万,137.949,142.699,3.443301509978325
2026-06-09,7,123170.SZ,南电转债,300346,南大光电,217.1878,光刻胶、存储芯片,605589,强赎中；退市日期2024-11-26,,,
2026-06-09,8,123255.SZ,鼎龙转债,300054,鼎龙股份,217.1878,光刻胶、存储芯片,605589,成交额偏低7.3万,349.0,352.948,1.1312320916905383
2026-06-09,9,110040.SH,生益转债,600183,生益科技,117.1878,存储芯片,605589,退市日期2019-08-01,,,
2026-06-09,10,110800.SH,赛腾定转,603283,赛腾股份,117.1878,存储芯片,605589,退市日期2021-05-31,,,
2026-06-09,11,111010.SH,立昂转债,605358,立昂微,117.1878,存储芯片,605589,强赎中；成交额偏低51.2万；退市日期2026-06-18,199.997,218.981,9.492142382135722
2026-06-09,12,113064.SH,东材转债,601208,东材科技,117.1878,光刻胶,605589,强赎中；退市日期2025-09-08,,,
2026-06-09,13,113548.SH,石英转债,603688,石英股份,117.1878,存储芯片,605589,强赎中；退市日期2022-08-15,,,
2026-06-09,14,113556.SH,至纯转债,603690,至纯科技,117.1878,存储芯片,605589,退市日期2021-01-26,,,
2026-06-09,15,113566.SH,翔港转债,603499,翔港科技,117.1878,存储芯片,605589,强赎中；退市日期2024-04-15,,,
2026-06-09,16,113609.SH,永安转债,603776,永安行,117.1878,存储芯片,605589,强赎中；退市日期2025-08-12,,,
2026-06-09,17,113677.SH,华懋转债,603306,华懋科技,117.1878,光刻胶,605589,成交额偏低7.7万；剩余规模10.49亿,344.038,367.89,6.932955080543421
2026-06-09,18,118006.SH,阿拉转债,688179,阿拉丁,117.1878,光刻胶,605589,强赎中；退市日期2026-05-06,,,
2026-06-09,19,118017.SH,深科转债,688328,深科达,117.1878,存储芯片,605589,强赎中；退市日期2024-01-10,,,
