date,trigger_count,concept_count,pick_count,evaluable_count,missing_count,win_count,win_rate,avg_ret,median_ret,best_ret,worst_ret,rejection_count
2026-06-01,0,0,0,0,0,0,,,,,,5
2026-06-02,0,0,0,0,0,0,,,,,,2
2026-06-03,0,0,0,0,0,0,,,,,,4
2026-06-04,0,0,0,0,0,0,,,,,,3
2026-06-05,0,0,0,0,0,0,,,,,,3
2026-06-08,0,0,0,0,0,0,,,,,,1
2026-06-09,1,43,50,10,40,7,70.0,3.274463275808821,3.1050300631392105,9.492142382135722,-0.8067809725794813,4
2026-06-10,0,0,0,0,0,0,,,,,,5
2026-06-11,0,0,0,0,0,0,,,,,,8
2026-06-12,0,0,0,0,0,0,,,,,,5
2026-06-15,0,0,0,0,0,0,,,,,,6
2026-06-16,0,0,0,0,0,0,,,,,,8
2026-06-17,0,0,0,0,0,0,,,,,,4
2026-06-18,0,0,0,0,0,0,,,,,,7
2026-06-19,0,0,0,0,0,0,,,,,,7
2026-06-22,0,0,0,0,0,0,,,,,,12
2026-06-23,0,0,0,0,0,0,,,,,,9
2026-06-24,0,0,0,0,0,0,,,,,,0
2026-06-25,0,0,0,0,0,0,,,,,,5
2026-06-26,0,0,0,0,0,0,,,,,,5
2026-06-29,0,0,0,0,0,0,,,,,,6
