date,rank,cb_code,cb_name,stk_code,stk_name,theme_score,concepts,trigger_sources,risk_notes,ret_oc_pct,high_from_open_pct,low_from_open_pct,relation_reason
2026-06-09,1,110051.SH,中天转债,600522,中天科技,1566.1878,6G概念、PCB概念、储能、商业航天、固态电池、新能源汽车、核电、沪股通、绿色电力、芯片概念、融资融券、超级电容、锂电池概念、风电、高贝塔值,605589,退市日期2021-12-17,,,,命中6G概念、PCB概念、储能、商业航天、固态电池、新能源汽车、核电、沪股通、绿色电力、芯片概念、融资融券、超级电容、锂电池概念、风电、高贝塔值
2026-06-09,2,113031.SH,博威转债,601137,博威合金,1466.1878,3D打印、6G概念、上证380成份股、先进封装、商业航天、增持计划、新能源汽车、沪股通、芯片概念、融资融券、近期强势、锂电池概念、高贝塔值、高铁,605589,退市日期2020-08-31,,,,命中3D打印、6G概念、上证380成份股、先进封装、商业航天、增持计划、新能源汽车、沪股通、芯片概念、融资融券、近期强势、锂电池概念、高贝塔值、高铁
2026-06-09,3,113069.SH,博23转债,601137,博威合金,1466.1878,3D打印、6G概念、上证380成份股、先进封装、商业航天、增持计划、新能源汽车、沪股通、芯片概念、融资融券、近期强势、锂电池概念、高贝塔值、高铁,605589,强赎中；退市日期2026-01-22,,,,命中3D打印、6G概念、上证380成份股、先进封装、商业航天、增持计划、新能源汽车、沪股通、芯片概念、融资融券、近期强势、锂电池概念、高贝塔值、高铁
2026-06-09,4,124004.SZ,中京定转,002579,中京电子,1466.1878,6G概念、OLED、PCB概念、储能、先进封装、军工、商业航天、存储芯片、新能源汽车、最近多板、芯片概念、融资融券、近期强势、高贝塔值,605589,退市日期2022-09-21,,,,命中6G概念、OLED、PCB概念、储能、先进封装、军工、商业航天、存储芯片、新能源汽车、最近多板、芯片概念、融资融券、近期强势、高贝塔值
2026-06-09,5,124005.SZ,中京定02,002579,中京电子,1466.1878,6G概念、OLED、PCB概念、储能、先进封装、军工、商业航天、存储芯片、新能源汽车、最近多板、芯片概念、融资融券、近期强势、高贝塔值,605589,退市日期2022-09-21,,,,命中6G概念、OLED、PCB概念、储能、先进封装、军工、商业航天、存储芯片、新能源汽车、最近多板、芯片概念、融资融券、近期强势、高贝塔值
2026-06-09,6,128035.SZ,大族转债,002008,大族激光,1466.1878,3D打印、OLED、PCB概念、中证500成份股、储能、先进封装、商业航天、固态电池、存储芯片、新能源汽车、芯片概念、融资融券、锂电池概念、高端装备,605589,公告到期赎回；退市日期2024-02-07,,,,命中3D打印、OLED、PCB概念、中证500成份股、储能、先进封装、商业航天、固态电池、存储芯片、新能源汽车、芯片概念、融资融券、锂电池概念、高端装备
2026-06-09,7,113639.SH,华正转债,603186,华正新材,1366.1878,6G概念、PCB概念、储能、先进封装、固态电池、最近多板、沪股通、石墨烯、绿色电力、芯片概念、近期强势、锂电池概念、高贝塔值,605589,强赎中；退市日期2026-02-24,,,,命中6G概念、PCB概念、储能、先进封装、固态电池、最近多板、沪股通、石墨烯、绿色电力、芯片概念、近期强势、锂电池概念、高贝塔值
2026-06-09,8,118018.SH,瑞科转债,688323,瑞华泰,1366.1878,6G概念、PCB概念、储能、先进封装、军工、商业航天、固态电池、塑料制品、芯片概念、融资融券、近期强势、风电、高贝塔值,605589,强赎中；成交额偏低37.7万；退市日期2026-07-06,4.421818181818177,7.776969696969694,-4.054545454545453,命中6G概念、PCB概念、储能、先进封装、军工、商业航天、固态电池、塑料制品、芯片概念、融资融券、近期强势、风电、高贝塔值
2026-06-09,9,110040.SH,生益转债,600183,生益科技,1266.1878,PCB概念、上证380成份股、先进封装、商业航天、存储芯片、新能源汽车、沪股通、社保新进、芯片概念、融资融券、近期强势、高贝塔值,605589,退市日期2019-08-01,,,,命中PCB概念、上证380成份股、先进封装、商业航天、存储芯片、新能源汽车、沪股通、社保新进、芯片概念、融资融券、近期强势、高贝塔值
2026-06-09,10,110056.SH,亨通转债,600487,亨通光电,1266.1878,6G概念、上证380成份股、中证500成份股、军工、新能源汽车、最近多板、沪股通、芯片概念、融资融券、近期强势、风电、高贝塔值,605589,强赎中；退市日期2022-12-06,,,,命中6G概念、上证380成份股、中证500成份股、军工、新能源汽车、最近多板、沪股通、芯片概念、融资融券、近期强势、风电、高贝塔值
2026-06-09,11,113064.SH,东材转债,601208,东材科技,1266.1878,OLED、PCB概念、光刻胶、军工、商业航天、塑料制品、新能源汽车、最近多板、沪股通、芯片概念、融资融券、近期强势,605589,强赎中；退市日期2025-09-08,,,,命中OLED、PCB概念、光刻胶、军工、商业航天、塑料制品、新能源汽车、最近多板、沪股通、芯片概念、融资融券、近期强势
2026-06-09,12,113582.SH,火炬转债,603678,火炬电子,1266.1878,上证380成份股、军工、商业航天、新能源汽车、最近多板、核电、沪股通、芯片概念、融资融券、超级电容、近期强势、高贝塔值,605589,强赎中；退市日期2025-04-23,,,,命中上证380成份股、军工、商业航天、新能源汽车、最近多板、核电、沪股通、芯片概念、融资融券、超级电容、近期强势、高贝塔值
