trade_date,month,trigger_stock_count,trigger_stocks,concept_count,selected_concepts,bond_count,evaluable_trades,wins,win_rate,avg_return_pct
2026-01-05,2026-01,4,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",2,金属制品(0.0486)、太赫兹(0.0106),18,5,4,80.0,1.3308
2026-01-06,2026-01,0,,0,,0,0,0,,
2026-01-07,2026-01,0,,0,,0,0,0,,
2026-01-08,2026-01,0,,0,,0,0,0,,
2026-01-09,2026-01,0,,0,,0,0,0,,
2026-01-12,2026-01,2,"烽火通信(600498,封单8.64亿)、通宇通讯(002792,封单6.13亿)",2,中俄贸易概念(-0.0003)、央企国企改革(-0.0012),50,10,8,80.0,1.813
2026-01-13,2026-01,0,,0,,0,0,0,,
2026-01-14,2026-01,1,"德邦股份(603056,封单20.81亿)",0,,0,0,0,,
2026-01-15,2026-01,1,"紫光国微(002049,封单11.71亿)",2,移动支付(0.1483)、数字货币(0.126),23,6,2,33.3333,-0.7322
2026-01-16,2026-01,0,,0,,0,0,0,,
2026-01-19,2026-01,1,"锋龙股份(002931,封单12.93亿)",2,股权转让(并购重组)(0.0051)、机器人概念(0.0028),50,12,9,75.0,1.2219
2026-01-20,2026-01,2,"盈方微(000670,封单7.28亿)、江化微(603078,封单7.18亿)",2,其他电子(0.062)、其他电子Ⅲ(0.062),5,3,0,0.0,-1.1567
2026-01-21,2026-01,1,"潍柴重机(000880,封单5.02亿)",2,海工装备(0.0169)、其他通用设备(0.0146),50,16,14,87.5,0.9758
2026-01-22,2026-01,1,"中超控股(002471,封单5.38亿)",2,石墨烯(-0.0206)、一带一路(-0.0259),50,8,5,62.5,0.5907
2026-01-23,2026-01,1,"明阳智能(601615,封单13.95亿)",2,行业龙头(0.0016)、2025年报预增(-0.025),50,8,7,87.5,0.4748
2026-01-26,2026-01,2,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",2,脑机接口(0.0387)、金属铅(0.0218),28,8,2,25.0,-2.1345
2026-01-27,2026-01,0,,0,,0,0,0,,
2026-01-28,2026-01,0,,0,,0,0,0,,
2026-01-29,2026-01,0,,0,,0,0,0,,
2026-01-30,2026-01,0,,0,,0,0,0,,
2026-02-02,2026-02,1,"民爆光电(301362,封单5.43亿)",2,生态农业(0.0445)、人民币贬值受益(0.008),50,18,0,0.0,-2.9855
2026-02-03,2026-02,0,,0,,0,0,0,,
2026-02-04,2026-02,0,,0,,0,0,0,,
2026-02-05,2026-02,0,,0,,0,0,0,,
2026-02-06,2026-02,0,,0,,0,0,0,,
2026-02-09,2026-02,1,"中文在线(300364,封单5.75亿)",2,数据确权(-0.012)、高市净率(-0.0411),21,5,5,100.0,1.2276
2026-02-10,2026-02,0,,0,,0,0,0,,
2026-02-11,2026-02,0,,0,,0,0,0,,
2026-02-12,2026-02,0,,0,,0,0,0,,
2026-02-13,2026-02,0,,0,,0,0,0,,
2026-02-24,2026-02,0,,0,,0,0,0,,
2026-02-25,2026-02,0,,0,,0,0,0,,
2026-02-26,2026-02,0,,0,,0,0,0,,
2026-02-27,2026-02,0,,0,,0,0,0,,
2026-03-02,2026-03,1,"洲际油气(600759,封单17.36亿)",2,海南(0.1935)、海南自贸区(0.1894),4,1,1,100.0,1.6715
2026-03-03,2026-03,0,,0,,0,0,0,,
2026-03-04,2026-03,1,"佰维存储(688525,封单8.09亿)",2,近期并购重组(0.0109)、AI PC(0.0018),50,19,10,52.6316,0.2066
2026-03-05,2026-03,0,,0,,0,0,0,,
2026-03-06,2026-03,0,,0,,0,0,0,,
2026-03-09,2026-03,0,,0,,0,0,0,,
2026-03-10,2026-03,0,,0,,0,0,0,,
2026-03-11,2026-03,0,,0,,0,0,0,,
2026-03-12,2026-03,0,,0,,0,0,0,,
2026-03-13,2026-03,0,,0,,0,0,0,,
2026-03-16,2026-03,0,,0,,0,0,0,,
2026-03-17,2026-03,0,,0,,0,0,0,,
2026-03-18,2026-03,0,,0,,0,0,0,,
2026-03-19,2026-03,0,,0,,0,0,0,,
2026-03-20,2026-03,1,"云南锗业(002428,封单5.81亿)",2,云南(-0.0496)、金属回收(-0.0504),31,6,2,33.3333,-1.2408
2026-03-23,2026-03,0,,0,,0,0,0,,
2026-03-24,2026-03,0,,0,,0,0,0,,
2026-03-25,2026-03,0,,0,,0,0,0,,
2026-03-26,2026-03,0,,0,,0,0,0,,
2026-03-27,2026-03,0,,0,,0,0,0,,
2026-03-30,2026-03,1,"天山铝业(002532,封单5.63亿)",2,低市盈率(0.0267)、2026一季报预增(0.0222),50,14,4,28.5714,-0.2544
2026-03-31,2026-03,0,,0,,0,0,0,,
2026-04-01,2026-04,0,,0,,0,0,0,,
2026-04-02,2026-04,0,,0,,0,0,0,,
2026-04-03,2026-04,0,,0,,0,0,0,,
2026-04-07,2026-04,0,,0,,0,0,0,,
2026-04-08,2026-04,1,"东山精密(002384,封单11.51亿)",2,2026一季报预增(-0.0373)、行业龙头(-0.0457),50,8,8,100.0,1.8383
2026-04-09,2026-04,1,"中恒电气(002364,封单10.42亿)",2,其他电源设备(0.1296)、其他电源设备Ⅲ(0.1296),11,1,1,100.0,2.5354
2026-04-10,2026-04,0,,0,,0,0,0,,
2026-04-13,2026-04,1,"博云新材(002297,封单6.6亿)",2,成飞概念(0.0874)、碳纤维(0.0729),32,7,3,42.8571,-0.1188
2026-04-14,2026-04,0,,0,,0,0,0,,
2026-04-15,2026-04,0,,0,,0,0,0,,
2026-04-16,2026-04,0,,0,,0,0,0,,
2026-04-17,2026-04,0,,0,,0,0,0,,
2026-04-20,2026-04,0,,0,,0,0,0,,
2026-04-21,2026-04,1,"安诺其(300067,封单5.73亿)",2,纺织化学用品(0.2254)、多模态AI(0.0918),22,6,1,16.6667,-2.7176
2026-04-22,2026-04,0,,0,,0,0,0,,
2026-04-23,2026-04,0,,0,,0,0,0,,
2026-04-24,2026-04,0,,0,,0,0,0,,
2026-04-27,2026-04,0,,0,,0,0,0,,
2026-04-28,2026-04,1,"利通电子(603629,封单5.52亿)",2,OLED(0.0514)、百元股(0.0372),50,16,2,12.5,-1.5646
2026-04-29,2026-04,0,,0,,0,0,0,,
2026-04-30,2026-04,0,,0,,0,0,0,,
2026-05-06,2026-05,2,"东阳光(600673,封单12.61亿)、通富微电(002156,封单11.04亿)",2,消毒剂(0.0511)、国家大基金持股(-0.0123),18,3,2,66.6667,-0.1338
2026-05-07,2026-05,0,,0,,0,0,0,,
2026-05-08,2026-05,0,,0,,0,0,0,,
2026-05-11,2026-05,0,,0,,0,0,0,,
2026-05-12,2026-05,0,,0,,0,0,0,,
2026-05-13,2026-05,0,,0,,0,0,0,,
2026-05-14,2026-05,0,,0,,0,0,0,,
2026-05-15,2026-05,0,,0,,0,0,0,,
2026-05-18,2026-05,2,"合肥城建(002208,封单8.83亿)、弘信电子(300657,封单5.28亿)",2,租售同权(0.0636)、无线耳机(0.0572),35,6,2,33.3333,-0.1968
2026-05-19,2026-05,0,,0,,0,0,0,,
2026-05-20,2026-05,1,"金利华电(300069,封单5.4亿)",2,线缆部件及其他(0.1096)、文化传媒概念(0.0684),30,6,1,16.6667,-0.1796
2026-05-21,2026-05,1,"京东方Ａ(000725,封单22.2亿)",2,民营医院(-0.0157)、沪深300样本股(-0.0218),50,3,2,66.6667,-0.1613
2026-05-22,2026-05,1,"鹏鼎控股(002938,封单6.84亿)",2,沪深300样本股(-0.0552)、行业龙头(-0.0918),50,8,3,37.5,-0.5478
2026-05-25,2026-05,0,,0,,0,0,0,,
2026-05-26,2026-05,0,,0,,0,0,0,,
2026-05-27,2026-05,1,"江海股份(002484,封单6.06亿)",2,人形机器人(0.0214)、国企改革(0.0041),50,0,0,,
2026-05-28,2026-05,0,,0,,0,0,0,,
2026-05-29,2026-05,0,,0,,0,0,0,,
2026-06-01,2026-06,0,,0,,0,0,0,,
2026-06-02,2026-06,0,,0,,0,0,0,,
2026-06-03,2026-06,0,,0,,0,0,0,,
2026-06-04,2026-06,0,,0,,0,0,0,,
2026-06-05,2026-06,0,,0,,0,0,0,,
2026-06-08,2026-06,0,,0,,0,0,0,,
2026-06-09,2026-06,1,"圣泉集团(605589,封单7.19亿)",2,先进封装(-0.0465)、存储芯片(-0.0497),50,14,12,85.7143,3.3005
2026-06-10,2026-06,0,,0,,0,0,0,,
2026-06-11,2026-06,0,,0,,0,0,0,,
2026-06-12,2026-06,0,,0,,0,0,0,,
2026-06-15,2026-06,0,,0,,0,0,0,,
2026-06-16,2026-06,0,,0,,0,0,0,,
2026-06-17,2026-06,0,,0,,0,0,0,,
2026-06-18,2026-06,0,,0,,0,0,0,,
2026-06-22,2026-06,0,,0,,0,0,0,,
2026-06-23,2026-06,1,"卫星化学(002648,封单6.63亿)",2,POE胶膜(0.5077)、环氧丙烷(0.4033),17,4,1,25.0,-0.8092
2026-06-24,2026-06,0,,0,,0,0,0,,
2026-06-25,2026-06,0,,0,,0,0,0,,
2026-06-26,2026-06,0,,0,,0,0,0,,
2026-06-29,2026-06,1,"多氟多(002407,封单6.04亿)",2,氟化工(2.9021)、中芯国际概念(1.7925),30,7,4,57.1429,3.4781
2026-06-30,2026-06,1,"水晶光电(002273,封单7.79亿)",2,光学元件(0.7389)、苹果概念(0.2104),40,13,12,92.3077,4.7141
