trade_date,month,rank,trigger_stocks,selected_concepts,cb_code,cb_name,stk_code,stk_name,matched_concepts,trigger_sources,theme_score,relation_reason,risk_notes,open,close,return_pct
2026-01-05,2026-01,1,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),128143.SZ,锋龙转债,002931,锋龙股份,金属制品,002931,1124.8285,正股为触发股，命中金属制品,强赎中；退市日期2025-03-13,,,
2026-01-05,2026-01,2,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),124007.SZ,雷科定转,002413,雷科防务,太赫兹,002413,1118.084,正股为触发股，命中太赫兹,,,,
2026-01-05,2026-01,3,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),124012.SZ,雷科定02,002413,雷科防务,太赫兹,002413,1118.084,正股为触发股，命中太赫兹,,,,
2026-01-05,2026-01,4,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),110005.SH,西洋转债,600558,大西洋,金属制品,002931,124.8285,命中金属制品,退市日期2010-05-19,,,
2026-01-05,2026-01,5,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),113535.SH,大业转债,603278,大业股份,金属制品,002931,124.8285,命中金属制品,强赎中；退市日期2024-01-16,,,
2026-01-05,2026-01,6,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),113568.SH,新春转债,603667,五洲新春,金属制品,002931,124.8285,命中金属制品,强赎中；退市日期2022-06-13,,,
2026-01-05,2026-01,7,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),113697.SH,应流转债,603308,应流股份,金属制品,002931,124.8285,命中金属制品,成交额偏低2.6万；剩余规模15.00亿,192.63,201.149,4.4225
2026-01-05,2026-01,8,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),113706.SH,金帝转债,603270,金帝股份,金属制品,002931,124.8285,命中金属制品,,,,
2026-01-05,2026-01,9,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),118009.SH,华锐转债,688059,华锐精密,金属制品,002931,124.8285,命中金属制品,强赎中；成交额偏低1.8万；退市日期2026-02-03,139.3,137.929,-0.9842
2026-01-05,2026-01,10,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),123215.SZ,铭利转债,301268,铭利达,金属制品,002931,124.8285,命中金属制品,成交额偏低0.4万,131.495,133.645,1.635
