code,month,name,reason,trade_date
301293,2026-01,三博脑科,封单金额不足5亿,2026-01-05
600775,2026-01,南京熊猫,封单金额不足5亿,2026-01-05
301363,2026-01,美好医疗,封单金额不足5亿,2026-01-05
600337,2026-01,美克家居,封单金额不足5亿,2026-01-05
002718,2026-01,友邦吊顶,封单金额不足5亿,2026-01-05
002195,2026-01,岩山科技,昨日已涨停,2026-01-06
002931,2026-01,锋龙股份,昨日已涨停,2026-01-06
002173,2026-01,创新医疗,昨日已涨停,2026-01-06
600775,2026-01,南京熊猫,昨日已涨停,2026-01-06
301293,2026-01,三博脑科,昨日已涨停,2026-01-06
301363,2026-01,美好医疗,昨日已涨停,2026-01-06
002324,2026-01,普利特,封单金额不足5亿,2026-01-06
603716,2026-01,塞力医疗,封单金额不足5亿,2026-01-06
002925,2026-01,盈趣科技,封单金额不足5亿,2026-01-06
000516,2026-01,国际医学,封单金额不足5亿,2026-01-06
001331,2026-01,胜通能源,封单金额不足5亿,2026-01-06
600337,2026-01,美克家居,封单金额不足5亿,2026-01-06
002757,2026-01,南兴股份,封单金额不足5亿,2026-01-06
002462,2026-01,嘉事堂,封单金额不足5亿,2026-01-06
920199,2026-01,倍益康,封单金额不足5亿,2026-01-06
002718,2026-01,友邦吊顶,封单金额不足5亿,2026-01-06
002195,2026-01,岩山科技,昨日已涨停,2026-01-07
002931,2026-01,锋龙股份,昨日已涨停,2026-01-07
600783,2026-01,鲁信创投,昨日已涨停,2026-01-07
002173,2026-01,创新医疗,昨日已涨停,2026-01-07
600775,2026-01,南京熊猫,昨日已涨停,2026-01-07
000620,2026-01,盈新发展,封单金额不足5亿,2026-01-07
002519,2026-01,银河电子,封单金额不足5亿,2026-01-07
002324,2026-01,普利特,封单金额不足5亿,2026-01-07
603650,2026-01,彤程新材,封单金额不足5亿,2026-01-07
000859,2026-01,国风新材,封单金额不足5亿,2026-01-07
600337,2026-01,美克家居,封单金额不足5亿,2026-01-07
001331,2026-01,胜通能源,封单金额不足5亿,2026-01-07
002462,2026-01,嘉事堂,封单金额不足5亿,2026-01-07
600266,2026-01,城建发展,封单金额不足5亿,2026-01-07
301213,2026-01,观想科技,封单金额不足5亿,2026-01-07
301363,2026-01,美好医疗,封单金额不足5亿,2026-01-07
002718,2026-01,友邦吊顶,封单金额不足5亿,2026-01-07
002931,2026-01,锋龙股份,昨日已涨停,2026-01-08
600783,2026-01,鲁信创投,昨日已涨停,2026-01-08
002173,2026-01,创新医疗,昨日已涨停,2026-01-08
002324,2026-01,普利特,封单金额不足5亿,2026-01-08
603938,2026-01,三孚股份,封单金额不足5亿,2026-01-08
002519,2026-01,银河电子,封单金额不足5亿,2026-01-08
600477,2026-01,杭萧钢构,封单金额不足5亿,2026-01-08
603015,2026-01,弘讯科技,封单金额不足5亿,2026-01-08
600337,2026-01,美克家居,封单金额不足5亿,2026-01-08
600935,2026-01,华塑股份,封单金额不足5亿,2026-01-08
002971,2026-01,和远气体,封单金额不足5亿,2026-01-08
002931,2026-01,锋龙股份,昨日已涨停,2026-01-09
600783,2026-01,鲁信创投,昨日已涨停,2026-01-09
600477,2026-01,杭萧钢构,封单金额不足5亿,2026-01-09
002342,2026-01,巨力索具,封单金额不足5亿,2026-01-09
600637,2026-01,东方明珠,封单金额不足5亿,2026-01-09
601106,2026-01,中国一重,封单金额不足5亿,2026-01-09
002431,2026-01,棕榈股份,封单金额不足5亿,2026-01-09
603017,2026-01,中衡设计,封单金额不足5亿,2026-01-09
000987,2026-01,越秀资本,封单金额不足5亿,2026-01-09
300986,2026-01,志特新材,封单金额不足5亿,2026-01-09
603015,2026-01,弘讯科技,封单金额不足5亿,2026-01-09
603938,2026-01,三孚股份,封单金额不足5亿,2026-01-09
002131,2026-01,利欧股份,昨日已涨停,2026-01-12
002931,2026-01,锋龙股份,昨日已涨停,2026-01-12
600477,2026-01,杭萧钢构,昨日已涨停,2026-01-12
002044,2026-01,美年健康,昨日已涨停,2026-01-12
002115,2026-01,三维通信,封单金额不足5亿,2026-01-12
000681,2026-01,视觉中国,封单金额不足5亿,2026-01-12
002519,2026-01,银河电子,封单金额不足5亿,2026-01-12
600783,2026-01,鲁信创投,封单金额不足5亿,2026-01-12
002342,2026-01,巨力索具,封单金额不足5亿,2026-01-12
600637,2026-01,东方明珠,封单金额不足5亿,2026-01-12
600776,2026-01,东方通信,封单金额不足5亿,2026-01-12
603598,2026-01,引力传媒,封单金额不足5亿,2026-01-12
002969,2026-01,嘉美包装,封单金额不足5亿,2026-01-12
300986,2026-01,志特新材,封单金额不足5亿,2026-01-12
603000,2026-01,人民网,封单金额不足5亿,2026-01-12
603496,2026-01,恒为科技,封单金额不足5亿,2026-01-12
003007,2026-01,直真科技,封单金额不足5亿,2026-01-12
002512,2026-01,达华智能,封单金额不足5亿,2026-01-12
600676,2026-01,交运股份,封单金额不足5亿,2026-01-12
603888,2026-01,新华网,封单金额不足5亿,2026-01-12
603305,2026-01,旭升集团,封单金额不足5亿,2026-01-12
600880,2026-01,博瑞传播,封单金额不足5亿,2026-01-12
600828,2026-01,茂业商业,封单金额不足5亿,2026-01-12
000503,2026-01,国新健康,封单金额不足5亿,2026-01-12
002115,2026-01,三维通信,昨日已涨停,2026-01-13
002131,2026-01,利欧股份,昨日已涨停,2026-01-13
002931,2026-01,锋龙股份,昨日已涨停,2026-01-13
002044,2026-01,美年健康,昨日已涨停,2026-01-13
002465,2026-01,海格通信,昨日已涨停,2026-01-13
603000,2026-01,人民网,封单金额不足5亿,2026-01-13
301230,2026-01,泓博医药,封单金额不足5亿,2026-01-13
000681,2026-01,视觉中国,封单金额不足5亿,2026-01-13
002400,2026-01,省广集团,封单金额不足5亿,2026-01-13
600676,2026-01,交运股份,封单金额不足5亿,2026-01-13
603598,2026-01,引力传媒,封单金额不足5亿,2026-01-13
002219,2026-01,新里程,封单金额不足5亿,2026-01-13
600776,2026-01,东方通信,封单金额不足5亿,2026-01-13
003007,2026-01,直真科技,封单金额不足5亿,2026-01-13
000593,2026-01,德龙汇能,封单金额不足5亿,2026-01-13
600477,2026-01,杭萧钢构,封单金额不足5亿,2026-01-13
003041,2026-01,真爱美家,封单金额不足5亿,2026-01-13
600877,2026-01,电科芯片,封单金额不足5亿,2026-01-13
603888,2026-01,新华网,封单金额不足5亿,2026-01-13
002115,2026-01,三维通信,昨日已涨停,2026-01-14
002044,2026-01,美年健康,昨日已涨停,2026-01-14
002465,2026-01,海格通信,封单金额不足5亿,2026-01-14
002153,2026-01,石基信息,封单金额不足5亿,2026-01-14
002112,2026-01,三变科技,封单金额不足5亿,2026-01-14
601116,2026-01,三江购物,封单金额不足5亿,2026-01-14
002219,2026-01,新里程,封单金额不足5亿,2026-01-14
601992,2026-01,金隅集团,封单金额不足5亿,2026-01-14
002879,2026-01,长缆科技,封单金额不足5亿,2026-01-14
603056,2026-01,德邦股份,缺少同花顺概念,2026-01-14
600410,2026-01,华胜天成,昨日已涨停,2026-01-15
603056,2026-01,德邦股份,昨日已涨停,2026-01-15
002218,2026-01,拓日新能,封单金额不足5亿,2026-01-15
300758,2026-01,七彩化学,封单金额不足5亿,2026-01-15
002153,2026-01,石基信息,封单金额不足5亿,2026-01-15
600058,2026-01,五矿发展,封单金额不足5亿,2026-01-15
002707,2026-01,众信旅游,封单金额不足5亿,2026-01-15
002554,2026-01,惠博普,封单金额不足5亿,2026-01-15
600785,2026-01,新华百货,封单金额不足5亿,2026-01-15
603056,2026-01,德邦股份,昨日已涨停,2026-01-16
600058,2026-01,五矿发展,封单金额不足5亿,2026-01-16
002028,2026-01,思源电气,封单金额不足5亿,2026-01-16
600841,2026-01,动力新科,封单金额不足5亿,2026-01-16
002498,2026-01,汉缆股份,封单金额不足5亿,2026-01-19
002358,2026-01,森源电气,封单金额不足5亿,2026-01-19
002112,2026-01,三变科技,封单金额不足5亿,2026-01-19
002931,2026-01,锋龙股份,昨日已涨停,2026-01-20
002498,2026-01,汉缆股份,封单金额不足5亿,2026-01-20
002358,2026-01,森源电气,封单金额不足5亿,2026-01-20
600986,2026-01,浙文互联,封单金额不足5亿,2026-01-20
002931,2026-01,锋龙股份,昨日已涨停,2026-01-21
000670,2026-01,盈方微,昨日已涨停,2026-01-21
603078,2026-01,江化微,封单金额不足5亿,2026-01-21
002279,2026-01,久其软件,封单金额不足5亿,2026-01-21
301031,2026-01,中熔电气,封单金额不足5亿,2026-01-21
301023,2026-01,奕帆传动,封单金额不足5亿,2026-01-21
002876,2026-01,三利谱,封单金额不足5亿,2026-01-21
002165,2026-01,红 宝 丽,封单金额不足5亿,2026-01-21
002931,2026-01,锋龙股份,昨日已涨停,2026-01-22
000670,2026-01,盈方微,昨日已涨停,2026-01-22
603078,2026-01,江化微,封单金额不足5亿,2026-01-22
002636,2026-01,金安国纪,封单金额不足5亿,2026-01-22
000880,2026-01,潍柴重机,封单金额不足5亿,2026-01-22
603778,2026-01,国晟科技,封单金额不足5亿,2026-01-22
002931,2026-01,锋龙股份,封单金额不足5亿,2026-01-23
002943,2026-01,宇晶股份,封单金额不足5亿,2026-01-23
002471,2026-01,中超控股,封单金额不足5亿,2026-01-23
600481,2026-01,双良节能,封单金额不足5亿,2026-01-23
603078,2026-01,江化微,封单金额不足5亿,2026-01-23
601615,2026-01,明阳智能,昨日已涨停,2026-01-26
002218,2026-01,拓日新能,封单金额不足5亿,2026-01-26
600531,2026-01,豫光金铅,封单金额不足5亿,2026-01-26
600986,2026-01,浙文互联,封单金额不足5亿,2026-01-26
002506,2026-01,协鑫集成,封单金额不足5亿,2026-01-26
603331,2026-01,百达精工,封单金额不足5亿,2026-01-26
603271,2026-01,永杰新材,封单金额不足5亿,2026-01-26
603045,2026-01,福达合金,封单金额不足5亿,2026-01-26
002995,2026-01,天地在线,封单金额不足5亿,2026-01-26
002155,2026-01,湖南黄金,昨日已涨停,2026-01-27
002291,2026-01,遥望科技,封单金额不足5亿,2026-01-27
002155,2026-01,湖南黄金,昨日已涨停,2026-01-28
600916,2026-01,中国黄金,昨日已涨停,2026-01-28
000620,2026-01,盈新发展,封单金额不足5亿,2026-01-28
000815,2026-01,美利云,封单金额不足5亿,2026-01-28
001376,2026-01,百通能源,封单金额不足5亿,2026-01-28
002155,2026-01,湖南黄金,昨日已涨停,2026-01-29
600916,2026-01,中国黄金,昨日已涨停,2026-01-29
600499,2026-01,科达制造,封单金额不足5亿,2026-01-29
601069,2026-01,西部黄金,封单金额不足5亿,2026-01-29
600871,2026-01,石化油服,封单金额不足5亿,2026-01-29
000813,2026-01,德展健康,封单金额不足5亿,2026-01-29
601388,2026-01,怡球资源,封单金额不足5亿,2026-01-29
002455,2026-01,百川股份,封单金额不足5亿,2026-01-29
600084,2026-01,中信尼雅,封单金额不足5亿,2026-01-29
000506,2026-01,招金黄金,封单金额不足5亿,2026-01-29
688583,2026-01,思看科技,封单金额不足5亿,2026-01-30
603172,2026-01,万丰股份,封单金额不足5亿,2026-01-30
600395,2026-01,盘江股份,封单金额不足5亿,2026-01-30
600084,2026-01,中信尼雅,封单金额不足5亿,2026-01-30
002155,2026-01,湖南黄金,封单金额不足5亿,2026-01-30
603618,2026-02,杭电股份,封单金额不足5亿,2026-02-02
002112,2026-02,三变科技,封单金额不足5亿,2026-02-02
000533,2026-02,顺钠股份,封单金额不足5亿,2026-02-02
603172,2026-02,万丰股份,封单金额不足5亿,2026-02-02
603103,2026-02,横店影视,封单金额不足5亿,2026-02-02
002780,2026-02,三夫户外,封单金额不足5亿,2026-02-02
301362,2026-02,民爆光电,封单金额不足5亿,2026-02-03
603618,2026-02,杭电股份,封单金额不足5亿,2026-02-03
603172,2026-02,万丰股份,封单金额不足5亿,2026-02-03
600266,2026-02,城建发展,封单金额不足5亿,2026-02-03
603103,2026-02,横店影视,封单金额不足5亿,2026-02-03
600683,2026-02,京投发展,封单金额不足5亿,2026-02-03
000856,2026-02,冀东装备,封单金额不足5亿,2026-02-03
600149,2026-02,廊坊发展,封单金额不足5亿,2026-02-03
301362,2026-02,民爆光电,昨日已涨停,2026-02-04
002342,2026-02,巨力索具,封单金额不足5亿,2026-02-04
603616,2026-02,韩建河山,封单金额不足5亿,2026-02-04
300912,2026-02,凯龙高科,封单金额不足5亿,2026-02-04
600481,2026-02,双良节能,封单金额不足5亿,2026-02-04
000070,2026-02,特发信息,封单金额不足5亿,2026-02-04
300912,2026-02,凯龙高科,封单金额不足5亿,2026-02-05
603616,2026-02,韩建河山,封单金额不足5亿,2026-02-05
601015,2026-02,陕西黑猫,封单金额不足5亿,2026-02-05
002830,2026-02,名雕股份,封单金额不足5亿,2026-02-06
300912,2026-02,凯龙高科,封单金额不足5亿,2026-02-06
003018,2026-02,金富科技,封单金额不足5亿,2026-02-06
600814,2026-02,杭州解百,封单金额不足5亿,2026-02-06
002728,2026-02,特一药业,封单金额不足5亿,2026-02-06
603616,2026-02,韩建河山,封单金额不足5亿,2026-02-06
600884,2026-02,杉杉股份,昨日已涨停,2026-02-09
603533,2026-02,掌阅科技,封单金额不足5亿,2026-02-09
300912,2026-02,凯龙高科,封单金额不足5亿,2026-02-09
603980,2026-02,吉华集团,封单金额不足5亿,2026-02-09
605287,2026-02,德才股份,封单金额不足5亿,2026-02-09
002455,2026-02,百川股份,封单金额不足5亿,2026-02-09
001330,2026-02,博纳影业,封单金额不足5亿,2026-02-09
601595,2026-02,上海电影,封单金额不足5亿,2026-02-09
002429,2026-02,兆驰股份,封单金额不足5亿,2026-02-09
603729,2026-02,龙韵股份,封单金额不足5亿,2026-02-09
003018,2026-02,金富科技,封单金额不足5亿,2026-02-09
301231,2026-02,荣信文化,封单金额不足5亿,2026-02-09
000892,2026-02,欢瑞世纪,封单金额不足5亿,2026-02-09
002624,2026-02,完美世界,封单金额不足5亿,2026-02-09
600586,2026-02,金晶科技,封单金额不足5亿,2026-02-09
603466,2026-02,风语筑,封单金额不足5亿,2026-02-09
000014,2026-02,沙河股份,封单金额不足5亿,2026-02-09
301262,2026-02,海看股份,封单金额不足5亿,2026-02-09
002099,2026-02,海翔药业,封单金额不足5亿,2026-02-09
603533,2026-02,掌阅科技,昨日已涨停,2026-02-10
600589,2026-02,大位科技,封单金额不足5亿,2026-02-10
000892,2026-02,欢瑞世纪,封单金额不足5亿,2026-02-10
605287,2026-02,德才股份,封单金额不足5亿,2026-02-10
002455,2026-02,百川股份,封单金额不足5亿,2026-02-10
603980,2026-02,吉华集团,封单金额不足5亿,2026-02-10
002429,2026-02,兆驰股份,封单金额不足5亿,2026-02-10
301231,2026-02,荣信文化,封单金额不足5亿,2026-02-10
603729,2026-02,龙韵股份,封单金额不足5亿,2026-02-10
002723,2026-02,小崧股份,封单金额不足5亿,2026-02-10
603533,2026-02,掌阅科技,昨日已涨停,2026-02-11
600589,2026-02,大位科技,封单金额不足5亿,2026-02-11
000070,2026-02,特发信息,封单金额不足5亿,2026-02-11
001896,2026-02,豫能控股,封单金额不足5亿,2026-02-11
603729,2026-02,龙韵股份,封单金额不足5亿,2026-02-11
001217,2026-02,华尔泰,封单金额不足5亿,2026-02-11
000892,2026-02,欢瑞世纪,封单金额不足5亿,2026-02-11
002723,2026-02,小崧股份,封单金额不足5亿,2026-02-11
605287,2026-02,德才股份,封单金额不足5亿,2026-02-11
603533,2026-02,掌阅科技,昨日已涨停,2026-02-12
001896,2026-02,豫能控股,封单金额不足5亿,2026-02-12
600589,2026-02,大位科技,封单金额不足5亿,2026-02-12
605033,2026-02,美邦股份,封单金额不足5亿,2026-02-12
600821,2026-02,金开新能,封单金额不足5亿,2026-02-12
600397,2026-02,江钨装备,封单金额不足5亿,2026-02-12
002272,2026-02,川润股份,封单金额不足5亿,2026-02-12
000070,2026-02,特发信息,封单金额不足5亿,2026-02-12
603138,2026-02,海量数据,封单金额不足5亿,2026-02-12
603757,2026-02,大元泵业,封单金额不足5亿,2026-02-12
605033,2026-02,美邦股份,封单金额不足5亿,2026-02-13
