list_type,cb_code,cb_name,stk_code,stk_name,theme_score,matched_concepts,trigger_sources,relation_reason,premium_rate,cb_amount,remain_size_yi,call_status,risk_notes,quality_tier,quality_tier_reason,observation_reason
主买,110090.SH,爱迪转债,600933,爱柯迪,129.1395,共封装光学(CPO),002185,命中共封装光学(CPO),,,15.7,公告不强赎,剩余规模15.70亿,A,概念竞价强度0.82%,
主买,111024.SH,澳弘转债,605058,澳弘电子,129.1395,共封装光学(CPO),002185,命中共封装光学(CPO),,,5.8,安全,,A,概念竞价强度0.82%,
主买,113677.SH,华懋转债,603306,华懋科技,129.1395,共封装光学(CPO),002185,命中共封装光学(CPO),,,10.49,公告不强赎,剩余规模10.49亿,A,概念竞价强度0.82%,
主买,113678.SH,中贝转债,603220,中贝通信,129.1395,共封装光学(CPO),002185,命中共封装光学(CPO),,,5.11,公告不强赎,,A,概念竞价强度0.82%,
主买,118042.SH,奥维转债,688516,奥特维,129.1395,共封装光学(CPO),002185,命中共封装光学(CPO),,,11.4,安全,剩余规模11.40亿,A,概念竞价强度0.82%,
主买,118059.SH,颀中转债,688352,颀中科技,129.1395,集成电路封测,002185,命中集成电路封测,,,8.5,公告不强赎,,A,概念竞价强度1.70%,
主买,118500.SH,思瑞定转,688536,思瑞浦,129.1395,共封装光学(CPO),002185,命中共封装光学(CPO),,,0.0,安全,,A,概念竞价强度0.82%,
主买,123253.SZ,永贵转债,300351,永贵电器,129.1395,共封装光学(CPO),002185,命中共封装光学(CPO),,,9.8,安全,,A,概念竞价强度0.82%,
主买,123268.SZ,本川转债,300964,本川智能,129.1395,共封装光学(CPO),002185,命中共封装光学(CPO),,,4.69,安全,,A,概念竞价强度0.82%,
主买,127038.SZ,国微转债,002049,紫光国微,129.1395,共封装光学(CPO),002185,命中共封装光学(CPO),,,14.92,公告不强赎,剩余规模14.92亿,A,概念竞价强度0.82%,
主买,128136.SZ,立讯转债,002475,立讯精密,129.1395,共封装光学(CPO),002185,命中共封装光学(CPO),,,29.85,安全,剩余规模29.85亿,A,概念竞价强度0.82%,
