model,list_type,rank,trigger_stocks,selected_concepts,cb_code,cb_name,stk_name,matched_concepts,quality_tier,observation_reason,risk_notes,open,close,return_pct
V2.0,主买,1,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),128020.SZ,水晶转债,水晶光电,光学元件、苹果概念,A,,退市日期2020-02-24,,,
V2.0,主买,2,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),128101.SZ,联创转债,联创电子,光学元件、苹果概念,A,,公告到期赎回；退市日期2026-03-17,,,
V2.0,主买,3,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),110081.SH,闻泰转债,*ST闻泰,苹果概念,A,,成交额偏低6.5万；剩余规模80.63亿,96.376,92.498,-4.0238
V2.0,主买,4,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),110101.SH,宝钛转债,宝钛股份,苹果概念,A,,剩余规模35.00亿,,,
V2.0,主买,5,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),110800.SH,赛腾定转,赛腾股份,苹果概念,A,,退市日期2021-05-31,,,
V2.0,主买,6,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),111012.SH,福新转债,福莱新材,苹果概念,A,,成交额偏低15.3万,269.0,293.944,9.2729
V2.0,主买,7,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),113045.SH,环旭转债,环旭电子,苹果概念,A,,强赎中；退市日期2026-01-29,,,
V2.0,主买,8,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),113046.SH,金田转债,金田股份,苹果概念,A,,成交额偏低1.2万；剩余规模14.99亿,128.999,133.384,3.3993
V2.0,主买,9,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),113064.SH,东材转债,东材科技,苹果概念,A,,强赎中；退市日期2025-09-08,,,
V2.0,主买,10,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),113068.SH,金铜转债,金田股份,苹果概念,A,,强赎中；退市日期2025-08-26,,,
V2.0,主买,11,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),113521.SH,科森转债,科森科技,苹果概念,A,,退市日期2020-11-27,,,
V2.0,主买,12,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),113573.SH,纵横转债,纵横通信,苹果概念,A,,强赎中；退市日期2024-12-05,,,
V2.0,主买,13,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),113672.SH,福蓉转债,福蓉科技,苹果概念,A,,强赎中；退市日期2026-01-29,,,
V2.0,主买,14,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),118003.SH,华兴转债,华兴源创,苹果概念,A,,强赎中；退市日期2026-05-19,,,
V2.0,主买,15,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),118024.SH,冠宇转债,珠海冠宇,苹果概念,A,,成交额偏低1.9万；剩余规模30.89亿,126.96,129.91,2.3236
V2.0,主买,16,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),118043.SH,福立转债,福立旺,苹果概念,A,,强赎中；退市日期2026-02-11,,,
V2.0,主买,17,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),118061.SH,茂莱转债,茂莱光学,光学元件,A,,成交额偏低29.8万,221.0,263.852,19.39
V2.0,主买,18,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),118062.SH,天准转债,天准科技,苹果概念,A,,成交额偏低13.2万,281.475,312.023,10.8528
V2.0,主买,19,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),118066.SH,统联转债,统联精密,苹果概念,A,,成交额偏低0.4万,132.5,136.74,3.2
V2.0,主买,20,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123003.SZ,蓝思转债,蓝思科技,苹果概念,A,,退市日期2020-02-19,,,
V2.0,主买,21,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123016.SZ,洲明转债,洲明科技,苹果概念,A,,退市日期2020-03-20,,,
V2.0,主买,22,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123022.SZ,长信转债,长信科技,苹果概念,A,,公告到期赎回；退市日期2025-03-19,,,
V2.0,主买,23,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123025.SZ,精测转债,精测电子,苹果概念,A,,公告到期赎回；退市日期2025-03-31,,,
V2.0,主买,24,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123038.SZ,联得转债,联得装备,苹果概念,A,,强赎中；退市日期2025-08-20,,,
V2.0,主买,25,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123058.SZ,欣旺转债,欣旺达,苹果概念,A,,退市日期2021-07-14,,,
V2.0,主买,26,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123138.SZ,丝路转债,丝路视觉,苹果概念,A,,成交额偏低0.2万,123.648,124.118,0.3801
V2.0,主买,27,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123176.SZ,精测转2,精测电子,苹果概念,A,,成交额偏低19.8万；剩余规模12.75亿,508.0,537.278,5.7634
V2.0,主买,28,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123193.SZ,海能转债,海能实业,苹果概念,A,,成交额偏低0.3万,123.356,124.456,0.8917
V2.0,主买,29,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123237.SZ,佳禾转债,佳禾智能,苹果概念,A,,成交额偏低0.4万,128.688,130.79,1.6334
V2.0,主买,30,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123262.SZ,神宇转债,神宇股份,苹果概念,A,,成交额偏低3.1万,131.963,140.305,6.3215
V2.0,主买,31,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),125969.SZ,安泰转债,安泰科技,苹果概念,A,,退市日期2010-06-23,,,
