list_type,cb_code,cb_name,stk_code,stk_name,quality_tier,theme_score,matched_concepts,trigger_sources,relation_reason,premium_rate,cb_amount,remain_size_yi,risk_notes,quality_tier_reason,observation_reason
主买,113503.SH,泰晶转债,603738,泰晶科技,A,1117.9555,被动元件,603738,正股为触发股，命中被动元件,,,0.0,退市日期2020-05-27,概念竞价强度3.24%,
主买,110051.SH,中天转债,600522,中天科技,A,119.998,超级电容,000733,命中超级电容,,,0.0,退市日期2021-12-17,概念竞价强度0.78%,
主买,111025.SH,圣泉转债,605589,圣泉集团,A,119.998,超级电容,000733,命中超级电容,,,25.0,剩余规模25.00亿,概念竞价强度0.78%,
主买,113554.SH,仙鹤转债,603733,仙鹤股份,A,119.998,超级电容,000733,命中超级电容,,,0.0,退市日期2020-09-11,概念竞价强度0.78%,
主买,113582.SH,火炬转债,603678,火炬电子,A,119.998,超级电容,000733,命中超级电容,,,0.0,强赎中；退市日期2025-04-23,概念竞价强度0.78%,
主买,113632.SH,鹤21转债,603733,仙鹤股份,A,119.998,超级电容,000733,命中超级电容,,,16.98,公告提示强赎；剩余规模16.98亿,概念竞价强度0.78%,
主买,113701.SH,祥和转债,603500,祥和实业,A,119.998,超级电容,000733,命中超级电容,,,4.0,,概念竞价强度0.78%,
主买,123012.SZ,万顺转债,300057,万顺新材,A,119.998,超级电容,000733,命中超级电容,,,0.0,公告到期赎回；退市日期2024-07-22,概念竞价强度0.78%,
主买,123085.SZ,万顺转2,300057,万顺新材,A,119.998,超级电容,000733,命中超级电容,,,0.0,强赎中；退市日期2026-05-26,概念竞价强度0.78%,
主买,123125.SZ,元力转债,300174,元力股份,A,119.998,超级电容,000733,命中超级电容,,,0.0,强赎中；退市日期2023-01-17,概念竞价强度0.78%,
主买,123158.SZ,宙邦转债,300037,新宙邦,A,119.998,超级电容,000733,命中超级电容,,,18.05,剩余规模18.05亿,概念竞价强度0.78%,
主买,127040.SZ,国泰转债,002091,江苏国泰,A,119.998,超级电容,000733,命中超级电容,,,39.86,剩余规模39.86亿,概念竞价强度0.78%,
主买,127061.SZ,美锦转债,000723,美锦能源,A,119.998,超级电容,000733,命中超级电容,,,27.89,剩余规模27.89亿,概念竞价强度0.78%,
主买,127074.SZ,麦米转2,002851,麦格米特,A,119.998,超级电容,000733,命中超级电容,,,0.0,强赎中；退市日期2024-12-16,概念竞价强度0.78%,
主买,128001.SZ,泰尔转债,002347,泰尔股份,A,119.998,超级电容,000733,命中超级电容,,,0.0,退市日期2014-11-21,概念竞价强度0.78%,
主买,128082.SZ,华锋转债,002806,华锋股份,A,119.998,超级电容,000733,命中超级电容,,,0.0,强赎中；退市日期2025-07-30,概念竞价强度0.78%,
主买,128089.SZ,麦米转债,002851,麦格米特,A,119.998,超级电容,000733,命中超级电容,,,0.0,退市日期2020-09-10,概念竞价强度0.78%,
主买,113504.SH,艾华转债,603989,艾华集团,A,117.9555,被动元件,603738,命中被动元件,,,0.0,公告到期赎回；退市日期2024-03-04,概念竞价强度3.24%,
