list_type,cb_code,cb_name,stk_code,stk_name,quality_tier,theme_score,matched_concepts,trigger_sources,relation_reason,premium_rate,cb_amount,remain_size_yi,risk_notes,quality_tier_reason,observation_reason
主买,110046.SH,圆通转债,600233,圆通速递,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,退市日期2020-03-23,,
主买,110056.SH,亨通转债,600487,亨通光电,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2022-12-06,,
主买,110058.SH,永鼎转债,600105,永鼎股份,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2024-12-20,,
主买,110800.SH,赛腾定转,603283,赛腾股份,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,退市日期2021-05-31,,
主买,113020.SH,桐昆转债,601233,桐昆股份,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,退市日期2020-11-27,,
主买,113024.SH,核建转债,601611,中国核建,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,公告到期赎回；退市日期2025-04-08,,
主买,113032.SH,桐20转债,601233,桐昆股份,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,退市日期2021-01-14,,
主买,113035.SH,福莱转债,601865,福莱特,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,退市日期2021-02-01,,
主买,113059.SH,福莱转债,601865,福莱特,,117.0784,长三角一体化,002635,命中长三角一体化,,,40.0,剩余规模40.00亿,,
主买,113502.SH,嘉澳转债,603822,ST嘉澳,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2022-09-23,,
主买,113508.SH,新凤转债,603225,新凤鸣,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,退市日期2021-09-01,,
主买,113516.SH,苏农转债,603323,苏农银行,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,公告到期赎回；退市日期2024-08-02,,
主买,113525.SH,台华转债,603055,台华新材,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2023-01-06,,
主买,113541.SH,荣晟转债,603165,荣晟环保,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2022-06-28,,
主买,113578.SH,全筑转债,603030,全筑股份,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,退市日期2024-01-30,,
主买,113593.SH,沪工转债,603131,上海沪工,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2026-01-22,,
主买,113598.SH,法兰转债,603966,法兰泰克,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2025-06-20,,
主买,113606.SH,荣泰转债,603579,荣泰健康,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2025-09-12,,
主买,113612.SH,永冠转债,603681,永冠新材,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,退市日期2021-09-10,,
主买,113623.SH,凤21转债,603225,新凤鸣,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2026-03-11,,
主买,113628.SH,晨丰转债,603685,晨丰科技,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2025-11-21,,
主买,113630.SH,赛伍转债,603212,赛伍技术,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2022-08-01,,
主买,113638.SH,台21转债,603055,台华新材,,117.0784,长三角一体化,002635,命中长三角一体化,,,6.0,,,
主买,113641.SH,华友转债,603799,华友钴业,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2025-09-29,,
主买,113653.SH,永22转债,603681,永冠新材,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2026-04-22,,
主买,113676.SH,荣23转债,603165,荣晟环保,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2026-03-25,,
主买,113679.SH,芯能转债,603105,芯能科技,,117.0784,长三角一体化,002635,命中长三角一体化,,,8.8,,,
主买,113686.SH,泰瑞转债,603289,泰瑞机器,,117.0784,长三角一体化,002635,命中长三角一体化,,,3.36,,,
主买,118038.SH,金宏转债,688106,金宏气体,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2026-04-29,,
主买,123077.SZ,汉得转债,300170,汉得信息,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2023-05-11,,
主买,123170.SZ,南电转债,300346,南大光电,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2024-11-26,,
主买,123239.SZ,锋工转债,300488,恒锋工具,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2026-04-09,,
主买,127046.SZ,百润转债,002568,百润股份,,117.0784,长三角一体化,002635,命中长三角一体化,,,11.27,剩余规模11.27亿,,
主买,127048.SZ,中大转债,002896,中大力德,,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2022-09-13,,
主买,127054.SZ,双箭转债,002381,双箭股份,,117.0784,长三角一体化,002635,命中长三角一体化,,,5.14,,,
主买,127104.SZ,姚记转债,002605,姚记科技,,117.0784,长三角一体化,002635,命中长三角一体化,,,5.82,,,
