list_type,cb_code,cb_name,stk_code,stk_name,quality_tier,theme_score,matched_concepts,trigger_sources,relation_reason,premium_rate,cb_amount,remain_size_yi,risk_notes,quality_tier_reason,observation_reason
主买,113059.SH,福莱转债,601865,福莱特,A,117.0784,长三角一体化,002635,命中长三角一体化,,,40.0,剩余规模40.00亿,概念竞价强度0.60%,
主买,113638.SH,台21转债,603055,台华新材,A,117.0784,长三角一体化,002635,命中长三角一体化,,,6.0,,概念竞价强度0.60%,
主买,113667.SH,春23转债,603890,春秋电子,A,117.0784,消费电子,002635,命中消费电子,,,5.7,,概念竞价强度0.50%,
主买,113679.SH,芯能转债,603105,芯能科技,A,117.0784,长三角一体化,002635,命中长三角一体化,,,8.8,,概念竞价强度0.60%,
主买,113686.SH,泰瑞转债,603289,泰瑞机器,A,117.0784,长三角一体化,002635,命中长三角一体化,,,3.36,,概念竞价强度0.60%,
主买,118066.SH,统联转债,688210,统联精密,A,117.0784,消费电子,002635,命中消费电子,,,5.76,,概念竞价强度0.50%,
主买,123193.SZ,海能转债,300787,海能实业,A,117.0784,消费电子,002635,命中消费电子,,,6.0,,概念竞价强度0.50%,
主买,123237.SZ,佳禾转债,300793,佳禾智能,A,117.0784,消费电子,002635,命中消费电子,,,4.31,,概念竞价强度0.50%,
主买,123257.SZ,安克转债,300866,安克创新,A,117.0784,消费电子,002635,命中消费电子,,,11.05,剩余规模11.05亿,概念竞价强度0.50%,
主买,123258.SZ,胜蓝转02,300843,胜蓝股份,A,117.0784,消费电子,002635,命中消费电子,,,4.5,,概念竞价强度0.50%,
主买,127046.SZ,百润转债,002568,百润股份,A,117.0784,长三角一体化,002635,命中长三角一体化,,,11.27,剩余规模11.27亿,概念竞价强度0.60%,
主买,127054.SZ,双箭转债,002381,双箭股份,A,117.0784,长三角一体化,002635,命中长三角一体化,,,5.14,,概念竞价强度0.60%,
主买,127104.SZ,姚记转债,002605,姚记科技,A,117.0784,长三角一体化,002635,命中长三角一体化,,,5.82,,概念竞价强度0.60%,
主买,128136.SZ,立讯转债,002475,立讯精密,A,117.0784,消费电子,002635,命中消费电子,,,29.85,剩余规模29.85亿,概念竞价强度0.50%,
