list_type,cb_code,cb_name,stk_code,stk_name,quality_tier,theme_score,matched_concepts,trigger_sources,relation_reason,premium_rate,cb_amount,remain_size_yi,risk_notes,quality_tier_reason,observation_reason
主买,110081.SH,闻泰转债,600745,*ST闻泰,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,80.63,剩余规模80.63亿,,
主买,113616.SH,韦尔转债,603501,豪威集团,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,24.32,剩余规模24.32亿,,
主买,113629.SH,泉峰转债,603982,泉峰汽车,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2025-07-30,,
主买,113672.SH,福蓉转债,603327,福蓉科技,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2026-01-29,,
主买,118015.SH,芯海转债,688595,芯海科技,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,4.1,,,
主买,118017.SH,深科转债,688328,深科达,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2024-01-10,,
主买,118024.SH,冠宇转债,688772,珠海冠宇,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,30.89,剩余规模30.89亿,,
主买,118028.SH,会通转债,688219,会通股份,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2025-07-25,,
主买,118065.SH,艾为转债,688798,艾为电子,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,19.01,剩余规模19.01亿,,
主买,123003.SZ,蓝思转债,300433,蓝思科技,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,退市日期2020-02-19,,
主买,123012.SZ,万顺转债,300057,万顺新材,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,公告到期赎回；退市日期2024-07-22,,
主买,123013.SZ,横河转债,300539,横河精密,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,公告到期赎回；退市日期2024-07-29,,
主买,123022.SZ,长信转债,300088,长信科技,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,公告到期赎回；退市日期2025-03-19,,
主买,123025.SZ,精测转债,300567,精测电子,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,公告到期赎回；退市日期2025-03-31,,
主买,123035.SZ,利德转债,300296,利亚德,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2025-01-20,,
主买,123058.SZ,欣旺转债,300207,欣旺达,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,退市日期2021-07-14,,
主买,123068.SZ,弘信转债,300657,弘信电子,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,退市日期2021-10-20,,
主买,123074.SZ,隆利转债,300752,隆利科技,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,退市日期2021-12-24,,
主买,123077.SZ,汉得转债,300170,汉得信息,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2023-05-11,,
主买,123085.SZ,万顺转2,300057,万顺新材,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2026-05-26,,
主买,123100.SZ,朗科转债,300543,朗科智能,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2025-04-16,,
主买,123105.SZ,拓尔转债,300229,拓尔思,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2023-03-16,,
主买,123157.SZ,科蓝转债,300663,科蓝软件,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,2.34,,,
主买,123165.SZ,回天转债,300041,回天新材,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,8.5,,,
主买,123176.SZ,精测转2,300567,精测电子,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,12.75,剩余规模12.75亿,,
主买,123201.SZ,纽泰转债,301229,纽泰格,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2025-11-14,,
主买,123202.SZ,祥源转债,300980,祥源新材,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2025-01-06,,
主买,123219.SZ,宇瞳转债,300790,宇瞳光学,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2024-12-27,,
主买,123231.SZ,信测转债,300938,信测标准,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2025-09-16,,
主买,123237.SZ,佳禾转债,300793,佳禾智能,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,4.31,,,
主买,123252.SZ,银邦转债,300337,银邦股份,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,7.85,,,
主买,123254.SZ,亿纬转债,300014,亿纬锂能,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2026-05-07,,
主买,123266.SZ,博士转债,300622,博士眼镜,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,3.75,,,
主买,124016.SZ,TCL定转1,000100,TCL科技,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,,,
主买,124017.SZ,TCL定转2,000100,TCL科技,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,退市日期2022-11-30,,
主买,125969.SZ,安泰转债,000969,安泰科技,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,退市日期2010-06-23,,
主买,127013.SZ,创维转债,000810,创维数字,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2022-07-07,,
主买,127051.SZ,博杰转债,002975,博杰股份,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2025-05-08,,
主买,127107.SZ,领益转债,002600,领益智造,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2025-10-23,,
主买,128009.SZ,歌尔转债,002241,歌尔股份,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,退市日期2017-07-10,,
主买,128020.SZ,水晶转债,002273,水晶光电,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,退市日期2020-02-24,,
主买,128035.SZ,大族转债,002008,大族激光,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,公告到期赎回；退市日期2024-02-07,,
主买,128038.SZ,利欧转债,002131,利欧股份,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,退市日期2020-04-09,,
主买,128061.SZ,启明转债,002439,启明星辰,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,退市日期2020-03-26,,
主买,128112.SZ,歌尔转2,002241,歌尔股份,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,退市日期2021-03-11,,
主买,128117.SZ,道恩转债,002838,道恩股份,,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,强赎中；退市日期2025-05-21,,
