list_type,cb_code,cb_name,stk_code,stk_name,quality_tier,theme_score,matched_concepts,trigger_sources,relation_reason,premium_rate,cb_amount,remain_size_yi,risk_notes,quality_tier_reason,observation_reason
观察,113616.SH,韦尔转债,603501,豪威集团,C,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,24.32,剩余规模24.32亿,概念竞价强度-1.14%,非A档观察
观察,118015.SH,芯海转债,688595,芯海科技,C,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,4.1,,概念竞价强度-1.14%,非A档观察
观察,118024.SH,冠宇转债,688772,珠海冠宇,C,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,30.89,剩余规模30.89亿,概念竞价强度-1.14%,非A档观察
观察,118065.SH,艾为转债,688798,艾为电子,C,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,19.01,剩余规模19.01亿,概念竞价强度-1.14%,非A档观察
观察,123157.SZ,科蓝转债,300663,科蓝软件,C,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,2.34,,概念竞价强度-1.14%,非A档观察
观察,123165.SZ,回天转债,300041,回天新材,C,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,8.5,,概念竞价强度-1.14%,非A档观察
观察,123176.SZ,精测转2,300567,精测电子,C,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,12.75,剩余规模12.75亿,概念竞价强度-1.14%,非A档观察
观察,123237.SZ,佳禾转债,300793,佳禾智能,C,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,4.31,,概念竞价强度-1.14%,非A档观察
观察,123252.SZ,银邦转债,300337,银邦股份,C,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,7.85,,概念竞价强度-1.14%,非A档观察
观察,123266.SZ,博士转债,300622,博士眼镜,C,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,3.75,,概念竞价强度-1.14%,非A档观察
观察,124016.SZ,TCL定转1,000100,TCL科技,C,217.5326,华为概念、小米概念,002979,命中华为概念、小米概念,,,0.0,,概念竞价强度-1.14%,非A档观察
观察,110818.SH,华发定转,600325,华发股份,C,117.5326,华为概念,002979,命中华为概念,,,48.0,剩余规模48.00亿,概念竞价强度-1.14%,非A档观察
观察,111012.SH,福新转债,605488,福莱新材,C,117.5326,华为概念,002979,命中华为概念,,,1.02,,概念竞价强度-1.14%,非A档观察
观察,113049.SH,长汽转债,601633,长城汽车,C,117.5326,华为概念,002979,命中华为概念,,,34.95,剩余规模34.95亿,概念竞价强度-1.14%,非A档观察
观察,113053.SH,隆22转债,601012,隆基绿能,C,117.5326,华为概念,002979,命中华为概念,,,69.95,剩余规模69.95亿,概念竞价强度-1.14%,非A档观察
观察,113597.SH,佳力转债,603912,佳力图,C,117.5326,华为概念,002979,命中华为概念,,,2.97,公告到期赎回；退市日期2026-07-30,概念竞价强度-1.14%,非A档观察
观察,113633.SH,科沃转债,603486,科沃斯,C,117.5326,华为概念,002979,命中华为概念,,,10.4,剩余规模10.40亿,概念竞价强度-1.14%,非A档观察
观察,113643.SH,风语转债,603466,风语筑,C,117.5326,华为概念,002979,命中华为概念,,,4.99,,概念竞价强度-1.14%,非A档观察
观察,113667.SH,春23转债,603890,春秋电子,C,117.5326,华为概念,002979,命中华为概念,,,5.7,,概念竞价强度-1.14%,非A档观察
观察,113674.SH,华设转债,603018,华设集团,C,117.5326,华为概念,002979,命中华为概念,,,4.0,,概念竞价强度-1.14%,非A档观察
观察,113678.SH,中贝转债,603220,中贝通信,C,117.5326,华为概念,002979,命中华为概念,,,5.11,,概念竞价强度-1.14%,非A档观察
观察,113692.SH,保隆转债,603197,保隆科技,C,117.5326,小米概念,002979,命中小米概念,,,13.9,剩余规模13.90亿,概念竞价强度-1.45%,非A档观察
观察,113698.SH,凯众转债,603037,凯众股份,C,117.5326,小米概念,002979,命中小米概念,,,3.08,,概念竞价强度-1.45%,非A档观察
观察,118007.SH,山石转债,688030,山石网科,C,117.5326,华为概念,002979,命中华为概念,,,2.67,,概念竞价强度-1.14%,非A档观察
观察,118013.SH,道通转债,688208,道通科技,C,117.5326,华为概念,002979,命中华为概念,,,12.8,剩余规模12.80亿,概念竞价强度-1.14%,非A档观察
观察,118018.SH,瑞科转债,688323,瑞华泰,C,117.5326,华为概念,002979,命中华为概念,,,0.65,强赎中；退市日期2026-07-06,概念竞价强度-1.14%,非A档观察
观察,118031.SH,天23转债,688599,天合光能,C,117.5326,华为概念,002979,命中华为概念,,,58.51,剩余规模58.51亿,概念竞价强度-1.14%,非A档观察
观察,118035.SH,国力转债,688103,国力电子,C,117.5326,华为概念,002979,命中华为概念,,,4.8,,概念竞价强度-1.14%,非A档观察
观察,118037.SH,上声转债,688533,上声电子,C,117.5326,华为概念,002979,命中华为概念,,,4.68,,概念竞价强度-1.14%,非A档观察
观察,118040.SH,宏微转债,688711,宏微科技,C,117.5326,华为概念,002979,命中华为概念,,,4.29,,概念竞价强度-1.14%,非A档观察
观察,118062.SH,天准转债,688003,天准科技,C,117.5326,小米概念,002979,命中小米概念,,,8.72,,概念竞价强度-1.45%,非A档观察
观察,118063.SH,金05转债,688676,金盘科技,C,117.5326,华为概念,002979,命中华为概念,,,16.71,剩余规模16.71亿,概念竞价强度-1.14%,非A档观察
观察,118067.SH,上26转债,688533,上声电子,C,117.5326,华为概念,002979,命中华为概念,,,3.25,,概念竞价强度-1.14%,非A档观察
观察,118070.SH,南芯转债,688484,南芯科技,C,117.5326,小米概念,002979,命中小米概念,,,15.87,剩余规模15.87亿,概念竞价强度-1.45%,非A档观察
观察,118071.SH,华峰转债,688200,华峰测控,C,117.5326,华为概念,002979,命中华为概念,,,7.49,,概念竞价强度-1.14%,非A档观察
观察,118501.SH,华海定转,688535,华海诚科,C,117.5326,华为概念,002979,命中华为概念,,,4.8,,概念竞价强度-1.14%,非A档观察
观察,123059.SZ,银信转债,300231,银信科技,C,117.5326,华为概念,002979,命中华为概念,,,1.57,公告到期赎回,概念竞价强度-1.14%,非A档观察
观察,123095.SZ,日升转债,300118,东方日升,C,117.5326,华为概念,002979,命中华为概念,,,,,概念竞价强度-1.14%,非A档观察
观察,123104.SZ,卫宁转债,300253,卫宁健康,C,117.5326,华为概念,002979,命中华为概念,,,9.7,,概念竞价强度-1.14%,非A档观察
观察,123107.SZ,温氏转债,300498,温氏股份,C,117.5326,华为概念,002979,命中华为概念,,,77.06,剩余规模77.06亿,概念竞价强度-1.14%,非A档观察
观察,123112.SZ,万讯转债,300112,万讯自控,C,117.5326,华为概念,002979,命中华为概念,,,2.26,,概念竞价强度-1.14%,非A档观察
观察,123131.SZ,奥飞转债,300738,奥飞数据,C,117.5326,华为概念,002979,命中华为概念,,,3.16,,概念竞价强度-1.14%,非A档观察
观察,123138.SZ,丝路转债,300556,丝路视觉,C,117.5326,华为概念,002979,命中华为概念,,,2.39,,概念竞价强度-1.14%,非A档观察
观察,123173.SZ,恒锋转债,300605,恒锋信息,C,117.5326,华为概念,002979,命中华为概念,,,2.33,,概念竞价强度-1.14%,非A档观察
观察,123187.SZ,超达转债,301186,超达装备,C,117.5326,小米概念,002979,命中小米概念,,,2.24,,概念竞价强度-1.45%,非A档观察
观察,123196.SZ,正元转02,300645,正元智慧,C,117.5326,华为概念,002979,命中华为概念,,,3.5,,概念竞价强度-1.14%,非A档观察
观察,123209.SZ,聚隆转债,300644,南京聚隆,C,117.5326,小米概念,002979,命中小米概念,,,1.67,,概念竞价强度-1.45%,非A档观察
观察,123213.SZ,天源转债,301127,武汉天源,C,117.5326,华为概念,002979,命中华为概念,,,3.26,,概念竞价强度-1.14%,非A档观察
观察,123215.SZ,铭利转债,301268,铭利达,C,117.5326,华为概念,002979,命中华为概念,,,8.56,,概念竞价强度-1.14%,非A档观察
观察,123241.SZ,欧通转债,300870,欧陆通,C,117.5326,华为概念,002979,命中华为概念,,,2.6,,概念竞价强度-1.14%,非A档观察
