list_type,cb_code,cb_name,stk_code,stk_name,theme_score,matched_concepts,trigger_sources,relation_reason,premium_rate,cb_amount,remain_size_yi,call_status,risk_notes,quality_tier,quality_tier_reason,observation_reason
观察,127083.SZ,山路转债,000498,山东路桥,251.2301,建筑装饰、股性不活跃,603137,命中建筑装饰、股性不活跃,,,48.36,安全,剩余规模48.36亿,C,缺少概念竞价强度,非A档观察
观察,110077.SH,洪城转债,600461,洪城环境,151.2301,股性不活跃,603137,命中股性不活跃,,,6.68,公告不强赎,,C,缺少概念竞价强度,非A档观察
观察,110086.SH,精工转债,600496,精工钢构,151.2301,建筑装饰,603137,命中建筑装饰,,,20.0,安全,剩余规模20.00亿,C,缺少概念竞价强度,非A档观察
观察,110100.SH,龙建转债,600853,龙建股份,151.2301,建筑装饰,603137,命中建筑装饰,,,10.0,安全,剩余规模10.00亿,C,缺少概念竞价强度,非A档观察
观察,113037.SH,紫银转债,601860,紫金银行,151.2301,股性不活跃,603137,命中股性不活跃,,,44.99,安全,剩余规模44.99亿,C,缺少概念竞价强度,非A档观察
观察,113647.SH,禾丰转债,603609,禾丰股份,151.2301,股性不活跃,603137,命中股性不活跃,,,14.67,公告不强赎,剩余规模14.67亿,C,缺少概念竞价强度,非A档观察
观察,113665.SH,汇通转债,603176,汇通集团,151.2301,建筑装饰,603137,命中建筑装饰,,,3.6,安全,,C,缺少概念竞价强度,非A档观察
观察,113674.SH,华设转债,603018,华设集团,151.2301,建筑装饰,603137,命中建筑装饰,,,4.0,安全,,C,缺少概念竞价强度,非A档观察
观察,118018.SH,瑞科转债,688323,瑞华泰,151.2301,股性不活跃,603137,命中股性不活跃,,,0.65,公告实施强赎,强赎中；退市日期2026-07-06,C,缺少概念竞价强度,非A档观察
观察,123080.SZ,海波转债,300517,海波重科,151.2301,建筑装饰,603137,命中建筑装饰,,,1.49,公告不强赎,,C,缺少概念竞价强度,非A档观察
观察,123160.SZ,泰福转债,300992,泰福泵业,151.2301,股性不活跃,603137,命中股性不活跃,,,2.31,公告不强赎,,C,缺少概念竞价强度,非A档观察
观察,123198.SZ,金埔转债,301098,金埔园林,151.2301,建筑装饰,603137,命中建筑装饰,,,0.0,公告实施强赎,强赎中,C,缺少概念竞价强度,非A档观察
观察,123272.SZ,中汽转债,301215,中汽股份,151.2301,股性不活跃,603137,命中股性不活跃,,,10.39,安全,剩余规模10.39亿,C,缺少概念竞价强度,非A档观察
观察,124015.SZ,北新定转,002307,北新路桥,151.2301,建筑装饰,603137,命中建筑装饰,,,0.0,安全,,C,缺少概念竞价强度,非A档观察
观察,124021.SZ,北新定02,002307,北新路桥,151.2301,建筑装饰,603137,命中建筑装饰,,,0.0,安全,,C,缺少概念竞价强度,非A档观察
观察,127054.SZ,双箭转债,002381,双箭股份,151.2301,股性不活跃,603137,命中股性不活跃,,,5.14,安全,,C,缺少概念竞价强度,非A档观察
观察,127055.SZ,精装转债,002989,中天精装,151.2301,建筑装饰,603137,命中建筑装饰,,,2.08,公告不强赎,,C,缺少概念竞价强度,非A档观察
观察,127102.SZ,浙建转债,002761,浙江建投,151.2301,建筑装饰,603137,命中建筑装饰,,,9.95,安全,,C,缺少概念竞价强度,非A档观察
观察,127103.SZ,东南转债,002135,东南网架,151.2301,建筑装饰,603137,命中建筑装饰,,,20.0,公告不强赎,剩余规模20.00亿,C,缺少概念竞价强度,非A档观察
观察,128125.SZ,华阳转债,002949,华阳国际,151.2301,建筑装饰,603137,命中建筑装饰,,,4.5,公告到期赎回,公告到期赎回,C,缺少概念竞价强度,非A档观察
