list_type,cb_code,cb_name,stk_code,stk_name,theme_score,matched_concepts,trigger_sources,relation_reason,premium_rate,cb_amount,remain_size_yi,call_status,risk_notes,quality_tier,quality_tier_reason,observation_reason
主买,127083.SZ,山路转债,000498,山东路桥,251.2301,建筑装饰、股性不活跃,603137,命中建筑装饰、股性不活跃,,,48.36,安全,剩余规模48.36亿,C,缺少概念竞价强度,
主买,128107.SZ,交科转债,002061,浙江交科,251.2301,建筑装饰、股性不活跃,603137,命中建筑装饰、股性不活跃,,,0.0,公告实施强赎,强赎中；退市日期2022-07-18,C,缺少概念竞价强度,
主买,110024.SH,隧道转债,600820,隧道股份,151.2301,建筑装饰,603137,命中建筑装饰,,,0.0,安全,退市日期2014-12-18,C,缺少概念竞价强度,
主买,110043.SH,无锡转债,600908,无锡银行,151.2301,股性不活跃,603137,命中股性不活跃,,,0.0,公告到期赎回,公告到期赎回；退市日期2024-01-31,C,缺少概念竞价强度,
主买,110057.SH,现代转债,600420,国药现代,151.2301,股性不活跃,603137,命中股性不活跃,,,0.0,公告实施强赎,强赎中；退市日期2023-06-16,C,缺少概念竞价强度,
主买,110064.SH,建工转债,600939,重庆建工,151.2301,建筑装饰,603137,命中建筑装饰,,,0.0,公告到期赎回,公告到期赎回；退市日期2025-12-22,C,缺少概念竞价强度,
主买,110077.SH,洪城转债,600461,洪城环境,151.2301,股性不活跃,603137,命中股性不活跃,,,6.68,公告不强赎,,C,缺少概念竞价强度,
主买,110086.SH,精工转债,600496,精工钢构,151.2301,建筑装饰,603137,命中建筑装饰,,,20.0,安全,剩余规模20.00亿,C,缺少概念竞价强度,
主买,110100.SH,龙建转债,600853,龙建股份,151.2301,建筑装饰,603137,命中建筑装饰,,,10.0,安全,剩余规模10.00亿,C,缺少概念竞价强度,
主买,111023.SH,利柏转债,605167,利柏特,151.2301,建筑装饰,603137,命中建筑装饰,,,0.0,公告实施强赎,强赎中；退市日期2026-06-24,C,缺少概念竞价强度,
主买,113024.SH,核建转债,601611,中国核建,151.2301,建筑装饰,603137,命中建筑装饰,,,0.0,公告到期赎回,公告到期赎回；退市日期2025-04-08,C,缺少概念竞价强度,
主买,113028.SH,环境转债,601200,上海环境,151.2301,股性不活跃,603137,命中股性不活跃,,,0.0,安全,退市日期2020-09-18,C,缺少概念竞价强度,
主买,113036.SH,宁建转债,601789,宁波建工,151.2301,建筑装饰,603137,命中建筑装饰,,,0.0,公告实施强赎,强赎中；退市日期2022-04-12,C,缺少概念竞价强度,
主买,113037.SH,紫银转债,601860,紫金银行,151.2301,股性不活跃,603137,命中股性不活跃,,,44.99,安全,剩余规模44.99亿,C,缺少概念竞价强度,
主买,113516.SH,苏农转债,603323,苏农银行,151.2301,股性不活跃,603137,命中股性不活跃,,,0.0,公告到期赎回,公告到期赎回；退市日期2024-08-02,C,缺少概念竞价强度,
主买,113544.SH,桃李转债,603866,桃李面包,151.2301,股性不活跃,603137,命中股性不活跃,,,0.0,安全,退市日期2020-09-18,C,缺少概念竞价强度,
主买,113557.SH,森特转债,603098,森特股份,151.2301,建筑装饰,603137,命中建筑装饰,,,0.0,安全,退市日期2021-04-30,C,缺少概念竞价强度,
主买,113563.SH,柳药转债,603368,柳药集团,151.2301,股性不活跃,603137,命中股性不活跃,,,0.0,公告到期赎回,公告到期赎回；退市日期2026-01-16,C,缺少概念竞价强度,
主买,113578.SH,全筑转债,603030,全筑股份,151.2301,建筑装饰,603137,命中建筑装饰,,,0.0,安全,退市日期2024-01-30,C,缺少概念竞价强度,
主买,113579.SH,健友转债,603707,健友股份,151.2301,股性不活跃,603137,命中股性不活跃,,,0.0,公告到期赎回,公告到期赎回；退市日期2026-04-23,C,缺少概念竞价强度,
