list_type,cb_code,cb_name,stk_code,stk_name,quality_tier,theme_score,matched_concepts,trigger_sources,relation_reason,premium_rate,cb_amount,remain_size_yi,risk_notes,quality_tier_reason,observation_reason
主买,113045.SH,环旭转债,601231,环旭电子,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,0.0,强赎中；退市日期2026-01-29,概念竞价强度0.50%,
主买,113521.SH,科森转债,603626,科森科技,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,0.0,退市日期2020-11-27,概念竞价强度0.50%,
主买,113577.SH,春秋转债,603890,春秋电子,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,0.0,强赎中；退市日期2025-11-07,概念竞价强度0.50%,
主买,113667.SH,春23转债,603890,春秋电子,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,5.7,,概念竞价强度0.50%,
主买,113672.SH,福蓉转债,603327,福蓉科技,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,0.0,强赎中；退市日期2026-01-29,概念竞价强度0.50%,
主买,118043.SH,福立转债,688678,福立旺,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,0.0,强赎中；退市日期2026-02-11,概念竞价强度0.50%,
主买,118066.SH,统联转债,688210,统联精密,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,5.76,,概念竞价强度0.50%,
主买,123003.SZ,蓝思转债,300433,蓝思科技,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,0.0,退市日期2020-02-19,概念竞价强度0.50%,
主买,123081.SZ,精研转债,300709,精研科技,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,0.0,退市日期2021-12-28,概念竞价强度0.50%,
主买,123100.SZ,朗科转债,300543,朗科智能,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,0.0,强赎中；退市日期2025-04-16,概念竞价强度0.50%,
主买,123143.SZ,胜蓝转债,300843,胜蓝股份,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,0.0,强赎中；退市日期2024-12-13,概念竞价强度0.50%,
主买,123153.SZ,英力转债,300956,英力股份,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,0.0,强赎中；退市日期2024-07-29,概念竞价强度0.50%,
主买,123193.SZ,海能转债,300787,海能实业,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,6.0,,概念竞价强度0.50%,
主买,123237.SZ,佳禾转债,300793,佳禾智能,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,4.31,,概念竞价强度0.50%,
主买,123258.SZ,胜蓝转02,300843,胜蓝股份,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,4.5,,概念竞价强度0.50%,
主买,127107.SZ,领益转债,002600,领益智造,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,0.0,强赎中；退市日期2025-10-23,概念竞价强度0.50%,
主买,128009.SZ,歌尔转债,002241,歌尔股份,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,0.0,退市日期2017-07-10,概念竞价强度0.50%,
主买,128058.SZ,拓邦转债,002139,拓邦股份,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,0.0,退市日期2020-12-07,概念竞价强度0.50%,
主买,128112.SZ,歌尔转2,002241,歌尔股份,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,0.0,退市日期2021-03-11,概念竞价强度0.50%,
主买,128118.SZ,瀛通转债,002861,瀛通通讯,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,0.0,强赎中；退市日期2024-12-27,概念竞价强度0.50%,
主买,128136.SZ,立讯转债,002475,立讯精密,A,217.0784,消费电子、消费电子零部件及组装,002635,命中消费电子、消费电子零部件及组装,,,29.85,剩余规模29.85亿,概念竞价强度0.50%,
主买,123257.SZ,安克转债,300866,安克创新,A,117.0784,消费电子,002635,命中消费电子,,,11.05,剩余规模11.05亿,概念竞价强度0.50%,
主买,128059.SZ,视源转债,002841,视源股份,A,117.0784,消费电子,002635,命中消费电子,,,0.0,退市日期2020-09-08,概念竞价强度0.50%,
