model,list_type,rank,trigger_stocks,selected_concepts,cb_code,cb_name,stk_name,matched_concepts,quality_tier,observation_reason,risk_notes
V1降级,主买,1,"壹连科技(301631,竞价11.759%)、春晖智控(300943,竞价11.2792%)、晶赛科技(920981,竞价11.1918%)、韶能股份(000601,竞价10.0855%)、天富能源(600509,竞价10.0592%)、益生股份(002458,竞价10.0386%)、圆通速递(600233,竞价10.0317%)、安洁科技(002635,竞价10.0244%)、泰晶科技(603738,竞价10.0083%)、亚威股份(002559,竞价9.9921%)、韵达股份(002120,竞价9.9057%)、申通快递(002468,竞价9.8214%)",肉鸡养殖(3.8782)、被动元件(3.236),113503.SH,泰晶转债,泰晶科技,被动元件,,,退市日期2020-05-27
V1降级,主买,2,"壹连科技(301631,竞价11.759%)、春晖智控(300943,竞价11.2792%)、晶赛科技(920981,竞价11.1918%)、韶能股份(000601,竞价10.0855%)、天富能源(600509,竞价10.0592%)、益生股份(002458,竞价10.0386%)、圆通速递(600233,竞价10.0317%)、安洁科技(002635,竞价10.0244%)、泰晶科技(603738,竞价10.0083%)、亚威股份(002559,竞价9.9921%)、韵达股份(002120,竞价9.9057%)、申通快递(002468,竞价9.8214%)",肉鸡养殖(3.8782)、被动元件(3.236),113504.SH,艾华转债,艾华集团,被动元件,,,公告到期赎回；退市日期2024-03-04
V1降级,主买,3,"壹连科技(301631,竞价11.759%)、春晖智控(300943,竞价11.2792%)、晶赛科技(920981,竞价11.1918%)、韶能股份(000601,竞价10.0855%)、天富能源(600509,竞价10.0592%)、益生股份(002458,竞价10.0386%)、圆通速递(600233,竞价10.0317%)、安洁科技(002635,竞价10.0244%)、泰晶科技(603738,竞价10.0083%)、亚威股份(002559,竞价9.9921%)、韵达股份(002120,竞价9.9057%)、申通快递(002468,竞价9.8214%)",肉鸡养殖(3.8782)、被动元件(3.236),123189.SZ,晓鸣转债,晓鸣股份,肉鸡养殖,,,
V1降级,主买,4,"壹连科技(301631,竞价11.759%)、春晖智控(300943,竞价11.2792%)、晶赛科技(920981,竞价11.1918%)、韶能股份(000601,竞价10.0855%)、天富能源(600509,竞价10.0592%)、益生股份(002458,竞价10.0386%)、圆通速递(600233,竞价10.0317%)、安洁科技(002635,竞价10.0244%)、泰晶科技(603738,竞价10.0083%)、亚威股份(002559,竞价9.9921%)、韵达股份(002120,竞价9.9057%)、申通快递(002468,竞价9.8214%)",肉鸡养殖(3.8782)、被动元件(3.236),127060.SZ,湘佳转债,湘佳股份,肉鸡养殖,,,
V2.0降级,主买,1,"壹连科技(301631,竞价11.759%)、春晖智控(300943,竞价11.2792%)、晶赛科技(920981,竞价11.1918%)、韶能股份(000601,竞价10.0855%)、天富能源(600509,竞价10.0592%)、益生股份(002458,竞价10.0386%)、圆通速递(600233,竞价10.0317%)、安洁科技(002635,竞价10.0244%)、泰晶科技(603738,竞价10.0083%)、亚威股份(002559,竞价9.9921%)、韵达股份(002120,竞价9.9057%)、申通快递(002468,竞价9.8214%)",肉鸡养殖(3.8782)、被动元件(3.236),113503.SH,泰晶转债,泰晶科技,被动元件,A,,退市日期2020-05-27
V2.0降级,主买,2,"壹连科技(301631,竞价11.759%)、春晖智控(300943,竞价11.2792%)、晶赛科技(920981,竞价11.1918%)、韶能股份(000601,竞价10.0855%)、天富能源(600509,竞价10.0592%)、益生股份(002458,竞价10.0386%)、圆通速递(600233,竞价10.0317%)、安洁科技(002635,竞价10.0244%)、泰晶科技(603738,竞价10.0083%)、亚威股份(002559,竞价9.9921%)、韵达股份(002120,竞价9.9057%)、申通快递(002468,竞价9.8214%)",肉鸡养殖(3.8782)、被动元件(3.236),113504.SH,艾华转债,艾华集团,被动元件,A,,公告到期赎回；退市日期2024-03-04
V2.0降级,主买,3,"壹连科技(301631,竞价11.759%)、春晖智控(300943,竞价11.2792%)、晶赛科技(920981,竞价11.1918%)、韶能股份(000601,竞价10.0855%)、天富能源(600509,竞价10.0592%)、益生股份(002458,竞价10.0386%)、圆通速递(600233,竞价10.0317%)、安洁科技(002635,竞价10.0244%)、泰晶科技(603738,竞价10.0083%)、亚威股份(002559,竞价9.9921%)、韵达股份(002120,竞价9.9057%)、申通快递(002468,竞价9.8214%)",肉鸡养殖(3.8782)、被动元件(3.236),123189.SZ,晓鸣转债,晓鸣股份,肉鸡养殖,A,,
V2.0降级,主买,4,"壹连科技(301631,竞价11.759%)、春晖智控(300943,竞价11.2792%)、晶赛科技(920981,竞价11.1918%)、韶能股份(000601,竞价10.0855%)、天富能源(600509,竞价10.0592%)、益生股份(002458,竞价10.0386%)、圆通速递(600233,竞价10.0317%)、安洁科技(002635,竞价10.0244%)、泰晶科技(603738,竞价10.0083%)、亚威股份(002559,竞价9.9921%)、韵达股份(002120,竞价9.9057%)、申通快递(002468,竞价9.8214%)",肉鸡养殖(3.8782)、被动元件(3.236),127060.SZ,湘佳转债,湘佳股份,肉鸡养殖,A,,
V2.1降级,主买,1,"壹连科技(301631,竞价11.759%)、春晖智控(300943,竞价11.2792%)、晶赛科技(920981,竞价11.1918%)、韶能股份(000601,竞价10.0855%)、天富能源(600509,竞价10.0592%)、益生股份(002458,竞价10.0386%)、圆通速递(600233,竞价10.0317%)、安洁科技(002635,竞价10.0244%)、泰晶科技(603738,竞价10.0083%)、亚威股份(002559,竞价9.9921%)、韵达股份(002120,竞价9.9057%)、申通快递(002468,竞价9.8214%)",肉鸡养殖(3.8782)、被动元件(3.236),123189.SZ,晓鸣转债,晓鸣股份,肉鸡养殖,A,,
V2.1降级,主买,2,"壹连科技(301631,竞价11.759%)、春晖智控(300943,竞价11.2792%)、晶赛科技(920981,竞价11.1918%)、韶能股份(000601,竞价10.0855%)、天富能源(600509,竞价10.0592%)、益生股份(002458,竞价10.0386%)、圆通速递(600233,竞价10.0317%)、安洁科技(002635,竞价10.0244%)、泰晶科技(603738,竞价10.0083%)、亚威股份(002559,竞价9.9921%)、韵达股份(002120,竞价9.9057%)、申通快递(002468,竞价9.8214%)",肉鸡养殖(3.8782)、被动元件(3.236),127060.SZ,湘佳转债,湘佳股份,肉鸡养殖,A,,
