trade_date,trigger_stock_count,trigger_stocks,concept_count,selected_concepts,bond_count,evaluable_trades,wins,win_rate,avg_return_pct
2026-01-05,4,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",2,金属制品(0.0486)、太赫兹(0.0106),0,0,0,,
2026-01-06,0,,0,,0,0,0,,
2026-01-07,0,,0,,0,0,0,,
2026-01-08,0,,0,,0,0,0,,
2026-01-09,0,,0,,0,0,0,,
2026-01-12,1,"烽火通信(600498,封单8.64亿)",2,央企国企改革(-0.0012)、WiFi6(-0.0163),0,0,0,,
2026-01-13,0,,0,,0,0,0,,
2026-01-14,1,"德邦股份(603056,封单20.81亿)",0,,0,0,0,,
2026-01-15,1,"紫光国微(002049,封单11.71亿)",2,移动支付(0.1483)、数字货币(0.126),6,6,2,33.3333,-0.7322
2026-01-16,0,,0,,0,0,0,,
2026-01-19,1,"锋龙股份(002931,封单12.93亿)",2,股权转让(并购重组)(0.0051)、机器人概念(0.0028),0,0,0,,
2026-01-20,2,"盈方微(000670,封单7.28亿)、江化微(603078,封单7.18亿)",2,其他电子(0.062)、其他电子Ⅲ(0.062),0,0,0,,
2026-01-21,0,,0,,0,0,0,,
2026-01-22,0,,0,,0,0,0,,
2026-01-23,1,"明阳智能(601615,封单13.95亿)",2,行业龙头(0.0016)、2025年报预增(-0.025),0,0,0,,
2026-01-26,2,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",2,脑机接口(0.0387)、金属铅(0.0218),0,0,0,,
2026-01-27,0,,0,,0,0,0,,
2026-01-28,0,,0,,0,0,0,,
2026-01-29,0,,0,,0,0,0,,
2026-01-30,0,,0,,0,0,0,,
2026-02-02,0,,0,,0,0,0,,
2026-02-03,0,,0,,0,0,0,,
2026-02-04,0,,0,,0,0,0,,
2026-02-05,0,,0,,0,0,0,,
2026-02-06,0,,0,,0,0,0,,
2026-02-09,0,,0,,0,0,0,,
2026-02-10,0,,0,,0,0,0,,
2026-02-11,0,,0,,0,0,0,,
2026-02-12,0,,0,,0,0,0,,
2026-02-13,0,,0,,0,0,0,,
2026-02-24,0,,0,,0,0,0,,
2026-02-25,0,,0,,0,0,0,,
2026-02-26,0,,0,,0,0,0,,
2026-02-27,0,,0,,0,0,0,,
2026-03-02,1,"洲际油气(600759,封单17.36亿)",2,海南(0.1935)、海南自贸区(0.1894),1,1,1,100.0,1.6715
2026-03-03,0,,0,,0,0,0,,
2026-03-04,1,"佰维存储(688525,封单8.09亿)",2,近期并购重组(0.0109)、AI PC(0.0018),0,0,0,,
2026-03-05,0,,0,,0,0,0,,
2026-03-06,0,,0,,0,0,0,,
2026-03-09,0,,0,,0,0,0,,
2026-03-10,0,,0,,0,0,0,,
2026-03-11,0,,0,,0,0,0,,
2026-03-12,0,,0,,0,0,0,,
2026-03-13,0,,0,,0,0,0,,
2026-03-16,0,,0,,0,0,0,,
2026-03-17,0,,0,,0,0,0,,
2026-03-18,0,,0,,0,0,0,,
2026-03-19,0,,0,,0,0,0,,
2026-03-20,0,,0,,0,0,0,,
2026-03-23,0,,0,,0,0,0,,
2026-03-24,0,,0,,0,0,0,,
2026-03-25,0,,0,,0,0,0,,
2026-03-26,0,,0,,0,0,0,,
2026-03-27,0,,0,,0,0,0,,
2026-03-30,0,,0,,0,0,0,,
2026-03-31,0,,0,,0,0,0,,
2026-04-01,0,,0,,0,0,0,,
2026-04-02,0,,0,,0,0,0,,
2026-04-03,0,,0,,0,0,0,,
2026-04-07,0,,0,,0,0,0,,
