trade_date,month,list_type,rank,trigger_stocks,selected_concepts,cb_code,cb_name,stk_code,stk_name,matched_concepts,quality_tier,quality_tier_reason,observation_reason,risk_notes,open,close,return_pct
2026-01-15,2026-01,主买,1,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),127038.SZ,国微转债,002049,紫光国微,数字货币、移动支付,A,概念竞价强度0.15%,,成交额偏低25.9万；剩余规模14.92亿,157.0,151.339,-3.6057
2026-01-15,2026-01,主买,2,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),123157.SZ,科蓝转债,300663,科蓝软件,数字货币、移动支付,A,概念竞价强度0.15%,,成交额偏低1.0万,159.8,154.574,-3.2703
2026-01-15,2026-01,主买,3,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),123196.SZ,正元转02,300645,正元智慧,数字货币、移动支付,A,概念竞价强度0.15%,,成交额偏低0.4万,142.202,140.262,-1.3643
2026-01-15,2026-01,主买,4,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),110074.SH,精达转债,600577,精达股份,移动支付,A,概念竞价强度0.15%,,成交额偏低12.7万,486.7,513.783,5.5646
2026-01-15,2026-01,主买,5,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),118021.SH,新致转债,688590,新致软件,数字货币,A,概念竞价强度0.13%,,强赎中；成交额偏低7.2万；退市日期2026-03-25,300.326,292.977,-2.447
2026-01-15,2026-01,主买,6,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),118057.SH,甬矽转债,688362,甬矽电子,数字货币,A,概念竞价强度0.13%,,强赎中；成交额偏低13.4万；退市日期2026-06-16,245.0,246.787,0.7294
2026-03-02,2026-03,主买,1,"洲际油气(600759,封单17.36亿)",海南(0.1935)、海南自贸区(0.1894),118063.SH,金05转债,688676,金盘科技,海南、海南自贸区,A,概念竞价强度0.19%,,成交额偏低1.1万；剩余规模16.71亿,193.0,196.226,1.6715
2026-04-09,2026-04,主买,1,"中恒电气(002364,封单10.42亿)",其他电源设备(0.1296)、其他电源设备Ⅲ(0.1296),123241.SZ,欧通转债,300870,欧陆通,其他电源设备、其他电源设备Ⅲ,A,概念竞价强度0.13%,,成交额偏低17.0万,731.455,750.0,2.5354
2026-04-09,2026-04,主买,2,"中恒电气(002364,封单10.42亿)",其他电源设备(0.1296)、其他电源设备Ⅲ(0.1296),123271.SZ,通合转债,300491,通合科技,其他电源设备、其他电源设备Ⅲ,A,概念竞价强度0.13%,,,,,
2026-06-30,2026-06,主买,1,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),110101.SH,宝钛转债,600456,宝钛股份,苹果概念,A,概念竞价强度0.21%,,剩余规模35.00亿,,,
2026-06-30,2026-06,主买,2,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),111012.SH,福新转债,605488,福莱新材,苹果概念,A,概念竞价强度0.21%,,成交额偏低15.3万,269.0,293.944,9.2729
2026-06-30,2026-06,主买,3,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),113046.SH,金田转债,601609,金田股份,苹果概念,A,概念竞价强度0.21%,,成交额偏低1.2万；剩余规模14.99亿,128.999,133.384,3.3993
2026-06-30,2026-06,主买,4,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),118024.SH,冠宇转债,688772,珠海冠宇,苹果概念,A,概念竞价强度0.21%,,成交额偏低1.9万；剩余规模30.89亿,126.96,129.91,2.3236
2026-06-30,2026-06,主买,5,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),118061.SH,茂莱转债,688502,茂莱光学,光学元件,A,概念竞价强度0.74%,,成交额偏低29.8万,221.0,263.852,19.39
2026-06-30,2026-06,主买,6,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),118062.SH,天准转债,688003,天准科技,苹果概念,A,概念竞价强度0.21%,,成交额偏低13.2万,281.475,312.023,10.8528
2026-06-30,2026-06,主买,7,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),118066.SH,统联转债,688210,统联精密,苹果概念,A,概念竞价强度0.21%,,成交额偏低0.4万,132.5,136.74,3.2
2026-06-30,2026-06,主买,8,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123138.SZ,丝路转债,300556,丝路视觉,苹果概念,A,概念竞价强度0.21%,,成交额偏低0.2万,123.648,124.118,0.3801
2026-06-30,2026-06,主买,9,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123176.SZ,精测转2,300567,精测电子,苹果概念,A,概念竞价强度0.21%,,成交额偏低19.8万；剩余规模12.75亿,508.0,537.278,5.7634
2026-06-30,2026-06,主买,10,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123193.SZ,海能转债,300787,海能实业,苹果概念,A,概念竞价强度0.21%,,成交额偏低0.3万,123.356,124.456,0.8917
2026-06-30,2026-06,主买,11,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123237.SZ,佳禾转债,300793,佳禾智能,苹果概念,A,概念竞价强度0.21%,,成交额偏低0.4万,128.688,130.79,1.6334
2026-06-30,2026-06,主买,12,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123262.SZ,神宇转债,300563,神宇股份,苹果概念,A,概念竞价强度0.21%,,成交额偏低3.1万,131.963,140.305,6.3215
2026-06-30,2026-06,主买,13,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),128136.SZ,立讯转债,002475,立讯精密,苹果概念,A,概念竞价强度0.21%,,成交额偏低4.0万；剩余规模29.85亿,138.4,141.0,1.8786
