trade_date,month,list_type,rank,trigger_stocks,selected_concepts,cb_code,cb_name,stk_code,stk_name,matched_concepts,quality_tier,quality_tier_reason,observation_reason,risk_notes,open,close,return_pct
2026-01-05,2026-01,观察,1,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),124007.SZ,雷科定转,002413,雷科防务,太赫兹,B,概念竞价强度0.01%,非A档观察,,,,
2026-01-05,2026-01,观察,2,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),124012.SZ,雷科定02,002413,雷科防务,太赫兹,B,概念竞价强度0.01%,非A档观察,,,,
2026-01-05,2026-01,观察,3,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),113697.SH,应流转债,603308,应流股份,金属制品,B,概念竞价强度0.05%,非A档观察,成交额偏低2.6万；剩余规模15.00亿,192.63,201.149,4.4225
2026-01-05,2026-01,观察,4,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),113706.SH,金帝转债,603270,金帝股份,金属制品,B,概念竞价强度0.05%,非A档观察,,,,
2026-01-05,2026-01,观察,5,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),118009.SH,华锐转债,688059,华锐精密,金属制品,B,概念竞价强度0.05%,非A档观察,强赎中；成交额偏低1.8万；退市日期2026-02-03,139.3,137.929,-0.9842
2026-01-05,2026-01,观察,6,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),123215.SZ,铭利转债,301268,铭利达,金属制品,B,概念竞价强度0.05%,非A档观察,成交额偏低0.4万,131.495,133.645,1.635
2026-01-05,2026-01,观察,7,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),123239.SZ,锋工转债,300488,恒锋工具,金属制品,B,概念竞价强度0.05%,非A档观察,强赎中；成交额偏低0.4万；退市日期2026-04-09,154.59,155.76,0.7568
2026-01-05,2026-01,观察,8,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),123112.SZ,万讯转债,300112,万讯自控,太赫兹,B,概念竞价强度0.01%,非A档观察,成交额偏低0.3万,137.2,138.33,0.8236
2026-01-12,2026-01,观察,1,"烽火通信(600498,封单8.64亿)",央企国企改革(-0.0012)、WiFi6(-0.0163),110070.SH,凌钢转债,600231,凌钢股份,央企国企改革,C,概念竞价强度-0.00%,非A档观察,公告到期赎回；成交额偏低0.3万；退市日期2026-04-13,127.01,128.795,1.4054
2026-01-12,2026-01,观察,2,"烽火通信(600498,封单8.64亿)",央企国企改革(-0.0012)、WiFi6(-0.0163),110073.SH,国投转债,600061,国投资本,央企国企改革,C,概念竞价强度-0.00%,非A档观察,公告到期赎回；成交额偏低3.3万；剩余规模79.99亿；退市日期2026-07-24,114.987,116.001,0.8818
