trade_date,trigger_stock_count,concept_count,selected_concepts,bond_count,evaluable_trades,wins,avg_return_pct
2026-01-05,4,2,金属制品(0.0486)、太赫兹(0.0106),8,5,4,1.3307
2026-01-06,0,0,,0,0,0,
2026-01-07,0,0,,0,0,0,
2026-01-08,0,0,,0,0,0,
2026-01-09,0,0,,0,0,0,
2026-01-12,1,2,央企国企改革(-0.0012)、WiFi6(-0.0163),16,13,9,1.2629
2026-01-13,0,0,,0,0,0,
2026-01-14,1,0,,0,0,0,
2026-01-15,1,2,移动支付(0.1483)、数字货币(0.126),6,6,2,-0.7322
2026-01-16,0,0,,0,0,0,
2026-01-19,1,2,股权转让(并购重组)(0.0051)、机器人概念(0.0028),50,42,25,0.6515
2026-01-20,2,2,其他电子(0.062)、其他电子Ⅲ(0.062),3,3,0,-1.1567
2026-01-21,0,0,,0,0,0,
2026-01-22,0,0,,0,0,0,
2026-01-23,1,2,行业龙头(0.0016)、2025年报预增(-0.025),50,38,26,0.3076
2026-01-26,2,2,脑机接口(0.0387)、金属铅(0.0218),8,8,2,-2.1345
2026-01-27,0,0,,0,0,0,
2026-01-28,0,0,,0,0,0,
2026-01-29,0,0,,0,0,0,
2026-01-30,0,0,,0,0,0,
2026-02-02,0,0,,0,0,0,
2026-02-03,0,0,,0,0,0,
2026-02-04,0,0,,0,0,0,
2026-02-05,0,0,,0,0,0,
2026-02-06,0,0,,0,0,0,
2026-02-09,0,0,,0,0,0,
2026-02-10,0,0,,0,0,0,
2026-02-11,0,0,,0,0,0,
2026-02-12,0,0,,0,0,0,
2026-02-13,0,0,,0,0,0,
2026-02-24,0,0,,0,0,0,
2026-02-25,0,0,,0,0,0,
2026-02-26,0,0,,0,0,0,
2026-02-27,0,0,,0,0,0,
2026-03-02,1,2,海南(0.1935)、海南自贸区(0.1894),1,1,1,1.6715
2026-03-03,0,0,,0,0,0,
2026-03-04,1,2,近期并购重组(0.0109)、AI PC(0.0018),44,40,22,0.1766
2026-03-05,0,0,,0,0,0,
2026-03-06,0,0,,0,0,0,
2026-03-09,0,0,,0,0,0,
2026-03-10,0,0,,0,0,0,
2026-03-11,0,0,,0,0,0,
2026-03-12,0,0,,0,0,0,
2026-03-13,0,0,,0,0,0,
2026-03-16,0,0,,0,0,0,
2026-03-17,0,0,,0,0,0,
2026-03-18,0,0,,0,0,0,
2026-03-19,0,0,,0,0,0,
2026-03-20,0,0,,0,0,0,
2026-03-23,0,0,,0,0,0,
2026-03-24,0,0,,0,0,0,
2026-03-25,0,0,,0,0,0,
2026-03-26,0,0,,0,0,0,
2026-03-27,0,0,,0,0,0,
2026-03-30,0,0,,0,0,0,
2026-03-31,0,0,,0,0,0,
2026-04-01,0,0,,0,0,0,
2026-04-02,0,0,,0,0,0,
2026-04-03,0,0,,0,0,0,
2026-04-07,0,0,,0,0,0,
2026-04-08,1,2,2026一季报预增(-0.0373)、行业龙头(-0.0457),32,25,25,2.508
2026-04-09,1,2,其他电源设备(0.1296)、其他电源设备Ⅲ(0.1296),2,1,1,2.5354
2026-04-10,0,0,,0,0,0,
2026-04-13,0,0,,0,0,0,
2026-04-14,0,0,,0,0,0,
2026-04-15,0,0,,0,0,0,
2026-04-16,0,0,,0,0,0,
2026-04-17,0,0,,0,0,0,
2026-04-20,0,0,,0,0,0,
2026-04-21,0,0,,0,0,0,
2026-04-22,0,0,,0,0,0,
2026-04-23,0,0,,0,0,0,
2026-04-24,0,0,,0,0,0,
2026-04-27,0,0,,0,0,0,
2026-04-28,0,0,,0,0,0,
2026-04-29,0,0,,0,0,0,
2026-04-30,0,0,,0,0,0,
2026-05-06,2,2,消毒剂(0.0511)、国家大基金持股(-0.0123),3,3,2,-0.1338
2026-05-07,0,0,,0,0,0,
2026-05-08,0,0,,0,0,0,
2026-05-11,0,0,,0,0,0,
2026-05-12,0,0,,0,0,0,
2026-05-13,0,0,,0,0,0,
2026-05-14,0,0,,0,0,0,
2026-05-15,0,0,,0,0,0,
2026-05-18,1,2,租售同权(0.0636)、物业管理(0.0236),2,0,0,
2026-05-19,0,0,,0,0,0,
2026-05-20,0,0,,0,0,0,
2026-05-21,1,2,民营医院(-0.0157)、光纤概念(-0.0279),9,6,0,-3.1325
2026-05-22,0,0,,0,0,0,
2026-05-25,0,0,,0,0,0,
2026-05-26,0,0,,0,0,0,
2026-05-27,0,0,,0,0,0,
2026-05-28,0,0,,0,0,0,
2026-05-29,0,0,,0,0,0,
2026-06-01,0,0,,0,0,0,
2026-06-02,0,0,,0,0,0,
2026-06-03,0,0,,0,0,0,
2026-06-04,0,0,,0,0,0,
2026-06-05,0,0,,0,0,0,
2026-06-08,0,0,,0,0,0,
2026-06-09,1,2,先进封装(-0.0465)、存储芯片(-0.0497),28,21,20,3.3175
2026-06-10,0,0,,0,0,0,
2026-06-11,0,0,,0,0,0,
2026-06-12,0,0,,0,0,0,
2026-06-15,0,0,,0,0,0,
2026-06-16,0,0,,0,0,0,
2026-06-17,0,0,,0,0,0,
2026-06-18,0,0,,0,0,0,
2026-06-22,0,0,,0,0,0,
2026-06-23,0,0,,0,0,0,
2026-06-24,0,0,,0,0,0,
2026-06-25,0,0,,0,0,0,
2026-06-26,0,0,,0,0,0,
2026-06-29,0,0,,0,0,0,
2026-06-30,1,2,光学元件(0.7389)、苹果概念(0.2104),13,12,12,5.4423
