list_type,cb_code,cb_name,stk_code,stk_name,theme_score,matched_concepts,trigger_sources,relation_reason,premium_rate,cb_amount,remain_size_yi,call_status,risk_notes,quality_tier,quality_tier_reason,observation_reason
主买,110101.SH,宝钛转债,600456,宝钛股份,117.7903,苹果概念,002273,命中苹果概念,,,35.0,安全,剩余规模35.00亿,A,概念竞价强度0.21%,
主买,111012.SH,福新转债,605488,福莱新材,117.7903,苹果概念,002273,命中苹果概念,,153262.097,1.02,公告不强赎,成交额偏低15.3万,A,概念竞价强度0.21%,
主买,113046.SH,金田转债,601609,金田股份,117.7903,苹果概念,002273,命中苹果概念,,11820.8945,14.99,安全,成交额偏低1.2万；剩余规模14.99亿,A,概念竞价强度0.21%,
主买,118024.SH,冠宇转债,688772,珠海冠宇,117.7903,苹果概念,002273,命中苹果概念,,18844.875,30.89,安全,成交额偏低1.9万；剩余规模30.89亿,A,概念竞价强度0.21%,
主买,118061.SH,茂莱转债,688502,茂莱光学,117.7903,光学元件,002273,命中光学元件,,298377.4334,5.62,安全,成交额偏低29.8万,A,概念竞价强度0.74%,
主买,118062.SH,天准转债,688003,天准科技,117.7903,苹果概念,002273,命中苹果概念,,132167.0678,8.72,安全,成交额偏低13.2万,A,概念竞价强度0.21%,
主买,118066.SH,统联转债,688210,统联精密,117.7903,苹果概念,002273,命中苹果概念,,4315.1052,5.76,安全,成交额偏低0.4万,A,概念竞价强度0.21%,
主买,123138.SZ,丝路转债,300556,丝路视觉,117.7903,苹果概念,002273,命中苹果概念,,2400.0258,2.39,安全,成交额偏低0.2万,A,概念竞价强度0.21%,
主买,123176.SZ,精测转2,300567,精测电子,117.7903,苹果概念,002273,命中苹果概念,,198153.2792,12.75,公告不强赎,成交额偏低19.8万；剩余规模12.75亿,A,概念竞价强度0.21%,
主买,123193.SZ,海能转债,300787,海能实业,117.7903,苹果概念,002273,命中苹果概念,,2851.9857,6.0,安全,成交额偏低0.3万,A,概念竞价强度0.21%,
主买,123237.SZ,佳禾转债,300793,佳禾智能,117.7903,苹果概念,002273,命中苹果概念,,3984.1459,4.31,公告不强赎,成交额偏低0.4万,A,概念竞价强度0.21%,
主买,123262.SZ,神宇转债,300563,神宇股份,117.7903,苹果概念,002273,命中苹果概念,,30620.8222,5.0,安全,成交额偏低3.1万,A,概念竞价强度0.21%,
主买,128136.SZ,立讯转债,002475,立讯精密,117.7903,苹果概念,002273,命中苹果概念,,40094.6308,29.85,安全,成交额偏低4.0万；剩余规模29.85亿,A,概念竞价强度0.21%,
