trade_date,rank,code,name,stk_code,stk_name,route,grade,total_score,price,maturity_call_price,maturity_call_price_source,price_gap,premium_rate,maturity_days_left,remain_size,pledge_total_ratio,route_a_score,route_b_score,revision_countdown_score,revision_history_score,governance_score,theme_score,liquidity_score,risk_flags,missing_fields
2026-06-01,1,113644.SH,艾迪转债,603638,艾迪精密,底价观察,B,51.5,116.65,115.0,cb_basic.maturity_call_price,1.65,-0.51,655,,,63.0,53.0,,,60.0,,23.3,"[""强赎中""]","[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-01,2,128125.SZ,华阳转债,002949,华阳国际,底价观察,B,47.4,113.8,113.0,cb_call.call_price,0.8,25.57,30,,,42.2,53.0,,,60.0,,15.8,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-01,3,113588.SH,润达转债,603108,润达医疗,底价观察,B,47.2,112.03,109.0,cb_call.call_price,3.03,11.77,-13,,,51.1,53.0,,,60.0,,20.4,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-01,4,128121.SZ,宏川转债,002930,宏川智慧,底价观察,C,40.7,110.28,108.0,cb_call.call_price,2.28,23.23,17,,,41.7,53.0,,,60.0,,11.6,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-01,5,127041.SZ,弘亚转债,002833,弘亚数控,底价观察,C,39.3,119.52,115.0,cb_call.call_price,4.52,4.76,12,,,56.7,53.0,,,60.0,,12.8,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-01,6,128128.SZ,齐翔转2,002408,齐翔腾达,底价观察,C,35.3,113.96,110.0,cb_basic.maturity_call_price,3.96,17.68,51,,,45.0,53.0,,,60.0,,7.3,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-01,7,113605.SH,大参转债,603233,大参林,底价观察,C,32.2,114.64,110.0,cb_basic.maturity_call_price,4.64,16.22,114,,,46.1,53.0,,,60.0,,8.1,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-02,1,113588.SH,润达转债,603108,润达医疗,底价观察,B,55.3,110.37,109.0,cb_call.call_price,1.37,8.61,-13,,,53.9,53.0,,,60.0,,21.3,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-02,2,113644.SH,艾迪转债,603638,艾迪精密,底价观察,B,47.5,117.64,115.0,cb_basic.maturity_call_price,2.64,-0.44,655,,,63.0,53.0,,,60.0,,23.6,"[""强赎中""]","[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-02,3,127041.SZ,弘亚转债,002833,弘亚数控,底价观察,B,47.3,117.44,115.0,cb_call.call_price,2.44,6.35,12,,,55.7,53.0,,,60.0,,17.3,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-02,4,123059.SZ,银信转债,300231,银信科技,底价观察,C,36.4,122.39,118.0,cb_call.call_price,4.39,18.95,15,,,43.7,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-02,5,113597.SH,佳力转债,603912,佳力图,底价观察,C,35.8,122.37,118.0,cb_call.call_price,4.37,18.41,30,,,44.9,53.0,,,60.0,,10.2,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-02,6,128128.SZ,齐翔转2,002408,齐翔腾达,底价观察,C,34.3,114.08,110.0,cb_basic.maturity_call_price,4.08,18.72,51,,,43.9,53.0,,,60.0,,5.1,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-02,7,113605.SH,大参转债,603233,大参林,底价观察,C,31.6,114.86,110.0,cb_basic.maturity_call_price,4.86,16.17,114,,,46.4,53.0,,,60.0,,9.8,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-02,8,110075.SH,南航转债,600029,南方航空,底价观察,C,27.5,111.34,106.5,cb_basic.maturity_call_price,4.84,28.4,107,,,40.4,50.0,,,60.0,,8.8,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-03,1,113588.SH,润达转债,603108,润达医疗,底价观察,B,57.0,109.39,109.0,cb_call.call_price,0.39,12.34,-13,,,49.6,53.0,,,60.0,,13.6,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-03,2,127041.SZ,弘亚转债,002833,弘亚数控,底价观察,B,47.6,117.2,115.0,cb_call.call_price,2.2,6.49,12,,,54.5,53.0,,,60.0,,10.5,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-03,3,113644.SH,艾迪转债,603638,艾迪精密,底价观察,B,46.9,117.8,115.0,cb_basic.maturity_call_price,2.8,-0.35,655,,,63.2,53.0,,,60.0,,24.3,"[""强赎中""]","[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-03,4,123059.SZ,银信转债,300231,银信科技,底价观察,C,38.6,121.85,118.0,cb_call.call_price,3.85,19.85,15,,,44.4,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-03,5,113597.SH,佳力转债,603912,佳力图,底价观察,C,38.4,121.8,118.0,cb_call.call_price,3.8,17.34,30,,,45.5,53.0,,,60.0,,9.5,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-03,6,128128.SZ,齐翔转2,002408,齐翔腾达,底价观察,C,37.4,113.65,110.0,cb_basic.maturity_call_price,3.65,16.91,51,,,47.2,53.0,,,60.0,,9.9,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-03,7,113605.SH,大参转债,603233,大参林,底价观察,C,32.9,114.2,110.0,cb_basic.maturity_call_price,4.2,18.93,114,,,43.9,53.0,,,60.0,,6.2,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-04,1,113588.SH,润达转债,603108,润达医疗,底价观察,B,56.2,108.96,109.0,cb_call.call_price,-0.04,18.56,-13,,,45.8,53.0,,,60.0,,8.7,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-04,2,113644.SH,艾迪转债,603638,艾迪精密,底价观察,B,49.2,117.29,115.0,cb_basic.maturity_call_price,2.29,-0.56,655,,,64.4,53.0,,,60.0,,24.1,"[""强赎中""]","[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-04,3,127041.SZ,弘亚转债,002833,弘亚数控,底价观察,B,46.4,117.56,115.0,cb_call.call_price,2.56,5.47,12,,,56.2,53.0,,,60.0,,5.9,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-04,4,123059.SZ,银信转债,300231,银信科技,底价观察,C,42.8,120.65,118.0,cb_call.call_price,2.65,21.46,15,,,43.3,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-04,5,128128.SZ,齐翔转2,002408,齐翔腾达,底价观察,C,41.2,112.49,110.0,cb_basic.maturity_call_price,2.49,18.44,51,,,45.6,53.0,,,60.0,,6.5,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-04,6,113597.SH,佳力转债,603912,佳力图,底价观察,C,41.0,121.06,118.0,cb_call.call_price,3.06,18.07,30,,,45.8,53.0,,,60.0,,5.9,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-04,7,113605.SH,大参转债,603233,大参林,底价观察,C,34.9,113.71,110.0,cb_basic.maturity_call_price,3.71,19.22,114,,,44.8,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-05,1,113588.SH,润达转债,603108,润达医疗,底价观察,B,55.9,108.98,109.0,cb_call.call_price,-0.02,21.02,-13,,,44.1,53.0,,,60.0,,17.2,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-05,2,127041.SZ,弘亚转债,002833,弘亚数控,底价观察,B,47.0,117.58,115.0,cb_call.call_price,2.58,4.18,12,,,56.6,53.0,,,60.0,,8.4,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-05,3,123064.SZ,万孚转债,300482,万孚生物,底价观察,C,43.0,112.72,110.0,cb_basic.maturity_call_price,2.72,27.29,63,,,47.3,53.0,,,60.0,,61.4,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-05,4,123059.SZ,银信转债,300231,银信科技,底价观察,C,42.7,120.6,118.0,cb_call.call_price,2.6,21.55,15,,,41.9,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-05,5,113597.SH,佳力转债,603912,佳力图,底价观察,C,40.0,121.35,118.0,cb_call.call_price,3.35,17.43,30,,,45.2,53.0,,,60.0,,7.8,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-05,6,128128.SZ,齐翔转2,002408,齐翔腾达,底价观察,C,39.8,112.83,110.0,cb_basic.maturity_call_price,2.83,18.1,51,,,44.7,53.0,,,60.0,,7.8,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-05,7,113605.SH,大参转债,603233,大参林,底价观察,C,36.5,113.25,110.0,cb_basic.maturity_call_price,3.25,19.86,114,,,43.3,53.0,,,60.0,,6.5,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-08,1,113588.SH,润达转债,603108,润达医疗,底价观察,B,55.0,108.97,109.0,cb_call.call_price,-0.03,25.86,-13,,,42.9,53.0,,,60.0,,20.7,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-08,2,127041.SZ,弘亚转债,002833,弘亚数控,底价观察,B,49.7,116.73,115.0,cb_call.call_price,1.73,6.77,12,,,55.7,53.0,,,60.0,,12.2,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-08,3,123059.SZ,银信转债,300231,银信科技,底价观察,C,44.7,119.88,118.0,cb_call.call_price,1.88,25.31,15,,,40.7,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-08,4,128128.SZ,齐翔转2,002408,齐翔腾达,底价观察,C,43.0,111.88,110.0,cb_basic.maturity_call_price,1.88,20.64,51,,,44.2,53.0,,,60.0,,7.8,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-08,5,113597.SH,佳力转债,603912,佳力图,底价观察,C,42.2,120.38,118.0,cb_call.call_price,2.38,23.37,30,,,42.4,53.0,,,60.0,,8.4,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-08,6,113605.SH,大参转债,603233,大参林,底价观察,C,38.9,112.68,110.0,cb_basic.maturity_call_price,2.68,20.32,114,,,44.4,53.0,,,60.0,,6.8,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-09,1,113588.SH,润达转债,603108,润达医疗,底价观察,B,54.4,108.94,109.0,cb_call.call_price,-0.06,23.83,-13,,,41.4,53.0,,,60.0,,12.1,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-09,2,127041.SZ,弘亚转债,002833,弘亚数控,底价观察,B,49.1,116.8,115.0,cb_call.call_price,1.8,6.54,12,,,54.3,53.0,,,60.0,,9.6,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-09,3,123059.SZ,银信转债,300231,银信科技,底价观察,C,40.9,120.85,118.0,cb_call.call_price,2.85,24.02,15,,,40.2,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-09,4,113605.SH,大参转债,603233,大参林,底价观察,C,39.9,112.49,110.0,cb_basic.maturity_call_price,2.49,19.73,114,,,43.9,53.0,,,60.0,,9.5,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-09,5,128128.SZ,齐翔转2,002408,齐翔腾达,底价观察,C,39.4,112.5,110.0,cb_basic.maturity_call_price,2.5,22.29,51,,,41.4,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-09,6,113597.SH,佳力转债,603912,佳力图,底价观察,C,38.2,121.52,118.0,cb_call.call_price,3.52,21.8,30,,,42.7,53.0,,,60.0,,11.7,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-10,1,127041.SZ,弘亚转债,002833,弘亚数控,底价观察,B,50.6,116.29,115.0,cb_call.call_price,1.29,7.44,12,,,54.2,53.0,,,60.0,,6.4,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-10,2,123059.SZ,银信转债,300231,银信科技,底价观察,B,48.0,119.05,118.0,cb_call.call_price,1.05,25.32,15,,,40.7,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-10,3,128128.SZ,齐翔转2,002408,齐翔腾达,底价观察,C,43.8,111.57,110.0,cb_basic.maturity_call_price,1.57,21.77,51,,,43.4,53.0,,,60.0,,7.2,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-10,4,113597.SH,佳力转债,603912,佳力图,底价观察,C,42.7,120.31,118.0,cb_call.call_price,2.31,22.28,30,,,43.0,53.0,,,60.0,,6.9,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-10,5,113605.SH,大参转债,603233,大参林,底价观察,C,38.9,113.17,110.0,cb_basic.maturity_call_price,3.17,15.99,114,,,48.0,53.0,,,60.0,,11.3,[],"[""pledge_total_ratio"", ""ownership_nature""]"
