trade_date,rank,code,name,stock_code,stock_name,route,grade,total_score,price,maturity_call_price,maturity_call_price_source,price_gap,premium_rate,maturity_days_left,rating,state_control,call_risk,route_a_score,route_b_score,floor_safety_score,equity_flex_score,theme_hot_score,liquidity_score,governance_score,risk_flags,missing_fields,return_1w_pct,exit_1w_date,exit_1w_type,return_2w_pct,exit_2w_date,exit_2w_type,return_4w_pct,exit_4w_date,exit_4w_type
2026-01-05,1,127016.SZ,鲁泰转债,000726,鲁泰A,B下修事件,B,57.0,111.23,111.0,cb_call.call_price,0.23,31.25,-82,AA+,False,安全,40.1,83.0,73.9,41.0,62.5,12.1,60.0,,pledge_total_ratio/ownership_nature,0.2733,2026-01-12,到期收盘,0.1582,2026-01-19,到期收盘,-0.1016,2026-02-02,到期收盘
2026-01-05,2,128097.SZ,奥佳转债,002614,奥佳华,B下修事件,B,55.3,110.12,110.0,cb_call.call_price,0.12,41.63,-125,A+,False,安全,36.3,83.0,74.9,35.2,62.6,5.8,60.0,,pledge_total_ratio/ownership_nature,0.0309,2026-01-12,到期收盘,-0.0309,2026-01-19,到期收盘,-0.257,2026-02-02,到期收盘
2026-01-05,3,127017.SZ,万青转债,000789,万年青,B下修事件,B,54.8,112.86,113.0,cb_call.call_price,-0.14,82.34,-27,AA+,False,安全,34.1,83.0,76.0,30.5,62.6,6.9,60.0,,pledge_total_ratio/ownership_nature,0.4049,2026-01-12,到期收盘,0.2321,2026-01-19,到期收盘,0.4785,2026-02-02,到期收盘
2026-01-05,4,113579.SH,健友转债,603707,健友股份,B下修事件,B,54.7,108.67,109.0,cb_call.call_price,-0.33,189.38,-68,AA,False,安全,33.0,83.0,76.0,30.5,60.0,8.5,60.0,,pledge_total_ratio/ownership_nature,0.3294,2026-01-12,到期收盘,-0.0202,2026-01-19,到期收盘,0.1141,2026-02-02,到期收盘
2026-01-05,5,113037.SH,紫银转债,601860,紫金银行,B下修事件,B,51.0,109.72,110.0,cb_basic.maturity_call_price,-0.28,40.61,23,AA+,False,安全,38.6,83.0,61.8,35.8,62.5,19.9,60.0,,pledge_total_ratio/ownership_nature,0.4821,2026-01-12,到期收盘,0.1905,2026-01-19,到期收盘,0.1458,2026-02-02,到期收盘
2026-01-05,6,127018.SZ,本钢转债,000761,本钢板材,底价观察,B,47.0,121.29,119.0,cb_call.call_price,2.29,20.93,-1,AAA,False,安全,44.7,53.0,55.4,32.2,60.0,20.6,60.0,,pledge_total_ratio/ownership_nature,1.5533,2026-01-12,到期收盘,0.8946,2026-01-19,到期收盘,1.4923,2026-02-02,到期收盘
2026-01-05,7,123108.SZ,乐普转2,300003,乐普医疗,B下修事件,B,47.0,110.81,107.8,cb_call.call_price,3.01,62.74,-92,AA+,False,安全,39.7,83.0,48.9,30.5,60.0,53.2,60.0,,pledge_total_ratio/ownership_nature,1.0396,2026-01-12,到期收盘,-0.9124,2026-01-19,到期收盘,-2.599,2026-02-02,到期收盘
2026-01-05,8,113033.SH,利群转债,601366,利群股份,底价观察,B,45.3,113.41,110.0,cb_call.call_price,3.41,11.79,-90,AA,False,安全,50.5,53.0,45.3,45.0,60.0,16.5,60.0,,pledge_total_ratio/ownership_nature,2.3816,2026-01-12,到期收盘,5.0,2026-01-15,止盈,5.0,2026-01-15,止盈
2026-01-05,9,128135.SZ,洽洽转债,002557,洽洽食品,B下修事件,C,43.7,116.31,115.0,cb_basic.maturity_call_price,1.31,187.11,112,AA,False,安全,33.9,83.0,51.7,30.5,62.5,6.0,60.0,,pledge_total_ratio/ownership_nature,0.5073,2026-01-12,到期收盘,0.4213,2026-01-19,到期收盘,-0.0946,2026-02-02,到期收盘
2026-01-05,10,128124.SZ,科华转债,002022,科华生物,B下修事件,C,43.5,108.2,106.0,cb_call.call_price,2.2,263.71,28,A,False,安全,32.5,83.0,51.9,30.5,60.0,5.0,60.0,,pledge_total_ratio/ownership_nature,0.9242,2026-01-12,到期收盘,0.537,2026-01-19,到期收盘,5.0,2026-01-26,止盈
