code,company_name,chain_count,tag_count,mapping_count,chains,tags,best_tier,avg_growth_score,avg_profit_score,avg_moat_score,avg_total_score,max_total_score,price,today_pct,chg5,chg20,chg60,amount_yi,time,latest_trade_date,avg_business_sales_pct,avg_business_gross_margin
688256.SH,寒武纪,2,2,2,AI算力、量子科技,AI芯片、量子计算相关算力替代观察,第一梯队,15.0,12.0,19.5,75.3,83.0,1398.8,1.95,-8.84,-0.44,37.34,73.56,10:56:13,20260702,99.69,55.22
300045.SZ,华力创通,2,2,2,低空经济、未来空间/商业航天,卫星导航/低空通信、卫星通信,第二梯队,0.0,7.8,18.0,72.8,73.8,17.18,1.72,0.48,-10.45,-21.19,1.67,10:56:12,20260702,46.95,34.61
600522.SH,中天科技,2,2,2,核聚变能、第六代移动通信,光通信/海缆、超导/电缆,第二梯队,8.1,6.3,20.5,67.4,72.4,52.03,0.87,-24.26,14.67,75.92,65.21,10:56:14,20260702,28.22,18.75
300274.SZ,阳光电源,2,2,2,未来能源、氢能,储能逆变器、制氢电源/电解槽,第二梯队,1.3,12.0,16.0,59.9,66.1,128.55,0.56,-16.26,-25.15,0.46,38.17,10:56:12,20260702,41.81,36.49
688277.SH,天智航,2,2,2,未来健康、脑机接口,手术机器人、手术机器人/神经外科线索,暂不优先,0.0,8.0,14.5,40.5,46.0,17.98,3.39,1.81,3.2,-23.79,1.11,10:56:13,20260702,57.45,73.51
300308.SZ,中际旭创,2,1,2,AI算力、第六代移动通信,高速光模块,第一梯队,15.0,12.0,19.5,94.5,98.0,1176.92,2.97,-13.63,-10.35,96.39,204.85,10:56:12,20260702,97.95,42.61
300502.SZ,新易盛,2,1,2,AI算力、第六代移动通信,高速光模块,第一梯队,15.0,12.0,19.5,89.3,96.0,547.99,7.66,-16.62,-34.93,13.75,187.64,10:56:12,20260702,99.72,47.81
688012.SH,中微公司,1,1,1,半导体设备/材料/EDA/IP,刻蚀设备,第一梯队,15.0,12.0,22.0,100.0,100.0,410.82,0.47,2.45,43.01,36.67,73.22,10:56:13,20260702,100.0,39.17
688072.SH,拓荆科技,1,1,1,半导体设备/材料/EDA/IP,薄膜沉积,第一梯队,15.0,12.0,22.0,100.0,100.0,832.0,0.0,13.35,23.7,,0.0,10:56:10,20260626,96.57,34.0
300503.SZ,昊志机电,1,1,1,具身智能,关节模组/核心部件,第一梯队,15.0,12.0,20.0,99.0,99.0,102.8,8.35,19.08,26.54,74.73,33.42,10:56:12,20260702,66.78,37.53
688019.SH,安集科技,1,1,1,半导体设备/材料/EDA/IP,CMP材料,第一梯队,10.2,12.0,22.0,98.2,98.2,292.8,-2.85,12.23,8.03,20.43,22.05,10:56:14,20260702,81.45,58.28
600378.SH,昊华科技,1,1,1,核聚变能,特种气体/材料,第一梯队,13.3,7.7,22.0,95.0,95.0,77.3,-5.93,20.13,97.29,169.15,59.02,10:56:14,20260702,59.55,21.61
002979.SZ,雷赛智能,1,1,1,具身智能,运动控制,第一梯队,10.9,12.0,20.0,94.8,94.8,69.55,10.0,20.83,20.44,73.52,3.61,10:56:12,20260702,49.18,28.09
688580.SH,伟思医疗,1,1,1,脑机接口,康复/神经刺激,第一梯队,11.2,11.6,20.0,94.8,94.8,57.59,-0.47,3.01,12.48,9.19,0.83,10:56:09,20260702,40.92,70.45
688017.SH,绿的谐波,1,1,1,具身智能,谐波减速器,第一梯队,14.2,8.9,20.0,94.1,94.1,470.03,13.79,5.64,31.18,113.46,70.33,10:56:13,20260702,83.49,36.77
002371.SZ,北方华创,1,1,1,半导体设备/材料/EDA/IP,半导体设备,第一梯队,7.9,12.0,22.0,93.9,93.9,829.9,-1.33,5.49,36.92,92.2,77.13,10:56:12,20260702,93.34,39.18
300346.SZ,南大光电,1,1,1,半导体设备/材料/EDA/IP,光刻胶/电子特气,第一梯队,6.8,11.5,22.0,92.3,92.3,82.98,-6.52,18.8,74.68,99.44,58.54,10:56:12,20260702,59.39,36.74
300476.SZ,胜宏科技,1,1,1,AI算力,AI PCB,第一梯队,10.7,12.0,20.0,91.7,91.7,313.72,2.49,-12.59,-13.4,19.06,54.1,10:56:12,20260702,93.74,31.91
000988.SZ,华工科技,1,1,1,量子科技,激光/量子通信器件,第一梯队,11.6,9.0,21.0,90.5,90.5,159.24,1.95,-10.01,1.17,55.67,54.5,10:56:12,20260702,25.33,29.4
002407.SZ,多氟多,1,1,1,未来能源,钠电/电解液,第一梯队,15.0,10.9,16.0,89.9,89.9,49.8,-9.16,25.19,64.77,97.41,73.9,10:56:12,20260702,33.21,21.74
