chain_id,chain_name,mapped_companies,up_count,down_count,rise_ratio_pct,avg_pct_chg,median_pct_chg,weighted_pct_chg,strong_count_ge3pct,big_down_count_le_minus3pct,limit_like_count_ge9_5pct,top3_score_up_count,top3_score_avg_pct,amount_yi,resonance_level,leaders,laggards,quote_time
embodied_intelligence,具身智能,6,6,0,100.0,7.93,7.17,8.19,6,0,2,3,10.92,124.64,强共振,"绿的谐波(688017,14.19%)；雷赛智能(002979,10.00%)；昊志机电(300503,8.59%)","光洋股份(002708,4.39%)；柯力传感(603662,4.67%)","10:52:51,10:52:52"
intelligent_manufacturing,智能制造,6,6,0,100.0,4.44,3.77,4.88,4,0,1,3,6.44,143.12,强共振,"埃斯顿(002747,10.00%)；大族激光(002008,5.83%)；汇川技术(300124,4.05%)","柏楚电子(688188,0.75%)；中控技术(688777,2.53%)","10:52:51,10:52:52"
ai_compute,AI算力,6,6,0,100.0,3.87,2.81,3.87,3,0,0,3,4.55,587.56,强共振,"新易盛(300502,8.04%)；浪潮信息(000977,7.76%)；中际旭创(300308,3.06%)","寒武纪(688256,0.88%)；中科曙光(603019,0.90%)","10:52:50,10:52:51,10:52:52"
future_materials,未来材料,6,6,0,100.0,3.47,3.25,3.8,4,0,0,3,4.64,68.82,强共振,"光威复材(300699,5.28%)；钢研高纳(300034,5.27%)；中复神鹰(688295,3.36%)","西部超导(688122,1.75%)；正海磁材(300224,2.03%)","10:52:51,10:52:52"
sixth_generation_6g,第六代移动通信,6,6,0,100.0,2.68,1.72,2.79,2,0,0,3,3.91,475.18,强共振,"新易盛(300502,8.04%)；中际旭创(300308,3.06%)；仕佳光子(688313,2.11%)","震有科技(688418,0.62%)；中兴通讯(000063,0.93%)","10:52:50,10:52:51,10:52:52"
industrial_mother_machine,工业母机,6,5,1,83.3,3.11,2.22,3.11,1,0,1,2,3.81,17.93,正共振,"日发精机(002520,9.97%)；国盛智科(688558,2.94%)；华中数控(300161,2.24%)","科德数控(688305,-0.79%)；秦川机床(000837,2.10%)","10:52:50,10:52:51,10:52:52"
low_altitude_economy,低空经济,6,6,0,100.0,3.02,2.25,3.05,1,0,0,3,2.42,17.03,正共振,"广联航空(300900,7.49%)；中无人机(688297,2.77%)；万丰奥威(002085,2.37%)","华测导航(300627,1.65%)；华力创通(300045,1.72%)","10:52:48,10:52:51,10:52:52"
quantum_technology,量子科技,5,5,0,100.0,1.8,1.91,1.84,1,0,0,3,2.01,212.89,正共振,"光迅科技(002281,3.30%)；永鼎股份(600105,2.08%)；华工科技(000988,1.91%)","国盾量子(688027,0.81%)；寒武纪(688256,0.88%)","10:52:50,10:52:51,10:52:52"
future_space,未来空间/商业航天,6,4,2,66.7,1.08,1.38,1.07,1,0,0,3,1.49,59.04,正共振,"中国卫星(600118,4.63%)；华力创通(300045,1.72%)；北斗星通(002151,1.60%)","*ST航图(688066,-1.78%)；振芯科技(300101,-0.85%)","10:52:48,10:52:50,10:52:51"
hydrogen_energy,氢能,6,4,2,66.7,0.65,0.36,0.62,1,0,0,2,1.14,51.02,弱正共振,"东方电气(600875,4.01%)；雄韬股份(002733,1.78%)；阳光电源(300274,0.56%)","厚普股份(300471,-2.38%)；京城股份(600860,-0.24%)","10:52:48,10:52:51,10:52:52"
future_health,未来健康,6,3,3,50.0,0.62,0.25,0.44,1,0,0,1,-0.07,41.63,弱正共振,"天智航(688277,3.51%)；百济神州(688235,1.49%)；联影医疗(688271,0.81%)","荣昌生物(688331,-1.39%)；爱尔眼科(300015,-0.35%)","10:52:50,10:52:51,10:52:52"
nuclear_fusion,核聚变能,6,5,1,83.3,0.1,1.18,-0.39,0,1,0,2,-1.51,129.34,弱正共振,"沃尔核材(002130,2.73%)；湘电股份(600416,1.84%)；中天科技(600522,1.34%)","昊华科技(600378,-7.31%)；中核科技(000777,0.96%)","10:52:50,10:52:51"
brain_computer_interface,脑机接口,6,2,4,33.3,0.96,-0.44,0.77,2,0,0,1,1.23,13.41,分化,"汉威科技(300007,4.65%)；天智航(688277,3.51%)；爱朋医疗(300753,-0.30%)","乐普医疗(300003,-0.88%)；伟思医疗(688580,-0.66%)","10:52:48,10:52:51,10:52:52"
bio_manufacturing,生物制造,6,2,4,33.3,0.51,-0.7,0.32,1,0,0,1,-0.11,14.68,分化,"金发科技(600143,6.34%)；金丹科技(300829,1.07%)；溢多利(300381,-0.51%)","华恒生物(688639,-1.71%)；梅花生物(600873,-1.26%)","10:52:42,10:52:50,10:52:51"
industrial_software,工业软件,6,2,4,33.3,-0.48,-1.2,-0.62,0,0,0,1,-0.52,20.55,分化,"鼎捷数智(300378,2.24%)；中科创达(300496,1.78%)；中望软件(688083,-0.94%)","概伦电子(688206,-2.39%)；XD金山办(688111,-2.11%)","10:52:51,10:52:52"
future_energy,未来能源,6,4,2,66.7,-1.01,0.82,-1.38,1,1,0,2,-2.5,182.11,分化,"比亚迪(002594,3.49%)；中科电气(300035,1.41%)；宁德时代(300750,1.09%)","多氟多(002407,-10.00%)；天合光能(688599,-2.59%)",10:52:51
future_display,未来显示,6,2,4,33.3,-1.0,-3.98,-2.13,2,4,0,1,-1.99,294.79,分化,"信科移动(688387,9.12%)；利亚德(300296,3.15%)；和辉光电(688538,-3.91%)","深天马Ａ(000050,-5.25%)；京东方Ａ(000725,-5.05%)",10:52:51
semiconductor_equipment_materials,半导体设备/材料/EDA/IP,8,1,6,12.5,-1.86,-1.18,-1.86,0,2,0,1,-1.08,256.87,负共振,"中微公司(688012,0.02%)；拓荆科技(688072,0.00%)；安路科技(688107,-0.55%)","南大光电(300346,-6.57%)；安集科技(688019,-3.28%)","10:52:49,10:52:50,10:52:51"
