chain_name,chain_id,code,name,product,tier,total_score,pct_chg,price,pre_close,amount_yi,time,moat_score,growth_score,profit_score,stage_score,evidence_score
AI算力,ai_compute,300502.SZ,新易盛,高速光模块,第一梯队,96.0,8.043222003929284,549.94,509.0,182.67573569580003,10:52:51,20.0,15.0,12.0,18.0,18.0
AI算力,ai_compute,000977.SZ,浪潮信息,AI服务器,第二梯队,77.5,7.759836965041536,68.74,63.79,47.4383699443,10:52:51,20.0,6.0,1.4,18.0,18.0
AI算力,ai_compute,300308.SZ,中际旭创,高速光模块,第一梯队,98.0,3.0612423447069124,1177.99,1143.0,196.99968474279999,10:52:51,20.0,15.0,12.0,18.0,18.0
AI算力,ai_compute,300476.SZ,胜宏科技,AI PCB,第一梯队,91.7,2.558071155542501,313.92,306.09,52.5400081632,10:52:51,20.0,10.7,12.0,18.0,18.0
AI算力,ai_compute,603019.SH,中科曙光,服务器/算力,第一梯队,86.5,0.8989001692047317,95.41,94.56,37.02020486,10:52:50,20.0,4.9,7.7,18.0,18.0
AI算力,ai_compute,688256.SH,寒武纪,AI芯片,第一梯队,83.0,0.881195335276962,1384.09,1372.0,70.88859548,10:52:52,20.0,15.0,12.0,6.0,18.0
低空经济,low_altitude_economy,300900.SZ,广联航空,航空结构件,第二梯队,70.7,7.4908328968046085,41.04,38.18,9.6448463759,10:52:51,17.0,0.0,6.7,18.0,16.0
低空经济,low_altitude_economy,688297.SH,中无人机,无人机整机,第二梯队,76.8,2.7650877614811216,42.74,41.59,1.6875993,10:52:52,17.0,12.0,3.7,18.0,18.0
低空经济,low_altitude_economy,002085.SZ,万丰奥威,eVTOL/通航,第二梯队,75.4,2.3722627737226256,11.22,10.96,2.5004699636,10:52:51,17.0,3.2,7.2,18.0,18.0
低空经济,low_altitude_economy,688070.SH,纵横股份,无人机,第一梯队,83.2,2.121294533587147,37.55,36.77,0.22791078,10:52:48,17.0,11.2,8.0,18.0,18.0
低空经济,low_altitude_economy,300045.SZ,华力创通,卫星导航/低空通信,第二梯队,71.8,1.7169923031379466,17.18,16.89,1.65457356,10:52:51,17.0,0.0,7.8,18.0,18.0
低空经济,low_altitude_economy,300627.SZ,华测导航,高精度定位,观察池,50.2,1.6534867002156752,28.28,27.82,1.3124056144,10:52:51,15.0,3.5,10.9,6.0,0.8
具身智能,embodied_intelligence,688017.SH,绿的谐波,谐波减速器,第一梯队,94.1,14.1895654279143,471.66,413.05,69.10566346,10:52:52,20.0,14.2,8.9,18.0,18.0
具身智能,embodied_intelligence,002979.SZ,雷赛智能,运动控制,第一梯队,94.8,9.995255416732565,69.55,63.23,3.6022761775,10:52:51,20.0,10.9,12.0,18.0,18.0
具身智能,embodied_intelligence,300503.SZ,昊志机电,关节模组/核心部件,第一梯队,99.0,8.589797639123109,103.03,94.88,32.947168043400005,10:52:51,20.0,15.0,12.0,18.0,18.0
