chain_id,ts_code,name,product
quantum_technology,688027.SH,国盾量子,量子通信/QKD
quantum_technology,688256.SH,寒武纪,量子计算相关算力替代观察
quantum_technology,002281.SZ,光迅科技,量子通信光器件
quantum_technology,000988.SZ,华工科技,激光/量子通信器件
quantum_technology,600105.SH,永鼎股份,量子通信/光通信线索
bio_manufacturing,688065.SH,凯赛生物,生物基材料
bio_manufacturing,688639.SH,华恒生物,合成生物/氨基酸
bio_manufacturing,600873.SH,梅花生物,发酵工程
bio_manufacturing,300381.SZ,溢多利,酶制剂
bio_manufacturing,300829.SZ,金丹科技,PLA/乳酸
bio_manufacturing,600143.SH,金发科技,生物基材料
hydrogen_energy,688339.SH,亿华通,燃料电池
hydrogen_energy,300471.SZ,厚普股份,加氢站
hydrogen_energy,002733.SZ,雄韬股份,燃料电池
hydrogen_energy,600860.SH,京城股份,储氢瓶
hydrogen_energy,600875.SH,东方电气,电解槽/氢能装备
hydrogen_energy,300274.SZ,阳光电源,制氢电源/电解槽
nuclear_fusion,002130.SZ,沃尔核材,核级材料/超导线材线索
nuclear_fusion,600522.SH,中天科技,超导/电缆
nuclear_fusion,600378.SH,昊华科技,特种气体/材料
nuclear_fusion,000777.SZ,中核科技,核电阀门
nuclear_fusion,601611.SH,中国核建,核工程建设
nuclear_fusion,600416.SH,湘电股份,电磁/特种装备
brain_computer_interface,300003.SZ,乐普医疗,神经介入/医疗器械
brain_computer_interface,300238.SZ,冠昊生物,再生医学/神经修复
brain_computer_interface,300753.SZ,爱朋医疗,神经调控/麻醉镇痛
brain_computer_interface,300007.SZ,汉威科技,柔性传感/脑机材料线索
brain_computer_interface,688580.SH,伟思医疗,康复/神经刺激
brain_computer_interface,688277.SH,天智航,手术机器人/神经外科线索
embodied_intelligence,688017.SH,绿的谐波,谐波减速器
embodied_intelligence,300503.SZ,昊志机电,关节模组/核心部件
embodied_intelligence,002708.SZ,光洋股份,机器人轴承/关节零部件
embodied_intelligence,603662.SH,柯力传感,力传感器
embodied_intelligence,300421.SZ,力星股份,滚动体/陶瓷球
embodied_intelligence,002979.SZ,雷赛智能,运动控制
sixth_generation_6g,000063.SZ,中兴通讯,通信设备
sixth_generation_6g,600522.SH,中天科技,光通信/海缆
sixth_generation_6g,300308.SZ,中际旭创,高速光模块
sixth_generation_6g,300502.SZ,新易盛,高速光模块
sixth_generation_6g,688313.SH,仕佳光子,光芯片
sixth_generation_6g,688418.SH,震有科技,卫星通信/核心网
ai_compute,300308.SZ,中际旭创,高速光模块
ai_compute,300502.SZ,新易盛,高速光模块
ai_compute,000977.SZ,浪潮信息,AI服务器
ai_compute,603019.SH,中科曙光,服务器/算力
ai_compute,688256.SH,寒武纪,AI芯片
ai_compute,300476.SZ,胜宏科技,AI PCB
low_altitude_economy,688297.SH,中无人机,无人机整机
low_altitude_economy,688070.SH,纵横股份,无人机
low_altitude_economy,002085.SZ,万丰奥威,eVTOL/通航
low_altitude_economy,300900.SZ,广联航空,航空结构件
low_altitude_economy,300045.SZ,华力创通,卫星导航/低空通信
low_altitude_economy,300627.SZ,华测导航,高精度定位
intelligent_manufacturing,300124.SZ,汇川技术,自动化/伺服
intelligent_manufacturing,002747.SZ,埃斯顿,工业机器人
intelligent_manufacturing,688188.SH,柏楚电子,激光切割控制
intelligent_manufacturing,688686.SH,奥普特,机器视觉
intelligent_manufacturing,002008.SZ,大族激光,激光装备
intelligent_manufacturing,688777.SH,中控技术,工业自动化
industrial_software,688083.SH,中望软件,CAD
industrial_software,688111.SH,金山办公,基础软件
industrial_software,300496.SZ,中科创达,操作系统/边缘
industrial_software,688228.SH,开普云,政企软件
industrial_software,300378.SZ,鼎捷软件,ERP/MES
industrial_software,688206.SH,概伦电子,EDA
future_display,000725.SZ,京东方A,显示面板
future_display,000100.SZ,TCL科技,显示面板
future_display,000050.SZ,深天马A,中小尺寸显示
future_display,688387.SH,信科移动,显示非核心观察
future_display,300296.SZ,利亚德,MicroLED
future_display,688538.SH,和辉光电,OLED
future_energy,300750.SZ,宁德时代,储能/固态电池
future_energy,300274.SZ,阳光电源,储能逆变器
future_energy,002594.SZ,比亚迪,电池/储能
future_energy,300035.SZ,中科电气,负极材料
future_energy,002407.SZ,多氟多,钠电/电解液
future_energy,688599.SH,天合光能,钙钛矿/光伏
future_materials,300699.SZ,光威复材,碳纤维
future_materials,688295.SH,中复神鹰,碳纤维
future_materials,300034.SZ,钢研高纳,高温合金
future_materials,688122.SH,西部超导,高温合金/超导
future_materials,300224.SZ,正海磁材,稀土永磁
future_materials,300285.SZ,国瓷材料,先进陶瓷
future_space,600118.SH,中国卫星,卫星制造
future_space,002025.SZ,航天电器,航天连接器
future_space,300045.SZ,华力创通,卫星通信
future_space,002151.SZ,北斗星通,北斗芯片
future_space,300101.SZ,振芯科技,北斗/卫星
future_space,688066.SH,航天宏图,卫星应用
future_health,688271.SH,联影医疗,高端医疗影像
future_health,300760.SZ,迈瑞医疗,医疗器械
future_health,688331.SH,荣昌生物,ADC创新药
future_health,688235.SH,百济神州,创新药
future_health,300015.SZ,爱尔眼科,医疗服务
future_health,688277.SH,天智航,手术机器人
semiconductor_equipment_materials,002371.SZ,北方华创,半导体设备
semiconductor_equipment_materials,688012.SH,中微公司,刻蚀设备
semiconductor_equipment_materials,688072.SH,拓荆科技,薄膜沉积
semiconductor_equipment_materials,688037.SH,芯源微,涂胶显影/清洗
semiconductor_equipment_materials,300346.SZ,南大光电,光刻胶/电子特气
semiconductor_equipment_materials,688019.SH,安集科技,CMP材料
semiconductor_equipment_materials,688107.SH,安路科技,FPGA/IP
semiconductor_equipment_materials,301269.SZ,华大九天,EDA
industrial_mother_machine,688305.SH,科德数控,五轴机床
industrial_mother_machine,300161.SZ,华中数控,数控系统
industrial_mother_machine,000837.SZ,秦川机床,机床/丝杠
industrial_mother_machine,002520.SZ,日发精机,数控机床
industrial_mother_machine,688697.SH,纽威数控,数控机床
industrial_mother_machine,688558.SH,国盛智科,高端机床
