chain_id,chain_name,companies,first_tier,second_tier,top_score
ai_compute,AI算力,6,5,1,98.0
bio_manufacturing,生物制造,6,1,1,87.2
brain_computer_interface,脑机接口,6,2,3,94.8
embodied_intelligence,具身智能,6,5,1,99.0
future_display,未来显示,6,1,4,79.4
future_energy,未来能源,6,2,3,89.9
future_health,未来健康,6,0,4,77.0
future_materials,未来材料,6,2,1,84.7
future_space,未来空间/商业航天,6,2,4,85.3
hydrogen_energy,氢能,6,0,5,76.4
industrial_mother_machine,工业母机,6,4,2,87.6
industrial_software,工业软件,6,0,3,76.4
intelligent_manufacturing,智能制造,6,4,1,86.4
low_altitude_economy,低空经济,6,1,4,83.2
nuclear_fusion,核聚变能,6,1,3,95.0
quantum_technology,量子科技,5,3,1,90.5
semiconductor_equipment_materials,半导体设备/材料/EDA/IP,8,8,0,100.0
sixth_generation_6g,第六代移动通信,6,3,2,91.0
