ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000050.SZ,20260702,9.3,10.3,8.91,9.71,9.6,0.11,1.1458,1256782.39,1211159.71823
000050.SZ,20260701,9.9,9.94,9.48,9.6,9.91,-0.31,-3.1282,843577.94,813039.16261
000050.SZ,20260630,9.54,10.41,9.46,9.91,9.48,0.43,4.5359,1204910.22,1203477.54261
000050.SZ,20260629,9.96,10.13,9.25,9.48,9.88,-0.4,-4.0486,1096656.94,1054622.97188
000050.SZ,20260626,10.27,10.6,9.81,9.88,10.38,-0.5,-4.817,1342625.44,1375443.59382
000050.SZ,20260625,10.55,10.78,10.07,10.38,10.72,-0.34,-3.1716,1631329.17,1691170.0211
000050.SZ,20260624,9.78,10.99,9.57,10.72,9.99,0.73,7.3073,1830752.65,1892094.36569
000050.SZ,20260623,9.3,10.17,9.06,9.99,9.28,0.71,7.6509,1484333.09,1446314.03069
000050.SZ,20260622,8.95,9.5,8.95,9.28,8.94,0.34,3.8031,1108173.84,1024087.23469
000050.SZ,20260618,9.0,9.12,8.69,8.94,9.14,-0.2,-2.1882,1333370.94,1184703.4958
000050.SZ,20260617,8.28,9.14,8.22,9.14,8.31,0.83,9.988,576327.55,520988.41243
000050.SZ,20260616,7.97,8.55,7.93,8.31,7.95,0.36,4.5283,599531.02,495044.3647
000050.SZ,20260615,7.52,7.99,7.52,7.95,7.51,0.44,5.8589,626291.21,492190.60452
000050.SZ,20260612,7.87,8.08,7.45,7.51,7.66,-0.15,-1.9582,585581.2,447126.87114
000050.SZ,20260611,7.88,7.95,7.55,7.66,8.0,-0.34,-4.25,493046.37,380822.27703
000050.SZ,20260610,8.17,8.26,7.9,8.0,8.32,-0.32,-3.8462,539405.47,433801.32295
000050.SZ,20260609,8.35,8.44,8.02,8.32,8.22,0.1,1.2165,594676.0,489152.37803
000050.SZ,20260608,8.38,8.85,8.2,8.22,8.61,-0.39,-4.5296,724934.65,611390.703
000050.SZ,20260605,8.13,9.06,8.06,8.61,8.24,0.37,4.4903,1088008.83,945207.501
000050.SZ,20260604,7.9,8.34,7.89,8.24,8.0,0.24,3.0,526813.1,431891.849
000050.SZ,20260603,7.87,8.22,7.87,8.0,7.94,0.06,0.7557,481792.86,389361.921
000050.SZ,20260602,7.76,8.19,7.66,7.94,7.8,0.14,1.7949,430551.12,340971.031
000050.SZ,20260601,7.6,8.05,7.58,7.8,7.62,0.18,2.3622,468363.0,367894.966
000050.SZ,20260529,8.17,8.24,7.57,7.62,8.18,-0.56,-6.846,501489.03,390031.848
000050.SZ,20260528,8.16,8.28,7.97,8.18,8.22,-0.04,-0.4866,453162.88,368587.28
000050.SZ,20260527,8.27,8.61,8.11,8.22,8.27,-0.05,-0.6046,624049.98,519875.674
000050.SZ,20260526,7.98,8.4,7.94,8.27,8.06,0.21,2.6055,720122.23,593644.482
000050.SZ,20260525,7.94,8.22,7.89,8.06,7.95,0.11,1.3836,651386.9,525165.273
000050.SZ,20260522,7.68,7.98,7.37,7.95,7.6,0.35,4.6053,939951.63,716938.06
000050.SZ,20260521,7.81,8.09,7.56,7.6,7.35,0.25,3.4014,961541.64,760054.975
000050.SZ,20260520,7.48,7.5,7.32,7.35,7.52,-0.17,-2.2606,188790.75,139119.818
000050.SZ,20260519,7.4,7.52,7.3,7.52,7.4,0.12,1.6216,244294.0,181015.782
000050.SZ,20260518,7.45,7.49,7.3,7.4,7.47,-0.07,-0.9371,249262.01,184394.592
000050.SZ,20260515,7.73,7.77,7.38,7.47,7.72,-0.25,-3.2383,359377.05,270323.964
000050.SZ,20260514,7.87,7.88,7.64,7.72,7.83,-0.11,-1.4049,272610.06,211056.324
000050.SZ,20260513,7.66,7.95,7.61,7.83,7.68,0.15,1.9531,272230.79,211648.639
000050.SZ,20260512,7.83,7.84,7.63,7.68,7.83,-0.15,-1.9157,248274.45,191285.322
000050.SZ,20260511,7.81,7.94,7.76,7.83,7.77,0.06,0.7722,252900.22,198095.248
000050.SZ,20260508,7.69,7.79,7.62,7.77,7.71,0.06,0.7782,238455.91,183499.296
000050.SZ,20260507,7.61,7.76,7.61,7.71,7.6,0.11,1.4474,283419.24,218419.533
000050.SZ,20260506,7.64,7.77,7.58,7.6,7.62,-0.02,-0.2625,333337.28,255632.823
000050.SZ,20260430,7.85,7.88,7.54,7.62,8.18,-0.56,-6.846,512740.02,392415.502
000050.SZ,20260429,8.08,8.25,8.07,8.18,8.14,0.04,0.4914,181170.75,148496.957
000050.SZ,20260428,8.35,8.35,8.1,8.14,8.36,-0.22,-2.6316,204142.03,167733.088
000050.SZ,20260427,8.15,8.39,8.13,8.36,8.18,0.18,2.2005,176920.09,146902.154
000050.SZ,20260424,8.3,8.34,8.15,8.18,8.32,-0.14,-1.6827,185389.6,152052.273
000050.SZ,20260423,8.47,8.52,8.29,8.32,8.5,-0.18,-2.1176,201742.85,168917.731
000050.SZ,20260422,8.36,8.55,8.33,8.5,8.37,0.13,1.5532,192538.65,163148.65
