ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,ps,total_mv,circ_mv
000050.SZ,20260702,9.71,5.1597,1.03,141.3069,,0.8739,0.6529,2365138.1076,2365119.5615
000050.SZ,20260701,9.6,3.4633,0.59,139.7061,,0.864,0.6455,2338344.576,2338326.24
000050.SZ,20260630,9.91,4.9468,0.82,144.2175,,0.8919,0.6663,2413853.6196,2413834.6915
000050.SZ,20260629,9.48,4.5023,0.74,137.9598,,0.8532,0.6374,2309115.2688,2309097.162
000050.SZ,20260626,9.88,5.5121,0.91,143.7809,,0.8892,0.6643,2406546.2928,2406527.422
000050.SZ,20260625,10.38,6.6974,1.29,151.0573,,0.9343,0.6979,2528335.0728,2528315.247
000050.SZ,20260624,10.72,7.5162,1.79,156.0052,,0.9649,0.7208,2611151.4432,2611130.968
000050.SZ,20260623,9.99,6.0939,1.75,145.3817,,0.8991,0.6717,2433339.8244,2433320.7435
000050.SZ,20260622,9.28,4.5496,1.49,135.0493,,0.8352,0.624,2260399.7568,2260382.032
000050.SZ,20260618,8.94,5.4742,2.31,130.1013,,0.8046,0.6011,2177583.3864,2177566.311
000050.SZ,20260617,9.14,2.3661,1.01,133.0119,,0.8226,0.6145,2226298.8984,2226281.441
000050.SZ,20260616,8.31,2.4614,1.06,120.9331,,0.7479,0.5587,2024129.5236,2024113.6515
000050.SZ,20260615,7.95,2.5712,1.07,115.6942,,0.7155,0.5345,1936441.602,1936426.4175
000050.SZ,20260612,7.51,2.4041,0.85,109.291,,0.6759,0.505,1829267.4756,1829253.1315
000050.SZ,20260611,7.66,2.0242,0.71,111.4739,,0.6946,0.515,1865804.1088,1865789.4591
000050.SZ,20260610,8.0,2.2145,0.79,116.4218,,0.7254,0.5379,1948620.4792,1948605.1792
000050.SZ,20260609,8.32,2.4414,0.91,121.0787,,0.7544,0.5594,2026565.2984,2026549.3864
000050.SZ,20260608,8.22,2.9762,1.21,119.6234,,0.7453,0.5527,2002207.5424,2002191.8216
