ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
000050.SZ,20251231,液晶显示屏及模块,P,35833060526.07,5797187521.44,30035873004.63,CNY
000050.SZ,20251231,其他业务,P,393479792.52,87507365.68,305972426.84,CNY
000050.SZ,20250630,液晶显示屏及模块,P,17309879041.93,2796304560.09,14513574481.84,CNY
000050.SZ,20250630,其他业务,P,165198847.68,36656398.11,128542449.57,CNY
000050.SZ,20241231,液晶显示屏及模块,P,33191718973.38,4359104027.35,28832614946.03,CNY
000050.SZ,20241231,其他业务,P,302576814.37,89120965.65,213455848.72,CNY
000050.SZ,20240630,液晶显示屏及模块,P,15778727799.21,1835363036.62,13943364762.59,CNY
000050.SZ,20240630,其他业务,P,118170120.83,38964910.52,79205210.31,CNY
000063.SZ,20251231,运营商网络,P,62857000000.0,30228900000.0,32628100000.0,CNY
000063.SZ,20251231,消费者业务,P,33816400000.0,6191700000.0,27624700000.0,CNY
000063.SZ,20251231,政企业务,P,37222100000.0,4083600000.0,33138500000.0,CNY
000063.SZ,20251231,其他业务,P,-40000.0,-58000.0,18000.0,CNY
000063.SZ,20250630,运营商网络,P,35063905000.0,18563026000.0,16500879000.0,CNY
000063.SZ,20250630,消费者业务,P,17234586000.0,3063877000.0,14170709000.0,CNY
000063.SZ,20250630,政企业务,P,19254243000.0,1592614000.0,17661629000.0,CNY
000063.SZ,20241231,运营商网络,P,70326700000.0,35798900000.0,34527800000.0,CNY
000063.SZ,20241231,消费者业务,P,32406100000.0,7342800000.0,25063300000.0,CNY
000063.SZ,20241231,政企业务,P,18566000000.0,2846000000.0,15720000000.0,CNY
000063.SZ,20241231,其他业务,P,-48000.0,-14000.0,-34000.0,CNY
000063.SZ,20240630,运营商网络,P,37296344000.0,20259079000.0,17037265000.0,CNY
000063.SZ,20240630,消费者业务,P,16018963000.0,3032549000.0,12986414000.0,CNY
000063.SZ,20240630,政企业务,P,9171791000.0,1997117000.0,7174674000.0,CNY
000100.SZ,20251231,电子产品分销,P,34649079784.0,1181958195.0,33467121589.0,CNY
000100.SZ,20251231,新能源光伏及其他硅材料,P,29050247640.0,-1847358230.0,30897605870.0,CNY
000100.SZ,20251231,半导体显示器件,P,120720415020.0,24259281009.0,96461134011.0,CNY
000100.SZ,20251231,其他及合并抵销,P,-356351888.0,612022743.0,-968374631.0,CNY
000100.SZ,20251231,其他业务,P,147524444.0,147524444.0,,CNY
000100.SZ,20250630,电子产品分销,P,14674516380.0,495472402.0,14179043978.0,CNY
000100.SZ,20250630,新能源光伏及其他硅材料,P,13398123076.0,-1013950032.0,14412073108.0,CNY
000100.SZ,20250630,半导体显示器件,P,57550502531.0,11683065865.0,45867436666.0,CNY
000100.SZ,20250630,半导体显示业务,P,57550502531.0,11683065865.0,45867436666.0,CNY
000100.SZ,20250630,半导体光伏及半导体材料,P,13398123076.0,-1013950032.0,14412073108.0,CNY
000100.SZ,20250630,分销业务,P,14674516380.0,495472402.0,14179043978.0,CNY
000100.SZ,20250630,其他及合并抵销,P,-63137490.0,312578262.0,-375715752.0,CNY
000100.SZ,20250630,其他业务,P,101621503.0,,,CNY
000100.SZ,20241231,电子产品分销,P,31465203388.0,1103246376.0,30361957012.0,CNY
000100.SZ,20241231,新能源光伏及其他硅材料,P,28418504236.0,-2580813359.0,30999317595.0,CNY
000100.SZ,20241231,半导体显示器件,P,104254496685.0,19964906824.0,84289589861.0,CNY
000100.SZ,20241231,半导体显示业务,P,104254496685.0,19964906824.0,84289589861.0,CNY
000100.SZ,20241231,半导体光伏及半导体材料,P,28418504236.0,-2580813359.0,30999317595.0,CNY
000100.SZ,20241231,分销业务,P,31465203388.0,1103246376.0,30361957012.0,CNY
000100.SZ,20241231,其他及合并抵销,P,-684628554.0,,,CNY
