ts_code,chairman,manager,secretary,reg_capital,setup_date,province,city,introduction,main_business,business_scope,employees
000050.SZ,成为,王磊,陈冰峡,245774.7661,19831108,广东,深圳市,"公司成立于1983年，1995年在深圳证券交易所上市（证券简称：深天马A，证券代码：000050），是一家在全球范围内提供全方位的客制化显示解决方案和快速服务支持的创新型科技企业。

聚焦产品，不断创新
公司将手机显示、车载显示作为核心业务，将IT显示作为快速增长的关键业务，将专业显示、横向细分市场、非显业务等作为增值业务，同时开展生态拓展，公司积极把握5G、AIoT等市场增长机会，市场和行业地位稳步提升：从2017年第四季度起，公司LTPS智能手机面板出货量已连续五年保持全球第一，实现了行业主流品牌客户LTPS手机全覆盖；车载前装显示出货量市占率逐年提升，2020年开始登顶全球第一；2022年刚性AMOLED智能穿戴面板出货量达到全球第一；专业显示产品出货量已持续多年保持全球第一，在医疗、智能家居、工业移动手持等多个细分市场均保持全球领先。公司致力于不断创新，更好地服务客户与应用领域的差异化需求。

深耕技术数十载
公司坚持创新驱动，持续加大研发投入，加强前瞻性技术布局与产品技术开发，通过技术创新实现产品领先，现已自主掌握 TN/STN、TFT-LCD、AMOLED、柔性显示、折叠显示、Micro/Mini LED、触控一体化技术、HTD、CFOT、屏下摄像头、屏下指纹识别、智能传感等诸多国际先进、国内领先的行业前沿及量产技术，并多次获得创新产品与应用奖项。公司在先进技术方面的长期积累和持续投入为应用领域的创新发展奠定基础。

富有前瞻性的战略布局
经过数十年的耕耘，公司产线组合完善并不断加大对全球先进技术和高端产线的投入，已形成从无源、a-Si TFT-LCD、LTPS TFT-LCD到AMOLED的中小尺寸全领域主流显示技术的布局，产业基地分布在深圳、上海、成都、武汉、厦门、芜湖、日本等七地，并在德国、美国、日本、韩国、印度等国家以及中国香港地区设有全球营销网络和技术服务支持平台，支持了众多国内外品牌客户的定制化解决方案和整体市场布局的快速切换，高效满足客户需求。

展望未来，服务全球
展望未来，天马持续以全球领先为目标，坚持“2+1+N”战略引领，不断提升技术、产品和服务能力，持续深耕中小尺寸显示领域，持续扩大全球各领域业务的深入布局。公司将适当拓展中小尺寸边界，充分利用与整合全球资源、前瞻性技术优势及质量优势，在全球范围内提供显示解决方案和快速服务支持，向着全球显示领域领先企业的战略目标加速迈进。",制造销售各类液晶显示器及其与之相关的材料、设备和产品。,从事显示器件及相关的材料、设备、产品的设计、制造、销售；提供相关技术开发、技术咨询、技术服务和技术转让；信息技术服务、咨询服务；普通货运；代理销售、代理采购显示器件及相关材料(不含限制项目)；设备租赁(不含金融租赁)；自有物业租赁；经营进出口业务(法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)。,23538
000063.SZ,徐子阳,徐子阳,丁建中,478353.4887,19971111,广东,深圳市,"中兴通讯是全球领先的综合通信解决方案提供商。公司成立于1985年，是在香港和深圳两地上市的大型通讯设备公司。公司通过为全球160多个国家和地区的电信运营商和企业网客户提供创新技术与产品解决方案，让全世界用户享有语音、数据、多媒体、无线宽带等全方位沟通。中兴通讯拥有通信业界完整的、端到端的产品线和融合解决方案，通过全系列的无线、有线、业务、终端产品和专业通信服务，灵活满足全球不同运营商和企业网客户的差异化需求以及快速创新的追求。目前，中兴通讯已全面服务于全球主流运营商及企业网客户，智能终端发货量位居美国前四。中兴通讯坚持以持续技术创新为客户不断创造价值。公司在美国、瑞典、中国等地设立全球研发机构，3万余名国内外研发人员专注于行业技术创新。中兴通讯PCT国际专利申请三度居全球首位，位居""全球创新企业70强""与""全球ICT企业50强""。目前中兴通讯拥有超过7.2万件全球专利申请、已授权专利超过3.3万件，连续8年稳居PCT国际专利申请全球前三。公司依托分布于全球的107个分支机构，凭借不断增强的创新能力、突出的灵活定制能力、日趋完善的交付能力赢得全球客户的信任与合作。","投资兴办实业,电子及通信设备零部件的销售。",生产程控交换系统、多媒体通讯系统、通讯传输系统；研制、生产移动通信系统设备、卫星通讯、微波通讯设备、寻呼机，计算机软硬件、闭路电视、微波通信、信号自动控制、计算机信息处理、过程监控系统、防灾报警系统、新能源发电及应用系统等项目的技术设计、开发、咨询、服务；铁路、地下铁路、城市轨道交通、公路、厂矿、港口码头、机场的有线无线通信等项目的技术设计、开发、咨询、服务（不含限制项目）；通信电源及配电系统的研发、生产、销售、技术服务、工程安装、维护；数据中心基础设施及配套产品（含供配电、空调制冷设备、冷通道、智能化管理系统等）的研发、生产、销售、技术服务、工程安装、维护；电子设备、微电子器件的购销（不含专营、专控、专卖商品）；承包境外及相关工程和境内国际招标工程，上述境外工程所需的设备，材料进出口，对外派遣实施上述境外工程的劳务人员；电子系统设备的技术开发和购销（不含限制项目及专营、专控、专卖商品）；经营进出口业务（按贸发局核发的资格证执行）；电信工程专业承包（待取得资质证书后方可经营）；自有房屋租赁；认证服务；房地产开发经营。公司可根据国内外市场的变化、业务发展和自身能力，经股东会和有关政府部门批准后，依法变更经营范围和调整经营方式。,65095
000100.SZ,王成,王成,廖骞,2080086.2447,19820311,广东,惠州市,公司是中国最大的、全球性规模经营的消费类电子企业集团之一。公司已形成多媒体、通讯、华星光电和TCL家电、通力电子五大产业集团，及产品业务领域，服务业务领域和创投及投资业务三大业务领域。公司位于中国百强品牌第六位，连续九年蝉联中国彩电业第一品牌。,半导体显示业务、TCL多媒体电子、TCL通讯科技、家电集团、通力电子以及商用系统业务群和部品及材料业务群;互联网应用及服务事业本部、销售及物流服务业务群、以及TCL金融;创投及投资业务群。,研究、开发、生产、销售：半导体、电子产品及通讯设备、新型光电、液晶显示器件、货物及技术进出口，创业投资业务及创业投资咨询，为创业企业提供创业管理服务，参与发起创业投资机构与投资管理顾问机构，不动产租赁、提供信息系统服务、提供会务服务、提供电子计算机技术服务和电子产品技术开发服务、软件产品的开发及销售、专利转让、代理报关服务、提供顾问服务、支付结算。（以工商主管部门核准的经营范围为准）。,71419
000725.SZ,陈炎顺,冯强,郭红,3704432.8064,19930409,北京,北京市,"京东方科技集团股份有限公司创立于1993年4月,是一家为信息交互和人类健康提供智慧端口产品和专业服务的物联网公司。核心事业包括端口器件、智慧物联、智慧医工三大领域。端口器件事业包括显示与传感器件、传感器及解决方案,其产品广泛应用于手机、平板电脑、笔记本电脑、显示器、电视、车载、可穿戴设备等领域。智慧物联事业包括智造服务、IoT解决方案和数字艺术,可为智慧零售、智慧金融、数字艺术、智慧交通、智慧教育、智慧能源、商务办公、智慧家居等细分领域提供物联网整体解决方案。在数字艺术领域,BOE(京东方)推出数字艺术物联网产品——BOE画屏,实现科技与艺术完美结合;在商超零售等领域,BOE(京东方)提供价格管理、货架管理、客户行为分析等物联网新零售解决方案,实现零售O+O无缝衔接。智慧医工事业包括移动健康和健康服务。BOE(京东方)已推出移动健康管理平台,通过智能终端进行健康数据检测,基于人工智能和大数据算法,为用户提供生命体征数据监测解读、AI疾病风险预测、专家健康课程以及在线问诊、体检挂号等就医服务,让用户足不出户即可享受个性化的家庭健康管理服务。健康服务创新性的融合医疗、信息、人工智能和细胞工程等技术,聚焦数字医院、再生医学等领域,为客户提供全方位、全生命周期的健康管理方案。2017年,BOE(京东方)新增专利申请量8678件,其中发明专利超85%,累计可使用专利数量超过6万件,位居全球业内前列。2018年上半年,BOE(京东方)新增专利申请4810件,新增专利授权2611件。",光电子与显示器件、显示信息终端设备。,制造电子产品、通信设备、机械电器设备、五金交电、建筑材料、纸制品、工业气体、工具模具、蒸汽热汽、制造电子计算机软硬件；购销电子产品、通信设备、电子计算机软硬件；计算机数据处理；设计、销售机械电器设备、五金交电、建筑材料、纸制品、工业气体、工具模具、蒸汽热汽；技术开发、技术咨询、技术服务、技术转让、技术培训；承办展览展销活动；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外；无线电寻呼业务；自有房产的物业管理（含房屋出租）；机动车停车服务；企业管理咨询；经营电信业务。（公司经营范围最终以公司登记机构核准的结果为准）,109895
000777.SZ,马瀛,,匡小兰,38341.7593,19970702,江苏,苏州市,"中核苏阀科技实业股份有限公司是承袭中国核工业集团公司苏州阀门厂的品牌、质保、技术制造和管理诸优势的基础上创立的股份有限公司,是中国阀门行业和核工业系统的首家上市公司,目前公司能制造碳钢、不锈钢、超低碳不锈钢、合金钢、蒙乃尔、钛等特殊合金材料的阀门,能够承接各类大工程阀门的订单.作为阀门行业的龙头企业,公司拥有十五家集商贸、机械制造、生物技术、核辐射利用等子公司的大型企业。",工业用阀门的设计研发、产品制造和销售经营。,工业用阀门、设计、制造、销售；金属制品、电机厂品的设计、制造、加工、销售；与本企业相关行业的投资、汽车货运；辐照加工、辐照产品及放射性同位素的研究开发应用；经营本企业自产产品及技术的出口业务；经营本企业生产、科研所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务（国家限定公司经营和国家禁止进出口的商品及技术除外）；经营进料加工和“三来一补”的业务；泵、管道设计、制造、销售；压力容器设计、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）许可项目:特种设备安装改造修理;特种设备检验检测;民用核安全设备安装;民用核安全设备无损检验;检验检测服务(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)一般项目:电子、机械设备维护(不含特种设备)；通用设备修理;金属制品修理;专用设备修理;电气设备修理;仪器仪表修理;深海石油钻探设备制造;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。,1041
000837.SZ,马旭耀,刘金勇,李静,102314.5837,19980710,陕西,宝鸡市,"秦川机床工具集团股份公司是一家齿轮磨床企业.其主要产品有机床类、进出口贸易和原材料贸易等.公司作为国家唯一定点生产磨齿机的企业,精密磨齿机已经形成七大系列产品,磨齿机产量占国内企业总产量的75%左右,价值份额在50%左右.是国家级企业技术中心和国家级高新技术企业,也是我国齿轮磨床的龙头企业.2010年,公司又成功申报2011年国家科技重大专项2项(""高效、精密齿轮、齿圈磨齿机""、""数控螺旋锥齿轮磨床"");陕西省13115科技创新工程项目1项(""YK39250大规格数控高效内齿轮铣齿机研制、大型数控圆锥齿轮铣齿机"").公司""适用于大批量精密齿轮磨削的数控蜗杆砂轮磨齿机技术及产品""项目获得""国家工业大奖项目表彰奖"",重大专项产品""大型数控圆锥齿轮磨齿机""获得了""第十二届中国国际工业博览会""最高奖--金奖。",精密数控机床、塑料机械、精密齿轮件、液压件、液压系统及电梯曳引机。,通用及专用设备制造；黑色及有色金属加工；汽车零部件及配件制造；铁路、船舶、航空航天和其他运输设备的配件制造；金属制品；塑料制品；计算机、通信和其他电子设备制造；仪器仪表制造；软件和信息技术服务业；机械和设备修理；融资租赁；道路货物运输；投资与咨询服务；货物、技术的进出口经营（国家禁止和限制的货物、技术除外）及代理业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,9203
000977.SZ,彭震,胡雷钧,许燕燕,146847.6655,19981028,山东,济南市,"浪潮电子信息产业股份有限公司,浪潮是中国领先的云计算、大数据服务商,拥有浪潮信息、浪潮软件、浪潮国际、华光光电四家上市公司,业务涵盖云数据中心、云服务大数据、智慧城市、智慧企业四大产业群组,为全球100多个国家和地区提供IT产品和服务,全方位满足政府与企业信息化需求。2018年,浪潮明确提出以数据为核心,基于全球领先的云数据中心平台和云服务平台,打造平台生态型企业,携手合作伙伴构建数据社会化大生态,加快向云服务、大数据、智慧城市“新三大运营商”转型,致力于成为“云+数”新型互联网企业。",计算机软、硬件及其他信息产品的开发、生产、销售以及系统集成等。,一般项目：计算机软硬件及外围设备制造；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；互联网设备销售；互联网设备制造；软件开发；软件销售；通信设备制造；通信设备销售；通用设备制造（不含特种设备制造）；电子专用材料制造；电子专用材料研发；电子专用材料销售；制冷、空调设备制造；制冷、空调设备销售；钟表与计时仪器制造；钟表与计时仪器销售；计算器设备销售；玩具制造；玩具销售；教学用模型及教具制造；教学用模型及教具销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机及通讯设备租赁；计算机及办公设备维修；非居住房地产租赁；工程和技术研究和试验发展；工程管理服务；信息系统集成服务；变压器、整流器和电感器制造；配电开关控制设备制造；配电开关控制设备销售；电池制造；电池销售；锻件及粉末冶金制品制造；锻件及粉末冶金制品销售；金属结构制造；金属结构销售；玻璃制造；金属材料制造；金属材料销售；喷涂加工；云计算设备制造；云计算设备销售；信息技术咨询服务；网络技术服务；智能控制系统集成；信息安全设备制造；信息安全设备销售；网络与信息安全软件开发；数字视频监控系统制造；数字视频监控系统销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：进出口代理；技术进出口；货物进出口；各类工程建设活动；建设工程设计；建筑智能化系统设计；建筑智能化工程施工（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。,6896
000988.SZ,马新强,马新强,刘含树,100550.2707,19990728,湖北,武汉市,"华工科技产业股份有限公司是国家重点高新技术企业、国家“863”高技术成果产业化基地、中国激光行业的领军企业、中国电子信息企业百强。公司于1999年成立,2000年在深交所上市,是华中地区高校背景的上市企业,也是中国资本市场上以激光为主业的高科技企业。",激光器、激光加工设备及成套设备、激光全息综合防伪标识、激光全息综合防伪烫印箔及包装材料、光器件与光通信模块、光学元器件、电子元器件。,一般项目：光通信设备制造；智能基础制造装备制造；金属切割及焊接设备制造；光电子器件制造；电子元器件制造；移动终端设备制造；智能车载设备制造；新型膜材料制造；光学仪器制造；光学玻璃制造；汽车零部件及配件制造；计算机软硬件及外围设备制造；专用设备制造（不含许可类专业设备制造）；通用设备制造（不含特种设备制造）；第一类医疗器械生产；工程和技术研究和试验发展；机械设备研发；电子专用材料研发；新兴能源技术研发；激光打标加工；金属表面处理及热处理加工；淬火加工；人工智能行业应用系统集成服务；软件开发；信息系统集成服务；工业设计服务；物联网应用服务；5G通信技术服务；创业投资（限投资未上市企业）；自有资金投资的资产管理服务；融资咨询服务；智能基础制造装备销售；电子元器件与机电组件设备销售；技术玻璃制品销售；包装材料及制品销售；新型膜材料销售；第二类医疗器械销售；第一类医疗器械销售；货物进出口；技术进出口；进出口代理；国内贸易代理；销售代理；采购代理服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：包装装潢印刷品印刷；第三类医疗器械经营；第三类医疗器械生产；第二类医疗器械生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,9462
002008.SZ,高云峰,高云峰,杜永刚,102960.3408,19990304,广东,深圳市,"大族激光科技产业集团股份有限公司1996年创立于中国深圳,世界排名前三的工业激光加工设备生产厂商。公司于2004年在深圳证券交易所上市,目前全球员工超过1万人,总资产逾70亿元。大族激光为国内外客户提供一整套激光加工解决方案及相关配套设施,主要产品包括激光打标机系列、激光焊接机系列、激光切割机系列、新能源激光焊接设备、激光演示系列、PCB钻孔机系列、工业机器人等多个系列200余种工业激光设备及智能装备解决方案。公司产品涉及IT制造、新能源动力电池制造、电子电路、仪器仪表、计算机制造、手机通讯、家电厨卫、汽车配件、精密器械、建筑建材、五金工具、服装服饰、城市灯光、珠宝首饰、工艺礼品、食品及医药包装等多个行业。大族激光在国内拥有行业内完善的销售及售后服务网点,覆盖全国范围,海外拥有数十家分支机构及代理,并成立了专门的行业服务部门,为不同行业的客户提供激光加工工艺分析和全方位的激光应用解决方案,使激光技术与各行业的制造工艺实现无缝对接。大族激光目前拥有上千人的研发团队,800多项国内外专利和106项计算机软件著作权,其中多项核心技术处于国际领先水平。公司与全国多所著名大学等建立了战略合作关系,联合成立相关实验室及人才培养基地等项目。生产方面依据ISO9001质量控制体系和ISO14001环境管理体系,对产品在其来料、加工、整机、出货各环节严格把控,确保产品性能和质量,且多个系列产品获得过欧盟CE认证。",激光加工设备的研发、制造及销售。,许可经营项目：激光、机器人及自动化技术在智能制造领域的系统解决方案；激光雕刻机、激光焊接机、激光切割机、激光器及相关元件（不含限制项目）、机器人相关产品的研发、生产和销售；普通货运。一般经营项目：经营进出口业务；物业租赁。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）,20961
002025.SZ,李凌志,邹作涛,张旺,45536.202,20011230,贵州,贵阳市,"贵州航天电器股份有限公司,中国航天科工集团上市公司。全国五一劳动奖状获得者、国家认定企业技术中心、国家精密微特电机工程技术研究中心、中国电子元件百强企业、国家创新型企业、国家技术创新示范企业、全国企事业知识产权示范创建单位、国家级智能制造新模式应用示范企业。中国驰名商标。航天电器始终坚守“致力高科技领域,追求卓越、共享成就”的使命,在高端连接器、继电器、微特电机、光电、线缆组件、二次电源、控制组件和遥测系统等领域从事研制生产和技术服务,是国内集科研、生产于一体的电子元器件骨干企业之一。现已在贵阳、上海、遵义、苏州、泰州、镇江等地成立控股子公司,形成了集团化、跨地域、专业优势互补的产业化布局。产品广泛应用于航空、航天、船舶、兵器、核能、电子、通讯、医疗、轨道交通、能源装备、网络设备、家用电器、以及新能源汽车等各个领域。近年来,先后承担了载人航天、探月、北斗、大飞机和高分辨率对地观测系统等国家重大工程和重大专项配套产品研制生产任务。",高端继电器、连接器、微特电机、光电子产品、电缆组件的研制、生产和销售,电子元器件制造；电力电子元器件制造；电子元器件与机电组件设备制造、光电子器件制造；光通信设备制造；微特电机及组件制造；电机制造；发电机及发电机组制造；伺服控制机构制造；机械电气设备制造；工业自动控制系统装置制造；电子专用设备制造；软件开发、智能控制系统集成；信息系统集成服务；工业机器人制造；电工机械专用设备制造；汽车零部件及配件制造；仪器仪表制造；密封件制造；货物进出口；技术进出口；工程和技术研究和试验发展；电线电缆制造、集成电路芯片及产品制造；通用零部件制造；金属材料制造；液压动力机械及元件制造；气压动力机械及元件制造（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,5805
