ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002708.SZ,20260702,12.78,13.79,12.65,12.97,12.87,0.1,0.777,353705.4,469460.9854
002708.SZ,20260701,13.1,13.42,12.8,12.87,13.19,-0.32,-2.4261,252089.0,328204.779
002708.SZ,20260630,12.65,13.42,12.5,13.19,12.65,0.54,4.2688,254039.11,331193.44552
002708.SZ,20260629,13.32,13.38,12.1,12.65,13.37,-0.72,-5.3852,333274.08,422638.64364
002708.SZ,20260626,14.01,14.23,13.35,13.37,14.0,-0.63,-4.5,270643.57,370200.46969
002708.SZ,20260625,14.83,14.87,13.88,14.0,14.83,-0.83,-5.5968,285823.0,407161.409
002708.SZ,20260624,14.78,15.12,14.3,14.83,14.92,-0.09,-0.6032,236606.0,349494.86
002708.SZ,20260623,14.92,15.5,14.81,14.92,14.98,-0.06,-0.4005,292044.85,441266.3707
002708.SZ,20260622,15.14,15.49,14.28,14.98,15.18,-0.2,-1.3175,412965.0,614091.725
002708.SZ,20260618,14.17,15.42,14.16,15.18,14.13,1.05,7.431,460532.97,690682.95749
002708.SZ,20260617,13.87,14.59,13.75,14.13,13.94,0.19,1.363,293931.98,415881.65447
002708.SZ,20260616,13.39,14.21,13.23,13.94,13.41,0.53,3.9523,315438.12,436419.90576
002708.SZ,20260615,13.16,13.72,13.11,13.41,13.1,0.31,2.3664,296050.0,396657.095
002708.SZ,20260612,13.99,14.4,13.04,13.1,13.79,-0.69,-5.0036,354814.0,479709.689
002708.SZ,20260611,14.12,14.56,13.59,13.79,14.24,-0.45,-3.1601,303996.62,423773.18574
002708.SZ,20260610,14.45,14.54,13.79,14.24,14.7,-0.46,-3.1293,343138.22,486576.2939
002708.SZ,20260609,15.14,15.43,14.45,14.7,15.09,-0.39,-2.5845,439849.0,646830.855
002708.SZ,20260608,15.24,15.83,14.94,15.09,15.86,-0.77,-4.855,585556.42,900537.845
002708.SZ,20260605,14.28,15.86,14.23,15.86,14.42,1.44,9.9861,615242.58,946710.524
002708.SZ,20260604,13.94,14.97,13.87,14.42,14.08,0.34,2.4148,302582.22,438709.543
002708.SZ,20260603,13.4,14.6,13.17,14.08,13.39,0.69,5.1531,305641.02,425280.315
002708.SZ,20260602,13.72,13.8,13.27,13.39,13.6,-0.21,-1.5441,161255.0,217366.058
002708.SZ,20260601,13.61,14.12,13.43,13.6,13.7,-0.1,-0.7299,189150.84,260148.727
002708.SZ,20260529,14.85,14.95,13.58,13.7,14.87,-1.17,-7.8682,271079.29,382211.257
002708.SZ,20260528,15.12,15.28,14.59,14.87,15.12,-0.25,-1.6534,228634.0,340246.173
002708.SZ,20260527,15.65,15.68,15.05,15.12,15.75,-0.63,-4.0,222006.0,339816.81
002708.SZ,20260526,15.69,16.15,15.41,15.75,15.6,0.15,0.9615,263392.72,412145.618
002708.SZ,20260525,15.99,16.35,15.4,15.6,15.98,-0.38,-2.378,257489.62,403423.054
002708.SZ,20260522,15.4,16.05,15.11,15.98,15.28,0.7,4.5812,308422.53,485126.563
002708.SZ,20260521,15.47,16.3,15.27,15.28,15.38,-0.1,-0.6502,327329.0,516118.37
002708.SZ,20260520,15.48,15.56,15.08,15.38,15.71,-0.33,-2.1006,265771.0,407390.612
002708.SZ,20260519,16.32,16.5,15.58,15.71,15.82,-0.11,-0.6953,339090.0,538016.189
002708.SZ,20260518,15.41,16.08,15.26,15.82,15.53,0.29,1.8674,274809.86,431591.387
002708.SZ,20260515,15.25,15.98,14.92,15.53,15.41,0.12,0.7787,337696.49,523116.838
002708.SZ,20260514,15.83,16.07,15.34,15.41,15.85,-0.44,-2.776,251251.0,392519.778
002708.SZ,20260513,15.47,15.94,15.32,15.85,15.67,0.18,1.1487,308808.0,484802.324
002708.SZ,20260512,15.34,15.76,15.08,15.67,15.32,0.35,2.2846,418341.85,645037.951
002708.SZ,20260511,14.3,15.76,14.2,15.32,14.33,0.99,6.9086,581732.6,876312.021
002708.SZ,20260508,13.79,14.41,13.76,14.33,13.95,0.38,2.724,272843.65,386938.06
002708.SZ,20260507,13.51,14.13,13.41,13.95,13.51,0.44,3.2568,245861.65,340564.908
002708.SZ,20260506,13.34,13.64,13.3,13.51,13.34,0.17,1.2744,156259.0,210342.247
002708.SZ,20260430,13.13,13.5,13.13,13.34,13.17,0.17,1.2908,132881.14,176924.116
