code,name,node,product,base_score,updated_score,tier,signal,latest_trade_date,close,pct_chg,chg20,ma20,ma60,pe_ttm,pb,total_mv_yi,roe,gross_margin,net_margin,debt_to_assets,revenue_yoy,netprofit_yoy,forecast,product_item,product_sales_pct,product_gross_margin,robot_irm_hits,strong_irm_hits,robot_ann_hits,latest_evidence,base_chokepoint_hits,base_growth_note,base_comm_note
002708.SZ,光洋股份,bearing,轴承产品,92.0,100.0,第一梯队,产业强、等待技术修复,20260702,12.97,0.777,-7.88,14.081999999999999,14.1065,67.7593,4.1215,72.90411060000001,1.8307,15.2346,4.1988,56.2172,15.1209,25.9988,预增 67~116%,轴承产品,57.50395515106811,24.016040124408484,95,24,159,尊敬的董秘，你好！请问公司同步器行星排产品毛利率是多少？业务收入占比多少？AI算力需求快速增长、 PCB线路板业务占比多少？机器人防爆巡查机器人6月份批量交货了吗？半年度报会提前预报吗？谢谢如实告知。 | 您好，据2025年度报告数据显示，公司同步器行星排产品毛利率为20.02%，占营业收入比重为19.93%，线路板业务占营业收入比重为10.80%。公司将严,"{'供应商': 6, '定点': 12, '国产替代': 4}",预增116%,放量/订单+业绩兑现
300503.SZ,昊志机电,controller,运动控制产品,82.0,100.0,第一梯队,优先跟踪,20260702,94.88,-6.5037,26.54,83.594,72.7555,150.2777,19.8435,292.44558784,6.3692,42.1482,18.2372,57.5905,72.8763,483.5371,预增 54~99%,运动控制产品,17.88742088437872,40.38027370942404,185,28,4,请问公司主轴、转台、直线电机等产品是否可应用于MLCC设备中？公司与MLCC设备厂商是否有合作关系？ | 尊敬的投资者，您好。公司的主轴、转台、直线电机及直线电机精密平台等产品可应用于MLCC设备中的切割、倒角、检测、分选、丝印等多道工序。公司下属子公司已有相关产品直接供货MLCC设备厂商。截至目前，该部分收入占公司营业收入比重较小，敬请广大投资者谨慎决策，,"{'垄断': 20, '认证': 9, '供应商': 15, '客户验证': 3, '国产替代': 4, '自主可控': 4, '唯一': 5}",预增99%,放量/订单+业绩兑现
000551.SZ,创元科技,bearing,精密轴承,78.0,96.0,第一梯队,优先跟踪,20260702,19.76,-5.9048,28.98,16.6245,15.936166666666667,28.1971,3.1455,95.7832408,4.1744,28.6443,12.8643,35.6434,3.258,56.2888,预增 40~70%,精密轴承,17.18682558460098,36.25049311121879,80,38,4,尊敬的董秘，您好！请问，贵公司及旗下子公司是否涉及光通信业务？ 另据了解，近期光通信领域人才紧缺，贵公司旗下的职业教育体系及课程，是否有定向培养和输送光通信业务人才的能力及规划？ | 尊敬的投资者，您好！感谢您对公司的关心。公司全资子公司江苏苏净是国内领先的洁净环保领域整体解决方案供应商。光通信行业亦是我们提供洁净环保领域整体解决方案的领域之一。\n公司目前,"{'供应商': 39, '认证': 6}",预增80%,放量/订单+业绩兑现
688017.SH,绿的谐波,reducer,谐波减速器及金属部件,76.0,95.0,第一梯队,优先跟踪,20260702,413.05,-2.578,31.18,389.06800000000004,300.26483333333334,553.7334,21.2183,757.24497805,0.9185,33.618,23.541,9.4431,42.9556,61.1688,预增 105~131%,谐波减速器及金属部件,83.48958981215277,36.7690095825685,26,5,0,董秘你好，我是公司数百万资金重仓、长期坚定持股的核心个人股东，与机构同步布局，深度看好人形机器人减速器赛道的爆发性成长，长期坚定陪伴公司发展。公司在海外高端智能制造、人形机器人领域的布局，是否会成为未来第二增长曲线，打开中长期成长天花板？ | 尊敬的投资者您好，在具身智能机器人领域，公司紧跟行业从实验室研发向规模化落地的关键转折趋势，积极推进相关产品的研发与,{'供应商': 3},预增131%,放量/订单+业绩兑现
603270.SH,金帝股份,bearing,轴承保持架,73.0,89.0,第一梯队,优先跟踪,20260702,34.88,5.697,26.74,30.5605,28.631333333333334,50.8319,3.3265,76.42441696,1.8362,28.3384,7.7749,59.8654,38.1555,8.1861,略增 28~45%,轴承保持架,41.27823374367349,37.48863913963121,73,33,8,您好，公司的碳纤维转子技术/设备开始量产了吗？有哪些主要客户？有没有和上海石化合作？ | 尊敬的投资者：您好！在前沿技术方面，公司已掌握了高模量碳纤维复合缠绕核心技术，拥有量产产线的开发经验及自主研制的干法缠绕设备、高温高速检测设备，建立了全流程厂内验收标准， 具备样品制造与测试能力，支撑高效开发迭代。该产品仅形成样品收入，对公司目前经营业绩几乎没有影响。公,"{'客户验证': 6, '供应商': 15, '合格供方': 6, '进口替代': 12}",中性(待财务),放量/订单
300681.SZ,英搏尔,controller,电机控制器,71.0,82.0,第二梯队,产业强、等待技术修复,20260702,29.19,-2.047,-14.6,30.686,30.590333333333334,38.5388,2.8906,89.33757125999999,1.8509,17.2675,5.218,57.4305,99.201,430.7997,预增 139~168%,电机控制器,10.559055298098857,27.871970424319137,97,38,10,贵公司将在越南设立的子公司会按eVTOL电推器模式，引入VinFast等主机厂入股吗？ | 尊敬的投资者您好！公司目前暂无在越南设立子公司的计划。公司与低空经济领域客户合作情况敬请您关注公司2025年年度报告中披露的相关内容，感谢您对公司的关注。,"{'认证': 3, '供应商': 3, '定点': 6}",预增258%,放量/订单+业绩兑现
300660.SZ,江苏雷利,motor,步进电机,72.0,80.0,第二梯队,产业强、等待技术修复,20260702,29.11,2.3199,-9.0,29.904999999999994,39.230000000000004,62.4242,4.726,169.20988025,1.853,24.8631,6.9531,42.3563,15.0124,-29.7909,略增 20~35%,步进电机,28.606313692838604,29.93694238275465,61,25,63,网上说贵公司子公司鼎智科技间接参股灵心巧手7.52%，并派驻董事，提供空心杯电机等。请问此消息属实吗？如果属实，贵公司也算是间接参股灵心巧手？ | 您好，据了解鼎智科技未参股灵心巧手，也未派驻董事，关于鼎智科技的相关情况请您通过北交所的相关投资者关系通道进行咨询，感谢关注！,"{'定点': 9, '供应商': 6, '客户验证': 3}",中性(待财务),放量/订单
688162.SH,巨一科技,motor,新能源汽车电机驱动系统,75.0,79.0,第二梯队,重点跟踪,20260702,24.25,-0.4516,-15.56,25.3425,30.575499999999998,44.1984,1.3744,33.246944,0.8622,16.4426,2.0733,71.1675,4.2395,-21.6654,预增 228~393%,新能源汽车电机驱动系统,38.54800723385515,12.392787367062692,18,7,0,据报道：5月我国汽车出口量同比增长68.7% 延续快速增长态势请问董秘，作为汽车生产线自动化智能制造的供应商，公司有没有同步受益。 | 尊敬的投资者，您好！感谢您对巨一科技的关注！公司积极为我国汽车工业“走出去”提供智能装备和核心零部件的支持。关于公司的经营情况请关注公司在上海证券交易所网站披露的相关公告。,"{'供应商': 3, '定点': 3}",预增393%,放量/订单+业绩兑现
688160.SH,步科股份,controller,控制系统,61.0,75.0,第二梯队,重点跟踪,20260702,134.0,8.0645,25.88,112.85499999999999,114.33366666666666,163.6873,9.3052,122.22836799999999,1.0204,32.8639,7.0442,13.0284,43.2192,19.6973,预增 39~64%,控制系统,28.187170589851736,41.33210631759995,5,2,4,据权威媒体6月5日报道。中国目前已经量产可变磁通电机。并广泛适用于新能源汽车、机器人、低空飞行器。可变磁通电机属于重大技术突破性产品。请问贵公司是否掌握了可变磁通电机相关技术？或者能否突破专利壁垒跟进量产这一最先进产品？ | 您好，感谢您对步科股份的关注。公司已成立技术研究院，针对机器人关节对电机轻量化、大力矩的核心需求，开展了轴向磁通电机等新技术的预研和长,{},预增64%,放量/订单+业绩兑现
000795.SZ,英洛华,motor,电机系列,57.0,68.0,观察池,重点跟踪,20260702,9.7,1.8908,7.18,9.2835,9.226,43.2282,3.9821,108.2763179,2.5829,20.2138,7.1737,38.4094,16.8661,0.747,预增 168~201%,电机系列,24.12270387830331,28.54090259711243,36,0,3,您好！\n公司作为人行机器人概念股，请问宇树科技上市对公司有无影响？ | 您好！公司目前与宇树科技未有合作。感谢您的关注！,{},预增201%,放量/订单+业绩兑现
