ts_code,symbol,name,area,industry,market,list_date
000551.SZ,000551,创元科技,江苏,专用机械,主板,19940106
000678.SZ,000678,襄阳轴承,湖北,汽车配件,主板,19970106
000795.SZ,000795,英洛华,浙江,矿物制品,主板,19970808
002472.SZ,002472,双环传动,浙江,汽车配件,主板,20100910
002527.SZ,002527,新时达,上海,电器仪表,主板,20101224
002708.SZ,002708,光洋股份,江苏,汽车配件,主板,20140121
002896.SZ,002896,中大力德,浙江,机械基件,主板,20170829
300503.SZ,300503,昊志机电,广东,机械基件,创业板,20160309
300585.SZ,300585,奥联电子,江苏,汽车配件,创业板,20161229
300660.SZ,300660,江苏雷利,江苏,电气设备,创业板,20170602
300681.SZ,300681,英搏尔,广东,汽车配件,创业板,20170725
301368.SZ,301368,丰立智能,浙江,机械基件,创业板,20221215
301596.SZ,301596,瑞迪智驱,四川,机械基件,创业板,20240513
603270.SH,603270,金帝股份,山东,机械基件,主板,20230901
603667.SH,603667,五洲新春,浙江,机械基件,主板,20161025
603728.SH,603728,鸣志电器,上海,电气设备,主板,20170509
688017.SH,688017,绿的谐波,江苏,机械基件,科创板,20200828
688160.SH,688160,步科股份,上海,电器仪表,科创板,20201112
688162.SH,688162,巨一科技,安徽,专用机械,科创板,20211110
