ts_code,chairman,manager,secretary,reg_capital,setup_date,province,city,introduction,main_business,business_scope,employees
002708.SZ,李树华,郑伟强,汪建,56209.7967,19950422,江苏,常州市,"常州光洋轴承股份有限公司坐落于江苏常州,地处沪宁高铁中部,城际高铁至上海、南京仅需1小时车程。自1994年成立以来一直从事汽车精密轴承的研发、制造与销售,主要产品为滚针轴承、滚子轴承、离合器分离轴承与轮毂轴承单元、同步器中间环及工程机械轴承等,产品主要运用于汽车变速器、离合器、重卡车桥和轮毂等重要总成,是主机的重要部件。公司是国内汽车变速器用滚针轴承、滚子轴承以及离合器分离轴承的主要供应商之一,客户包括一汽、东风、上汽、长安、重汽、奇瑞、吉利、长城等整车集团和陕西法士特、綦江齿轮、上海汽车变速器、重庆青山等国内最大的重卡、客车、轿车、微型车变速器主机厂配套,同时延伸至采埃孚、伊顿、爱信(唐山)、格特拉克(江西)等国际著名的变速器主机厂。",汽车精密轴承的研发、制造与销售。,轴承、汽车配件、金属加工机械、工具、模具、机械零部件的制造、销售；汽车的销售；轴承的技术咨询、技术服务；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,4219
300503.SZ,汤秀清,雷群,肖泳林,30822.6785,20061214,广东,广州市,"广州市昊志机电股份有限公司是一家专业从事高精密电主轴及其零配件的研发设计、生产制造、销售与维修服务的环保型高新技术、创业板上市企业,股票代码300503。
昊志机电“以中高端电主轴产品为核心、以电主轴精密零配件制造为支撑、以配套维修服务为特色”,通过坚持不懈的技术攻关和持之以恒的品质管理,构建了电主轴“整机—配件—服务”紧密结合的完整业务链。为满足不同类型机床的加工要求,设计研制了包括PCB钻孔机/成型机电主轴、/玻璃雕铣机电主轴、木工雕铣机电主轴、钻攻中心电主轴、转台、刀柄夹头等十数个系列主轴及配件产品。
昊志机电秉承“立足自主技术创新,服务全球先进制造”的发展战略,以世界顶级装备核心功能部件设计、制造公司为愿景,致力于助力全球装备制造、提升人类良好体验而奋斗不止。",数控机床部件的研发、生产、销售、维修,机床附件制造、轴承制造、金属切削机床制造、其他金属加工机械制造、通用设备修理、专用设备修理、货物进出口（专营专控商品除外）、技术进出口、电子工业专用设备制造、电机制造、电机及其控制系统研发、非居住房地产租赁、汽车零部件及配件制造、汽车零部件研发、汽车零配件零售、气体压缩机械制造、气体压缩机械销售、技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。,2833
000551.SZ,周成明,周成明,周微微,48473.3046,19931222,江苏,苏州市,创元科技股份有限公司是一家投资控股型企业，成立于1993年，1994年在深圳证券交易所挂牌上市。截止2017年底，净资产16.17亿元。公司目前股本为400080405股，拥有全资、控股企业7家。　　公司以“集聚主业、做优做强、资本裂变、回报股东”为经营理念。公司主营业务为研发、生产及销售输变电高压绝缘子、洁净环保设备及工程；公司业务还涉足测绘仪器、磨料磨具、滚针轴承、进出口贸易等。公司控股股东苏州创元投资发展（集团）有限公司持有公司34.33%股份，为国有独资公司。　　公司主营产品均具有自主知识产权，在各自细分行业占居领先地位。,主要从事洁净环保工程及设备、输变电高压瓷绝缘子、滚针轴承、各类光机电算一体化测绘仪器、各类磨料磨具等产品的生产经营,国内贸易；自营和代理各类商品和技术的进出口业务；仪器仪表、电子、环保、电工器材、机械、自动化控制设备的开发、制造加工、销售；资产经营，物业管理，信息网络服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,2512
688017.SH,左昱昱,张雨文,归来,18333.0125,20110113,江苏,苏州市,公司是一家专业从事精密传动装置研发、设计、生产和销售的高新技术企业，产品包括谐波减速器、机电一体化执行器及精密零部件。公司产品广泛应用于工业机器人、服务机器人、数控机床、航空航天、医疗器械、半导体生产设备、新能源装备等高端制造领域。经过多年持续研发投入，公司在国内率先实现了谐波减速器的工业化生产和规模化应用，打破了国际品牌在国内机器人谐波减速器领域的垄断。公司多年以来深耕精密传动领域，凭借先进的技术水平、持续的研发投入、高精密制造的能力、严格的质量管控以及完善的产品体系，在行业内已建立较强的品牌知名度，成长为国内领军企业。,精密传动装置研发、设计、生产和销售。,谐波传动设备的研发、设计及技术开发；研发、生产、加工及销售：精密谐波减速机、精密仪器、机械设备、传感器、机械配件、流体控制阀、汽车配件（接头）、自动化设备及配件、石油钻探设备配件；自营和代理各类商品及技术进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,1087
688162.SH,林巨广,林巨广,王淑旺,13710.0775,20050118,安徽,合肥市,"安徽巨一科技股份有限公司成立于2005年1月18日,是国家企业技术中心、国家高新技术企业、国家创新试点企业、国家知识产权优势企业,是国内领先的汽车智能制造成套装备和新能源汽车电驱动系统解决方案专家。公司在英国、德国、美国、日本和中国上海、苏州分别建有子公司。以全世界为舞台,JEE致力于成为中国的世界品牌,为客户提供世界一流的数字化车间整体解决方案和新能源汽车电驱动系统产品。目前,JEE主要业务涵盖新能源汽车电驱动系统,汽车动力总成装测系统、汽车白车身焊装系统及通用工业装配和测试系统的研发、生产与服务等,为汽车、动力电池、工程机械等行业提供先进的成套智能制造装备与产品支持。为满足并超越客户的期望,JEE始终专注于对业务产品全生命周期的技术和服务的持续改进。",国内汽车等先进制造领域智能装备整体解决方案和新能源汽车核心部件的主流供应商，并致力于围绕汽车行业的智能化、电动化、网联化把公司打造成为业内具有国际竞争力的领军企业。公司产品主要包括智能装备整体解决方案和新能源汽车电驱动系统产品。,智能生产线及装备、自动化及智能设备、检测与试验设备的研发、制造、销售、技术转让、技术咨询与服务；汽车零部件的研发、制造、销售、技术转让、技术咨询与服务；数字化工厂、智能制造整体解决方案的设计、咨询与服务；工业软件、工业互联网产品的开发、销售、技术转让、技术咨询与服务；房屋与设备租赁；自营和代理各类商品和技术进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,2937
603270.SH,郑广会,郑广会,薛泰尧,21910.6667,20161009,山东,聊城市,山东金帝精密机械科技股份有限公司主营业务以研发、生产和销售系列轴承保持架、汽车核心零部件为主。产品广泛应用于轨道交通、汽车、数控机床、风力发电、工程机械、新能源汽车、家电等高端装备现已发展成为中国制造业单项冠军示范企业、国家技术企业。,精密机械零部件的研发、生产和销售。,轴承配件、汽车零部件生产、销售；医疗器械生产、销售；软件开发与销售；企业管理咨询服务（不含期货、证券及相关业务咨询；不含金融业务咨询；不含消费储值卡等相关业务）；自营和代理各类商品和技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,4793
300660.SZ,苏达,"华荣伟,苏达",殷成龙,58127.7512,20060429,江苏,常州市,江苏雷利电机股份有限公司是一家具有广泛影响力的微电机产品研发设计、生产制造型中国企业。政府及行业荣誉:2010年AAA级信用等级;2010年2010-2012年度“江苏质量诚信企业”;2011年常州市名牌产品·雷利牌步进电机;2011年常州市名牌产品·雷利牌排水电机;2011年计量合格确认证书;2012年质量创新成果组织奖;2012年江苏省五星级数字企业;2013年江苏省民营科技企业;2013年江苏省认定企业技术中心;2013年江苏省著名商标;2014年微特电机行业工作先进单位;2014年江苏省管理创新优秀企业;2015年2014年江苏省信息化与工业化融合转型升级示范企业。,公司主要从事家用电器微特电机及智能化组件的研发、生产与销售。,一般项目：伺服控制机构制造；伺服控制机构销售；电机制造；电机及其控制系统研发；微特电机及组件制造；微特电机及组件销售；泵及真空设备销售；泵及真空设备制造；风机、风扇制造；风机、风扇销售；汽车零部件及配件制造；汽车零部件研发；机械电气设备制造；机械电气设备销售；模具制造；模具销售；技术进出口；知识产权服务（专利代理服务除外）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,4417
300681.SZ,姜桂宾,贺文涛,徐惠冬,30605.534,20050114,广东,珠海市,"珠海英搏尔电气股份有限公司成立于2005年,是一家专注于电动车辆电气系统技术自主创新与产品研发的高新技术企业,主营业务系以电机控制器为主,车载充电机、DC-DC转换器、电子油门踏板等为辅的电动车辆零部件的研发、生产与销售,产品广泛运用于新能源汽车、中低速电动车、场地电动车等领域。","主营业务系以电机控制器为主,车载充电机、DC-DC转换器、电子油门踏板等为辅的电动车辆关键零部件的研发、生产与销售",一般项目：电力电子元器件制造；电力电子元器件销售；汽车零部件及配件制造；新能源汽车电附件销售；电动机制造；软件开发；软件销售；计算机软硬件及辅助设备零售；计算机软硬件及辅助设备批发；电气设备修理；电气设备销售；五金产品批发；五金产品零售；机械电气设备制造；工程和技术研究和试验发展；电机制造；电池制造；电池销售；电池零配件生产；蓄电池租赁；配电开关控制设备制造；配电开关控制设备销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,3047
688160.SH,唐咚,唐咚,刘耘,9083.2206,20081209,上海,上海市,"上海步科自动化股份有限公司一直专注于工业自动化设备控制核心部件与工业物联网/互联网软硬件的研发、生产、销售以及相关技术服务，并为客户提供设备自动化控制、数字化工厂及工业互联网解决方案，是中国领先的机器自动化与工厂智能化解决方案供应商。
公司的自动化设备控制核心部件主要包括工业人机界面、伺服系统、步进系统、可编程逻辑控制器、变频器等，且广泛应用于物流设备、机器人、包装设备、食品设备、服装设备、医疗设备、环保设备，轨道交通设备等自动化设备行业。工业物联网/互联网软硬件产品主要包括现场智能终端、网关、数据采集器、SaaS软件、数据中心等，主要应用于食品、服装等行业的数字化工厂建设与产销协同制造领域。","工业自动化设备控制核心部件与工业物联网/互联网软硬件的研发、生产、销售以
及相关技术服务，并为客户提供设备自动化控制、数字化工厂及工业互联网解决
方案",工业自动化电气产品及其软件的研发、销售及相关的技术服务。（企业经营涉及行政许可的，凭许可证件经营）。,1081
603667.SH,张峰,张峰,彭耀辉,38315.1922,19991112,浙江,绍兴市,"浙江五洲新春集团股份有限公司是一家以轴承产业为核心，涉足汽车配件和设备制造等领域的集团化企业，拥有森春、富日泰、富立等十余家全资或控股企业，注册资金1.518亿元，职工2600多人，年产轴承5000万套，轴承套圈2.2亿套，优质轴承钢管30000吨。产品销售与自营出口列居全国轴承行业前列。公司通过多年努力，实现了纵向一体化的产业布局，从轴承成品开始延伸，依次进入热处理、车加工、锻造及钢管等领域，是中国轴承产业链经营领先者。公司主要生产精密汽车轴承、精密数控机床轴承、高速精密纺机轴承、轴连轴承和电机轴承等，主要出口美国、日本、韩国、巴西等国家，汽车轴承配套于尼桑、现代等品牌汽车；轴承套圈稳定供应于世界排名前五位的轴承制造商SKF、Schaeffler、NSK、NTN、JTEKT等跨国集团；精密钢管已通过SKF公司QT3考评及奥托立夫AS2审核，进入世界高端钢管市场；试产成功的汽车安全气囊气体发生器专用钢管填补亚洲空白。公司为国家级高新技术企业，建有省级企业研究院、省级企业技术中心、博士后工作站,“环类零件精密轧制关键技术与装备”项目获得2011年度国家科技进步二等奖。",轴承套圈及成品轴承的研发、生产和销售,一般项目：轴承制造；轴承销售；轴承钢材产品生产；轴承、齿轮和传动部件制造；轴承、齿轮和传动部件销售；机械零件、零部件加工；机械零件、零部件销售；汽车零部件研发；汽车零部件及配件制造；五金产品制造；五金产品批发；工业机器人制造；工业机器人销售；智能机器人的研发；智能机器人销售；货物进出口；技术进出口(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。许可项目：检验检测服务(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。,5048
301596.SZ,卢晓蓉,刘兰,刘兰,10803.142,20090206,四川,成都市,成都瑞迪智驱科技股份有限公司创立于2009年，是一家致力于自动化设备动力传动与制动系统关键零部件研发、生产与销售的高新技术企业。公司产品包括精密传动件、电磁制动器和谐波减速机等，广泛应用于机器人、自动化生产线、电梯、风电、数控设备、起重机、塔吊、电动叉车、自动化立体停车库、高空平台车等自动化设备和高端装备制造领域。产品面向国内外销售，与全球多个行业头部和标杆企业形成了长期稳定的战略合作关系。瑞迪始终坚持以技术为先导的战略发展模式，坚持诚信的质量理念，不断打造以结果和责任为中心的高效管理 。瑞迪强调企业文化和核心价值观的影响力和渗透力，不断提高公司的凝聚力和市场的开拓能力。瑞迪的经营理念是通过向客户、市场、社会做出有价值的贡献，获得社会承认，通过技术、品质和管理的领先，赢得自身的发展和壮大。,致力于自动化设备传动与制动系统关键零部件研发、生产与销售,加工、销售普通电器机械及汽车零部件；生产、销售数控机床零部件、起重机械及配套产品；销售金属材料、工量具、矿山机械、工程机械；从事货物进出口和技术进出口的对外贸易经营业务；精密机械、机电产品、新能源产品科技开发和技术服务；农业项目开发及科技开发；项目投资（不得从事非法集资，吸收公众资金等金融活动）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,1208
000795.SZ,魏中华,魏中华,钱英红,111625.0714,19970804,浙江,金华市,"英洛华科技股份有限公司主要从事稀土永磁材料与制品、电机、齿轮箱、金刚石制品、物流设备、消防智能装备及其控制与信息系统，为山西省出口创汇先进单位和重点企业之一。稀土永磁材料已开发出N45、44UH、40SH、35UH、30EH、33UH等高性能NdFeB材料,""刚玉""牌自动化立体仓库于2000年被认定为""山西省著名商标""产品。",稀土永磁材料与制品和电机系列产品。,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；稀土功能材料销售；新材料技术研发；磁性材料生产；磁性材料销售；电机制造；电机及其控制系统研发；机械电气设备制造；机械电气设备销售；电力电子元器件制造；电力电子元器件销售；齿轮及齿轮减、变速箱制造；齿轮及齿轮减、变速箱销售；非公路休闲车及零配件制造；非公路休闲车及零配件销售；阀门和旋塞销售；阀门和旋塞研发；残疾人座车制造；残疾人座车销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。许可项目：货物进出口；技术进出口（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。,5197
