ts_code,company_name,date,source,title,text,stage_hit,weak
002708.SZ,光洋股份,20260622,互动易,尊敬的董秘，你好！请问公司同步器行星排产品毛利率是多少？业务收入占比多少？AI算力需求快速增长、 PCB线路板业务占比多少？机器人防爆巡查机器人6月份批量交货了吗？半年度报会提前预报吗？谢谢如实告知。,尊敬的董秘，你好！请问公司同步器行星排产品毛利率是多少？业务收入占比多少？AI算力需求快速增长、 PCB线路板业务占比多少？机器人防爆巡查机器人6月份批量交货了吗？半年度报会提前预报吗？谢谢如实告知。 | 您好，据2025年度报告数据显示，公司同步器行星排产品毛利率为20.02%，占营业收入比重为19.93%，线路板业务占营业收入比重为10.80%。公司将严格按照监管规则及时履行信息披露义务，相关项目进展及具体经营情况请届时关注公司披露的定期报告，谢谢。,True,False
002708.SZ,光洋股份,20260615,互动易,普通投资者第一眼看到光洋股份还以为海洋捕捞的。认真看了以后才知道贵公司是做精密轴承、人形机器人配件PCB线路板.减速器、低空飞行等业务。贵公司的产品面向全国，虽然从江苏常州出来，还是与世俱进，希望用一个响亮的名称代表企业主业的未来，建议公司,普通投资者第一眼看到光洋股份还以为海洋捕捞的。认真看了以后才知道贵公司是做精密轴承、人形机器人配件PCB线路板.减速器、低空飞行等业务。贵公司的产品面向全国，虽然从江苏常州出来，还是与世俱进，希望用一个响亮的名称代表企业主业的未来，建议公司更变企业名称加入产品未来发展代表的名称。取一个响当当的名称，这样有利于企业的发展，谢谢董秘。 | 您好！感谢您对公司的关注和建议。谢谢！,False,False
002708.SZ,光洋股份,20260611,互动易,董秘你好！请问光洋股份有没有向特斯拉人形机器人送样产品或供货阶段？,董秘你好！请问光洋股份有没有向特斯拉人形机器人送样产品或供货阶段？ | 您好：\n          感谢您对公司的关注。公司正全力推进人形机器人相关业务布局，相关业务信息请关注公司在指定媒体披露的定期报告或公告的内容。谢谢!,True,False
002708.SZ,光洋股份,20260604,互动易,董秘你好，请问光洋股份是宇树科技头部合作供应商吗？光洋股份间接持有宇宙科技股份吗？光洋股份是智元人形机器人供应商吗？,董秘你好，请问光洋股份是宇树科技头部合作供应商吗？光洋股份间接持有宇宙科技股份吗？光洋股份是智元人形机器人供应商吗？ | 您好，公司未持有宇树科技股份。目前公司正全力推进人形机器人相关业务布局，有关业务情况请关注定期报告披露的内容，涉及部分具体客户名称不便披露，谢谢！,False,True
002708.SZ,光洋股份,20260604,互动易,董秘你好！请问光洋股份和人形机器人、宇树科技和智源科技两大头部人形机器人公司的配件供应商吗？有没有投资宇宙科技股份？,董秘你好！请问光洋股份和人形机器人、宇树科技和智源科技两大头部人形机器人公司的配件供应商吗？有没有投资宇宙科技股份？ | 您好，公司未持有宇树科技股份。目前公司正全力推进人形机器人相关业务布局，有关业务情况请关注定期报告披露的内容，涉及部分具体客户名称不便披露，谢谢！,False,True
002708.SZ,光洋股份,20251219,互动易,董秘您好，请问贵司在智驾领域是否有线控底盘、线控转向、线控制动的业务开展？是否已经拿到了龙头公司的定点和订单？,董秘您好，请问贵司在智驾领域是否有线控底盘、线控转向、线控制动的业务开展？是否已经拿到了龙头公司的定点和订单？ | 您好，公司积极拓展智能驾驶领域的核心部件供应能力，在线控产品、车载显示、智能感知系统等方面均有积极布局，已定点项目正在有序开发，如公司与国内某龙头线控底盘公司的主动悬架类减速器项目、国内某头部新能源整车企业EMB线控制动项目、智能制动项目、T3*项目等。同时，公司与多家主机厂品牌车载摄像头软硬结合板实现规模化量产，正与多家头部车企协同开发应用于压力传感器的新型软板组件，谢谢。,True,False
002708.SZ,光洋股份,20251209,互动易,请问贵司产品在商业航天领域有应用吗？小鹏机器人是公司的重要客户吗？ ,请问贵司产品在商业航天领域有应用吗？小鹏机器人是公司的重要客户吗？  | 您好，公司产品广泛适用于有高精、低摩擦和高效需求的各传动领域应用场景，在汽车、机器人和低空经济都有布局，感谢您的关注！,False,False
002708.SZ,光洋股份,20251205,互动易,贵司实控人己变更为黄山国资委，同时公司业务范围也有所增加，今年成立了机器人公司，可否把公司名改为黄山智能、黄山精密，这样有利于增强公司在资本巿场的知名度，更能衬托公司的产品形象，望传达并采纳,贵司实控人己变更为黄山国资委，同时公司业务范围也有所增加，今年成立了机器人公司，可否把公司名改为黄山智能、黄山精密，这样有利于增强公司在资本巿场的知名度，更能衬托公司的产品形象，望传达并采纳 | 您好，感谢您的关注和建议。,False,False
002708.SZ,光洋股份,20251120,互动易,请问董秘，公司的柔性电路业务发展得如何？前景怎么样？,请问董秘，公司的柔性电路业务发展得如何？前景怎么样？ | 您好，公司线路板业务主要研发制造应用于消费电子和新能源汽车中各类FPCB板，随着消费电子技术迭代持续突破，以及汽车电子零部件市场需求持续攀升，线路板业务市场广阔。公司FPC及RFPC产品以高多层Anylayer 的HDI产品为主，产品应用覆盖智能手机、AI眼镜等智能穿戴、平板电脑、汽车电子、机器人感应模组等领域，目前公司业务增量明显，并且随着海外市场份额的不断提升以及国内市场的突破，公司FPC板块盈利能力将持续改善。感谢您的关注！,False,False
002708.SZ,光洋股份,20251111,互动易,请问光洋机器人公司主要产品会覆盖哪些？是什么样的规划方向？谢谢,请问光洋机器人公司主要产品会覆盖哪些？是什么样的规划方向？谢谢 | 您好，公司聚焦机器人关节模组和感应模组相关零部件，同时加强集成化产品的研发制造，公司设立黄山光洋机器人有限公司作为独立运营主体，是加速公司机器人用精密零部件项目研发进程和业务布局的重要举措，感谢您的关注！,False,False
002708.SZ,光洋股份,20251111,互动易,投资者很高兴看到公司在人形机器人领域的布局在不断加码，能不能综合概述下公司在人形机器人领域的核心是哪些东西？相关项目产品是否是人形机器人关键环节？谢谢,投资者很高兴看到公司在人形机器人领域的布局在不断加码，能不能综合概述下公司在人形机器人领域的核心是哪些东西？相关项目产品是否是人形机器人关键环节？谢谢 | 您好，公司主要聚焦机器人关节模组和感应模组领域，包括各类标准轴承、交叉滚子轴承、行星齿轮、滚珠丝杠、行星滚柱丝杠及电路板产品，是机器人的关键组成部分。目前公司通过资本与产业双向合作的方式加速布局机器人业务，同时加强集成化产品的研发制造，感谢您的关注！,False,False
002708.SZ,光洋股份,20251111,互动易,小鹏人形机器人已出，请问公司主要提供哪些人形机器人产品？谢谢,小鹏人形机器人已出，请问公司主要提供哪些人形机器人产品？谢谢 | 您好，公司积极布局机器人业务，聚焦机器人关节模组和感应模组相关零部件的研发制造，各类型机器人均可适配，感谢您的关注。,False,False
002708.SZ,光洋股份,20251111,互动易,公司刚入股人形机器人逐际动力持股比例多少？谢谢,"公司刚入股人形机器人逐际动力持股比例多少？谢谢 | 您好，公司已向逐际动力支付2,000万元认购款，据工商登记信息显示，公司持有其0.6667%股权。",False,False
002708.SZ,光洋股份,20251111,互动易,请问小鹏是不是公司重要客户？半年报披露的人形机器人头部客户关节模组项目产品已获量产定点，预计9月交付，现在已经11月份了，请问人形机器人该项目产品交付客户了没有？谢谢,请问小鹏是不是公司重要客户？半年报披露的人形机器人头部客户关节模组项目产品已获量产定点，预计9月交付，现在已经11月份了，请问人形机器人该项目产品交付客户了没有？谢谢 | 您好，小鹏是公司核心客户之一。半年报披露的人形机器人头部客户关节模组齿轮项目按计划推进中，已经开始交付，感谢您的关注。,True,False
002708.SZ,光洋股份,20251106,互动易,董秘你好，我想知道贵公司是否参加小鹏机器人的业务当中，参与度多少，包括哪些零部件的提供吗。,董秘你好，我想知道贵公司是否参加小鹏机器人的业务当中，参与度多少，包括哪些零部件的提供吗。 | 您好，公司积极布局机器人业务，聚焦机器人关节模组和感应模组相关零部件的研发制造，也投资了上下游相关企业，涉及具体项目信息，不便回复，感谢您的关注！,False,True
002708.SZ,光洋股份,20251031,互动易,董秘您好！请问贵公司与苏州卓誉电气技术有限公司的具体合作事项有哪些？,"董秘您好！请问贵公司与苏州卓誉电气技术有限公司的具体合作事项有哪些？ | 您好，公司在2025年第三季度报告中已对相关事项进行了披露，公司于2025年10月20日召开第二十七次执行委员会，审议通过向苏州卓誉电气技术有限公司（以下简称“卓誉科技”）进行股权投资并达成战略合作事项，同意公司向卓誉科技增资3,000万元，认购其6.5217%股权，同时在具身智能关节模组产品领域开展深度合作。目前卓誉科技尚处于量产的早期阶段，公司深耕制造业多年，可在产品制造方面赋能卓誉科技，为其生产关节模组中的轴承、齿轮、PCB板等零部件，进一步帮助卓誉科技降低采购成本，卓誉科技帮助公司补齐机电一体化中“电”的能力，更快向总成产品进行拓展。截至目前，公司已与相关方签署完成《增资协议》《股东协议》《战略合作协议》，后续公司将按照协议约定完成增资款的缴付并开展深度合作，感谢您的关注！",True,False
002708.SZ,光洋股份,20251020,互动易,董秘您好，请问公司是否有创投相关业务？,董秘您好，请问公司是否有创投相关业务？ | 您好，公司专注于各类新能源与燃油汽车精密零部件、高端工业装备、智能机器人零部件及电子线路板、电子元器件的研发、生产与销售，始终关注市场动态和行业趋势，寻求内生式增长和外延式扩张协调发展，提升公司综合竞争力。公司围绕主营业务开展了相关投资与布局，以现金方式对陕西大祺传感电子科技有限公司、深圳某科技有限公司进行增资，深化产业协作，形成良好的协同效应；同时，经公司第五届董事会第十六次会议及2025年第二次临时股东大会审议通过，公司拟作为有限合伙人，投资设立黄山建投富海光洋机器人产业基金合伙企业（有限合伙）（暂定名），拟借助各方资源及专业投资机构的力量，更有效率、更安全地进行产业投资的新尝试，目前该事项处于筹划设立阶段，具体内容详见公司披露的相关公告，谢谢。,False,False
