code,name,node_id,node_name,product,candidate_reason,tier,total_score,moat_score,evidence_score,stage_score,growth_score,profit_score,support_score,market_score,evidence_hits,stage_hits,negative_hits,latest_trade_date,close,chg20,pe_ttm,pb,revenue_yoy,netprofit_yoy,gross_margin,roe,forecast,business_item,business_sales_pct,business_gross_margin,latest_evidence
688017.SH,绿的谐波,EI-L5-HARMONIC,谐波减速器,谐波减速器及金属部件,减速器纯度高,第一梯队,111.6,22,20.0,20,19.7,10.9,12,7,89,29,0,20260702,413.05,31.18,553.7334,21.2183,42.9556,61.1688,33.618,0.9185,预增 105~131%,谐波减速器及金属部件,83.48958981215277,36.7690095825685,董秘你好，我是公司数百万资金重仓、长期坚定持股的核心个人股东，与机构同步布局，深度看好人形机器人减速器赛道的爆发性成长，长期坚定陪伴公司发展。公司在海外高端智能制造、人形机器人领域的布局，是否会成为未来第二增长曲线，打开中长期成长天花板？ | 尊敬的投资者您好，在具身智能机器人领域，公司紧跟行业从实验室研发向规模化落地的关键转折趋势，积极推进相关产品的研发与商业化进程。目前，部分头部厂商已进入小批量试生产阶段，我们的相关产品凭借过硬的品质获得了下游海内外企业的认可，相关收入实现大幅增长，为公司开辟了新的增长空间。感
300503.SZ,昊志机电,EI-L4-JOINT,关节模组/执行器,谐波减速器、关节模组、无框电机、六维力传感器,核心部件覆盖广,第一梯队,111.0,21,20.0,20,20.0,15.0,7,8,129,129,3,20260702,94.88,26.54,150.2777,19.8435,72.8763,483.5371,42.1482,6.3692,预增 54~99%,转台、直线电机、减速器等功能部件,13.787881045604196,35.92734541650283,贵司在机器人领域是否有订单。贵司是不是有产品应用于pcb设备，目前产能订单如何。是否还需要扩大生产线 | 尊敬的投资者，您好。\n（1）在机器人领域，公司已攻克谐波减速器、关节模组、无框力矩电机、六维力传感器等系列核心功能部件技术，实现了智能机器人核心功能部件的全国产化替代。同时，公司的机器人领域业务已形成“N+1+3”的布局，其中“N”是指减速器、低压驱动、力矩传感器、无框力矩电机、编码器等机器人核心零部件，“1”是指以协作机器人为载体，“3”是指生活美容、工厂上下料、新能源汽车充电三大业务场景。\n在客户合作方
002979.SZ,雷赛智能,EI-L5-DRIVE,驱动器/控制器/编码器,运动控制、伺服、步进驱动,控制器,第一梯队,106.8,18,20.0,20,14.8,14.0,10,10,22,20,3,20260702,63.23,20.44,82.6756,10.6657,34.5483,29.2028,38.9442,3.964,预增 55~65%,伺服系统类,49.1817582511243,28.08866186434495,公司有产品供货宇树机器人吗 | 您好，由于涉及公司与部分客户签署了保密协议的要求，公司无法回复具体客户或者供应商问题，相关产品的供应情况请咨询终端品牌或参考公开信息，敬请谅解，谢谢您的关注！
603270.SH,金帝股份,EI-L5-BEARING,机器人轴承/交叉滚子轴承,轴承保持架、精密零部件,轴承保持架,第一梯队,104.7,19,20.0,20,13.4,11.3,10,11,38,38,2,20260702,34.88,26.74,50.8319,3.3265,38.1555,8.1861,28.3384,1.8362,略增 28~45%,轴承保持架,41.27823374367349,37.48863913963121,公司有无机械电控一体化送经卷取组件等产品，与哪些纺织厂商合作？ | 尊敬的投资者：您好！公司以精密冲压技术为核心，持续拓展产品应用边界，形成轴承保持架、精密零部件、新能源电驱动定转子总成多元产品生态，持续拓展至低空飞行、数控机床、具身智能等高端应用场景，同时加速全球化布局，实现市场覆盖与客户结构优化，形成 “海内外联动、多区域互补”的生产布局网络。感谢您的关注！谢谢
000551.SZ,创元科技,EI-L5-BEARING,机器人轴承/交叉滚子轴承,苏轴股份精密轴承/滚针轴承,轴承,第一梯队,102.0,19,20.0,20,11.3,13.7,7,11,45,41,1,20260702,19.76,28.98,28.1971,3.1455,3.258,56.2888,28.6443,4.1744,预增 40~70%,精密轴承,17.18682558460098,36.25049311121879,请问贵公司和特斯拉在机器人方面有合作吗？还和那些机器人公司有合作？ | 尊敬的投资者，您好！感谢您对公司的关心和建议。公司控股子公司苏州轴承生产的各类轴承系列产品广泛应用于汽车转向系统、主动安全系统、传动系统、扭矩管理系统、新能源电驱系统、智能座椅系统、变速箱、发动机和空调压缩机等重要总成，同时还应用于工业自动化、高端装备、工程机械、减速机、液压传动系统、电动工具、纺机、农林机械、航空航天、国防工业等领域。 \n苏州轴承未来将加大新能源汽车和国防、航空航天、机器人、工业自动化以及高端装备等领域的客户开发和产品的研发
002472.SZ,双环传动,EI-L5-RV,RV/行星/摆线减速器,齿轮、减速器、机器人关节减速器,齿轮减速,第一梯队,100.6,20,20.0,20,5.6,12.0,12,11,13,13,0,20260702,42.74,6.21,28.6144,3.5253,1.488,2.9288,27.548,2.7958,略增 24~27%,乘用车齿轮,65.89559273464842,26.372143947818415,尊敬的董秘您好！\n想向您咨询两个问题：\n \n1. 公司向宇树科技供应的齿轮减速器相关产品出货量是否位居行业第一？双方在机器人关节减速器领域的供货份额及合作地位如何？\n​\n2. 公司直接及间接持有宇树科技的股份比例分别为多少？对应的持股主体与持股路径请简要介绍。\n \n感谢您的解答！ | 尊敬的投资者，您好，公司产品、业务拓展、对外股权投资等情况可参考公司在指定的信息披露媒体上发布的公告。感谢您的关注！
603728.SH,鸣志电器,EI-L5-FRAMELESS,无框力矩电机/空心杯电机,空心杯电机、控制电机,灵巧手电机,第一梯队,99.4,21,16.2,20,12.7,10.5,12,7,9,9,0,20260702,63.37,1.75,391.7682,8.9269,17.6532,92.1905,37.0232,0.4644,,控制电机及其驱动系统产品,83.02124516226871,36.76924067416836,您好，目前公司的空心杯电机的线圈绕制是采用哪种方式？灵巧手这方面是否为特斯拉的供应商？ | 尊敬的投资者您好，关于公司产品工艺和业务情况，请以公司官网信息和公告为准，感谢您的关注！
002747.SZ,埃斯顿,EI-L3-BODY,本体结构与整机集成,工业机器人、本体、控制,整机/控制,第一梯队,96.8,12,20.0,20,15.0,10.8,12,7,54,19,6,20260702,40.7,40.15,302.5789,12.1655,-2.2164,674.6406,30.3939,3.7636,扭亏 104~106%,工业机器人及智能制造系统,81.7679815250178,29.231644274850694,2026年国内出货量多少？国外出货量多少？在国外有投资建厂吗 | 您好，感谢您对公司的关注！根据MIR睿工业公布的数据，2025年公司工业机器人在中国出货量首次超越外资品牌，位列中国市场第一。公司通过在波兰的海外生产制造基地，建立全球化的产能布局和供应链体系，实现资源的最优配置与协同创新，加速高价值产品出海。
300718.SZ,长盛轴承,EI-L5-BEARING,机器人轴承/交叉滚子轴承,自润滑轴承、机器人轴承,轴承候选,第一梯队,96.6,19,20.0,20,11.2,13.4,10,3,73,15,4,20260702,64.36,-11.76,73.5771,10.6647,23.4093,15.0944,33.9036,3.4444,预增 116~165%,金属塑料聚合物自润滑卷制轴承,36.54049291547633,47.54286386602236,尊敬的董秘您好、贵公司生产的免维护自润滑轴承是否能满足在真空的近地太空轨道使用？是否能抗住太空的极端冷热？谢谢 | 感谢您的关注。公司主营业务为自润滑轴承及高性能聚合物的研发、生产及销售，主要产品为自润滑轴承、高性能改性工程塑料及氟塑料制品。公司始终致力于高性能摩擦学与聚合物材料的技术积累与应用探索，将结合市场变化与行业趋势，稳步推进相关技术在各类场景中的应用，具体业务进展，敬请关注公司公告。
603662.SH,柯力传感,EI-L5-FORCE,六维力/力矩/触觉传感器,力传感器、称重传感,力传感,第一梯队,96.6,22,20.0,20,3.1,11.5,10,10,309,74,4,20260702,73.82,18.74,67.7443,7.4312,13.3436,-45.6484,46.346,1.4843,预增 58~92%,力学传感器及仪表系列,39.77313565489084,43.285360898610186,贵公司2025年年报中所称“报告期内，机器人力学传感器销售量超过 1500 只，送样客户数超过 70 家，已进入小批量生产向批量化供应过渡的发展阶段。2026 年月出货量已突破千只”是否属实？为何股价不涨？2026年月出货量突破千只机器人传感器，金额大概是多少？贵公司目前为哪些中外头部机器人公司供货？ | 您好！感谢您对公司的关注。公司年报披露信息属实，相关数据真实准确。公司股价波动，受多重因素影响，请注意投资风险。机器人传感器具体收入情况及客户名称请以公司定期报告为准，谢谢。
