ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
002708.SZ,20251231,轴承产品,P,1562021864.79,375135797.8,1186886066.99,CNY
002708.SZ,20251231,线路板业务,P,293345622.74,-40492218.75,333837841.49,CNY
002708.SZ,20251231,毛坯加工,P,235060228.78,5917790.93,229142437.85,CNY
002708.SZ,20251231,同步器行星排产品,P,541467163.45,108403116.27,433064047.18,CNY
002708.SZ,20251231,其他主营业务,P,84478038.74,12785712.42,71692326.32,CNY
002708.SZ,20250630,轴承产品,P,742102392.77,187388980.74,554713412.03,CNY
002708.SZ,20250630,线路板系列产品,P,132987077.25,-22846162.52,155833239.77,CNY
002708.SZ,20250630,线路板业务,P,132987077.25,-22846162.52,155833239.77,CNY
002708.SZ,20250630,毛坯加工,P,122722050.08,-8965555.96,131687606.04,CNY
002708.SZ,20250630,毛坯,P,122722050.08,-8965555.96,131687606.04,CNY
002708.SZ,20250630,同步器行星排产品,P,249439786.46,63830899.12,185608887.34,CNY
002708.SZ,20250630,同步器,P,249439786.46,63830899.12,185608887.34,CNY
002708.SZ,20250630,其他主营业务,P,13054902.56,2598805.11,10456097.45,CNY
002708.SZ,20241231,轴承产品,P,1219556373.25,276252791.27,943303581.98,CNY
002708.SZ,20241231,线路板系列产品,P,215819359.35,-52660257.68,268479617.03,CNY
002708.SZ,20241231,线路板业务,P,215819359.35,-52660257.68,268479617.03,CNY
002708.SZ,20241231,毛坯加工,P,245232533.11,28796415.23,216436117.88,CNY
002708.SZ,20241231,毛坯,P,245232533.11,28796415.23,216436117.88,CNY
002708.SZ,20241231,同步器行星排产品,P,512703278.58,68874302.64,443828975.94,CNY
002708.SZ,20241231,同步器,P,512703278.58,68874302.64,443828975.94,CNY
002708.SZ,20241231,其他主营业务,P,116264195.18,15772986.99,100491208.19,CNY
002708.SZ,20240630,轴承产品,P,604114381.42,148723723.35,455390658.07,CNY
002708.SZ,20240630,线路板系列产品,P,108269463.38,-28691018.88,136960482.26,CNY
002708.SZ,20240630,线路板业务,P,108269463.38,-28691018.88,136960482.26,CNY
002708.SZ,20240630,毛坯加工,P,97833236.38,-1053641.26,98886877.64,CNY
002708.SZ,20240630,毛坯,P,97833236.38,-1053641.26,98886877.64,CNY
002708.SZ,20240630,同步器行星排产品,P,252431818.12,51785259.44,200646558.68,CNY
002708.SZ,20240630,同步器,P,252431818.12,51785259.44,200646558.68,CNY
002708.SZ,20240630,其他业务,P,61140335.31,9574109.34,51566225.97,CNY
300421.SZ,20251231,钢球,P,943674981.56,148528257.17,795146724.39,CNY
300421.SZ,20251231,滚子,P,146116070.05,25397025.95,120719044.1,CNY
300421.SZ,20251231,其他业务,P,19274030.16,8796236.94,10477793.22,CNY
300421.SZ,20250630,陶瓷球,P,76508.3,51423.78,25084.52,CNY
300421.SZ,20250630,钢球,P,454824522.44,74802483.19,380022039.25,CNY
300421.SZ,20250630,滚子,P,70911227.27,13441098.64,57470128.63,CNY
300421.SZ,20250630,废料销售,P,3119472.85,,,CNY
