ts_code,chairman,manager,secretary,reg_capital,setup_date,province,city,introduction,main_business,business_scope,employees
002708.SZ,李树华,郑伟强,汪建,56209.7967,19950422,江苏,常州市,"常州光洋轴承股份有限公司坐落于江苏常州,地处沪宁高铁中部,城际高铁至上海、南京仅需1小时车程。自1994年成立以来一直从事汽车精密轴承的研发、制造与销售,主要产品为滚针轴承、滚子轴承、离合器分离轴承与轮毂轴承单元、同步器中间环及工程机械轴承等,产品主要运用于汽车变速器、离合器、重卡车桥和轮毂等重要总成,是主机的重要部件。公司是国内汽车变速器用滚针轴承、滚子轴承以及离合器分离轴承的主要供应商之一,客户包括一汽、东风、上汽、长安、重汽、奇瑞、吉利、长城等整车集团和陕西法士特、綦江齿轮、上海汽车变速器、重庆青山等国内最大的重卡、客车、轿车、微型车变速器主机厂配套,同时延伸至采埃孚、伊顿、爱信(唐山)、格特拉克(江西)等国际著名的变速器主机厂。",汽车精密轴承的研发、制造与销售。,轴承、汽车配件、金属加工机械、工具、模具、机械零部件的制造、销售；汽车的销售；轴承的技术咨询、技术服务；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,4219
300421.SZ,施祥贵,施波,陈芳,29403.0484,20001212,江苏,南通市,"江苏力星通用钢球股份有限公司秉承以科技创新作为加快转变经济发展方式的着手点,依托广大干部员工的精密合作,产品已达到世界先进水平,并被应用于世界著名品牌汽车、精密电器、大型风电设备的关键部件中。公司先后完成多个国家级技术改造项目,总投资达3亿元,引进了具有世界先进水平的生产技术及检测设备;成立了自有的研发机构,专门从事于公司新产品、新材料、新技术、新工艺方面的研究和开发。公司生产的“力星”牌钢球荣获江苏省“名牌产品”,“力星”商标被认定为江苏省著名商标,9Gr18Mo不锈钢钢球、汽车轮毂钢球、风能发电专用钢球等均获“国家级重点新产品”。公司拥有一套完整高效的管理机制,保证了企业优质高效的运转,先后通过了ISO9001:2000和TS16949质量管理体系标准认证以及ISO14001环境管理体系的认证。在力星钢球人的不懈努力下,公司先后获得了江苏省政府颁发的“技术进步企业”、国家高新技术企业等称号,并被列为国务院特定振兴企业之一,连续十年被评为中国工业行业(其他通用零部件)排头兵企业,已成为世界钢球行业著名企业。并于2015年2月17日在深圳证券交易所创业板正式挂牌上市。",精密轴承滚动体的研发、生产和销售,钢球制造、销售；滚子生产、销售；机械设备及配件、通用机械及零配件、轴承、五金产品、金属材料及制品、化工原料及产品（危险化学品除外）、润滑油、仪器仪表、电气设备及配件、机电设备的销售；自营和代理各类商品的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：特种陶瓷制品制造；特种陶瓷制品销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,1245
688017.SH,左昱昱,张雨文,归来,18333.0125,20110113,江苏,苏州市,公司是一家专业从事精密传动装置研发、设计、生产和销售的高新技术企业，产品包括谐波减速器、机电一体化执行器及精密零部件。公司产品广泛应用于工业机器人、服务机器人、数控机床、航空航天、医疗器械、半导体生产设备、新能源装备等高端制造领域。经过多年持续研发投入，公司在国内率先实现了谐波减速器的工业化生产和规模化应用，打破了国际品牌在国内机器人谐波减速器领域的垄断。公司多年以来深耕精密传动领域，凭借先进的技术水平、持续的研发投入、高精密制造的能力、严格的质量管控以及完善的产品体系，在行业内已建立较强的品牌知名度，成长为国内领军企业。,精密传动装置研发、设计、生产和销售。,谐波传动设备的研发、设计及技术开发；研发、生产、加工及销售：精密谐波减速机、精密仪器、机械设备、传感器、机械配件、流体控制阀、汽车配件（接头）、自动化设备及配件、石油钻探设备配件；自营和代理各类商品及技术进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,1087
300503.SZ,汤秀清,雷群,肖泳林,30822.6785,20061214,广东,广州市,"广州市昊志机电股份有限公司是一家专业从事高精密电主轴及其零配件的研发设计、生产制造、销售与维修服务的环保型高新技术、创业板上市企业,股票代码300503。
昊志机电“以中高端电主轴产品为核心、以电主轴精密零配件制造为支撑、以配套维修服务为特色”,通过坚持不懈的技术攻关和持之以恒的品质管理,构建了电主轴“整机—配件—服务”紧密结合的完整业务链。为满足不同类型机床的加工要求,设计研制了包括PCB钻孔机/成型机电主轴、/玻璃雕铣机电主轴、木工雕铣机电主轴、钻攻中心电主轴、转台、刀柄夹头等十数个系列主轴及配件产品。
昊志机电秉承“立足自主技术创新,服务全球先进制造”的发展战略,以世界顶级装备核心功能部件设计、制造公司为愿景,致力于助力全球装备制造、提升人类良好体验而奋斗不止。",数控机床部件的研发、生产、销售、维修,机床附件制造、轴承制造、金属切削机床制造、其他金属加工机械制造、通用设备修理、专用设备修理、货物进出口（专营专控商品除外）、技术进出口、电子工业专用设备制造、电机制造、电机及其控制系统研发、非居住房地产租赁、汽车零部件及配件制造、汽车零部件研发、汽车零配件零售、气体压缩机械制造、气体压缩机械销售、技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。,2833
002896.SZ,岑国建,岑国建,伍旭君,19652.267,20060828,浙江,宁波市,"宁波中大力德智能传动股份有限公司创建于2006年8月,是一家集电机驱动、微特电机、精密减速器的研发、制造、销售、服务于一体的机电自动化企业。2017年8月29日,公司在深交所中小板A股上市。
公司系国家级高新技术企业,主导和参与起草国家及行业标准6项,获国家专利74项,拥有浙江省级企业研发中心,主导产品被认定为“浙江省名牌产品”,综合实力居慈溪市工业企业二十强。",从事机械传动与控制应用领域关键零部件的研发、生产、销售和服务,一般项目：电机制造；电动机制造；微特电机及组件制造；微特电机及组件销售；齿轮及齿轮减、变速箱制造；齿轮及齿轮减、变速箱销售；轴承、齿轮和传动部件制造；轴承、齿轮和传动部件销售；电机及其控制系统研发；工业机器人制造；工业机器人销售；汽车零部件及配件制造；汽车零配件批发；通用设备制造（不含特种设备制造）；专用设备制造（不含许可类专业设备制造）；机械设备研发；机械设备销售；机床功能部件及附件制造；机床功能部件及附件销售；轴承制造；轴承销售；模具制造；模具销售；五金产品制造；五金产品批发（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,2122
603270.SH,郑广会,郑广会,薛泰尧,21910.6667,20161009,山东,聊城市,山东金帝精密机械科技股份有限公司主营业务以研发、生产和销售系列轴承保持架、汽车核心零部件为主。产品广泛应用于轨道交通、汽车、数控机床、风力发电、工程机械、新能源汽车、家电等高端装备现已发展成为中国制造业单项冠军示范企业、国家技术企业。,精密机械零部件的研发、生产和销售。,轴承配件、汽车零部件生产、销售；医疗器械生产、销售；软件开发与销售；企业管理咨询服务（不含期货、证券及相关业务咨询；不含金融业务咨询；不含消费储值卡等相关业务）；自营和代理各类商品和技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,4793
603667.SH,张峰,张峰,彭耀辉,38315.1922,19991112,浙江,绍兴市,"浙江五洲新春集团股份有限公司是一家以轴承产业为核心，涉足汽车配件和设备制造等领域的集团化企业，拥有森春、富日泰、富立等十余家全资或控股企业，注册资金1.518亿元，职工2600多人，年产轴承5000万套，轴承套圈2.2亿套，优质轴承钢管30000吨。产品销售与自营出口列居全国轴承行业前列。公司通过多年努力，实现了纵向一体化的产业布局，从轴承成品开始延伸，依次进入热处理、车加工、锻造及钢管等领域，是中国轴承产业链经营领先者。公司主要生产精密汽车轴承、精密数控机床轴承、高速精密纺机轴承、轴连轴承和电机轴承等，主要出口美国、日本、韩国、巴西等国家，汽车轴承配套于尼桑、现代等品牌汽车；轴承套圈稳定供应于世界排名前五位的轴承制造商SKF、Schaeffler、NSK、NTN、JTEKT等跨国集团；精密钢管已通过SKF公司QT3考评及奥托立夫AS2审核，进入世界高端钢管市场；试产成功的汽车安全气囊气体发生器专用钢管填补亚洲空白。公司为国家级高新技术企业，建有省级企业研究院、省级企业技术中心、博士后工作站,“环类零件精密轧制关键技术与装备”项目获得2011年度国家科技进步二等奖。",轴承套圈及成品轴承的研发、生产和销售,一般项目：轴承制造；轴承销售；轴承钢材产品生产；轴承、齿轮和传动部件制造；轴承、齿轮和传动部件销售；机械零件、零部件加工；机械零件、零部件销售；汽车零部件研发；汽车零部件及配件制造；五金产品制造；五金产品批发；工业机器人制造；工业机器人销售；智能机器人的研发；智能机器人销售；货物进出口；技术进出口(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。许可项目：检验检测服务(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。,5048
000551.SZ,周成明,周成明,周微微,48473.3046,19931222,江苏,苏州市,创元科技股份有限公司是一家投资控股型企业，成立于1993年，1994年在深圳证券交易所挂牌上市。截止2017年底，净资产16.17亿元。公司目前股本为400080405股，拥有全资、控股企业7家。　　公司以“集聚主业、做优做强、资本裂变、回报股东”为经营理念。公司主营业务为研发、生产及销售输变电高压绝缘子、洁净环保设备及工程；公司业务还涉足测绘仪器、磨料磨具、滚针轴承、进出口贸易等。公司控股股东苏州创元投资发展（集团）有限公司持有公司34.33%股份，为国有独资公司。　　公司主营产品均具有自主知识产权，在各自细分行业占居领先地位。,主要从事洁净环保工程及设备、输变电高压瓷绝缘子、滚针轴承、各类光机电算一体化测绘仪器、各类磨料磨具等产品的生产经营,国内贸易；自营和代理各类商品和技术的进出口业务；仪器仪表、电子、环保、电工器材、机械、自动化控制设备的开发、制造加工、销售；资产经营，物业管理，信息网络服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,2512
300718.SZ,褚晨剑,褚晨剑,何寅,29877.903,19950614,浙江,嘉兴市,"浙江长盛滑动轴承股份有限公司成立于1995年6月,2011年9月整体改制为股份有限公司,2017年11月在深交所成功上市,2016年本公司的营业收入、资产总额等主要经营指标在规模以上自润滑轴承行业企业中连续四年排名前列。公司是专业从事自润滑轴承的研发、生产和销售的高新技术企业。主要产品双金属自润滑轴承、金属塑料自润滑轴承、金属基自润滑轴承、塑料自润滑轴承,其中50%左右出口欧美、日本等30多个国家和地区,主要用于汽车、工程机械、农业机械、建筑机械、轻工机械以及肮空航天、军工、高速列车、大型施工机械、高速高精数控机床等领域,自润滑轴承已成为轴承行业发展较快的子行业之一。公司拥有省级研究院、省级创新团队,具有较强的自主创新能力。目前已获得43项授权专利,其中国际发明授权专利4项、国内发明授权专利15项。公司先后被评为国家级高新技术企业、浙江省创新型示范企业、浙江省专利示范企业、嘉善高分子材料省级高新技术特色产业基地骨干企业等。","公司主要从事自润滑轴承的研发、生产和销售的高新技术企业,为各工业领域提供自润滑轴承解决方案,并致力于自润滑材料的研发及其在新领域的推广与应用。产品广泛应用于汽车、工程机械、港口机械、塑料机械、农业机械等行业。",生产销售自润滑、固体润滑、水润滑、双金属、含油粉末冶金的滑动轴承、轴瓦、滑块、垫片及其半成品、结构零部件和与产品相配套的专用设备；从事进出口业务（国家限制、禁止的除外）；从事普通货物运输及房产出租业务。,1025
002046.SZ,蒋蔚,闫宁,赵祥功,53619.0854,20011209,河南,洛阳市,国机精工集团股份有限公司主要业务为轴承行业、磨料磨具行业及相关领域的研发制造、行业服务与技术咨询、贸易服务等。从业务类别，可分为轴承业务板块、磨料磨具业务板块、贸易及工程服务板块。在磨料磨具行业，公司产品技术门类较全、装备档次较高、产能规模较大，在超硬材料制品行业处于技术领先地位，是中国超硬材料行业的引领者、推动者。,主要从事轴承、电主轴、轴承专用工艺装备和检测仪器及相关产品的研发、生产、销售以及技术开发业务。,一般项目：轴承制造；轴承销售；轴承、齿轮和传动部件制造；高铁设备、配件制造；高铁设备、配件销售；机械设备销售；机械设备研发；通用设备制造（不含特种设备制造）；非金属矿物制品制造；非金属矿及制品销售；有色金属合金制造；有色金属合金销售；金属工具制造；金属工具销售；实验分析仪器制造；实验分析仪器销售；新材料技术研发；电机及其控制系统研发；电机制造；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；教育咨询服务（不含涉及许可审批的教育培训活动）；企业形象策划；会议及展览服务；市场营销策划；体验式拓展活动及策划；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；人力资源服务（不含职业中介活动、劳务派遣服务）；企业管理咨询；信息咨询服务（不含许可类信息咨询服务）；信息技术咨询服务；风力发电技术服务；非居住房地产租赁；机械设备租赁；普通货物仓储服务（不含危险化学品等需许可审批的项目）；道路货物运输站经营；国内货物运输代理；货物进出口；技术进出口；进出口代理；光伏设备及元器件销售；机械零件、零部件加工；金属表面处理及热处理加工；电镀加工；淬火加工；喷涂加工。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：住宿服务；餐饮服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,2486
