ts_code,name,trade_date,q,a,pub_time,industry
002708.SZ,光洋股份,20260629,尊敬的董秘你好，请问光洋股份有没有直接持有金石成长股权投资（杭州）合伙企业？该合伙企业已投资了宇树科技股权。请董秘如实回答。,您好，公司与您提及的企业不存在股权关系，谢谢。,2026-07-01 16:58:34,制造业
002708.SZ,光洋股份,20260624,董秘您好，我想请问一下光洋股份作为有限合伙人是否参与了“青岛十方新能源创业投资合伙企业（有限合伙）”的设立？该基金于2021年参与了宇树科技的B轮融资。,您好，公司未参与，感谢您的关注。,2026-06-26 16:59:52,制造业
002708.SZ,光洋股份,20260622,尊敬的董秘，你好！请问公司同步器行星排产品毛利率是多少？业务收入占比多少？AI算力需求快速增长、 PCB线路板业务占比多少？机器人防爆巡查机器人6月份批量交货了吗？半年度报会提前预报吗？谢谢如实告知。,您好，据2025年度报告数据显示，公司同步器行星排产品毛利率为20.02%，占营业收入比重为19.93%，线路板业务占营业收入比重为10.80%。公司将严格按照监管规则及时履行信息披露义务，相关项目进展及具体经营情况请届时关注公司披露的定期报告，谢谢。,2026-06-24 16:24:08,制造业
002708.SZ,光洋股份,20260615,尊敬的董秘，你好，贵公司近几天可以减持两大类股份.请问近段时间有没有减持.减持多少.减持完毕没有？如果减持的话，为什么不考虑企业的市值价格管理，一股脑的往下减持。请董秘你落实告知。,您好！感谢您对公司的关注。公司一贯重视市值管理工作，并持续努力提升公司长期投资价值。公司如有应披露的信息，将严格按照相关法律法规履行信息披露义务。谢谢！,2026-06-17 16:46:07,制造业
002708.SZ,光洋股份,20260615,普通投资者第一眼看到光洋股份还以为海洋捕捞的。认真看了以后才知道贵公司是做精密轴承、人形机器人配件PCB线路板.减速器、低空飞行等业务。贵公司的产品面向全国，虽然从江苏常州出来，还是与世俱进，希望用一个响亮的名称代表企业主业的未来，建议公司更变企业名称加入产品未来发展代表的名称。取一个响当当的名称，这样有利于企业的发展，谢谢董秘。,您好！感谢您对公司的关注和建议。谢谢！,2026-06-17 16:43:41,制造业
002708.SZ,光洋股份,20260611,董秘你好！请问光洋股份有没有向特斯拉人形机器人送样产品或供货阶段？,您好：\n          感谢您对公司的关注。公司正全力推进人形机器人相关业务布局，相关业务信息请关注公司在指定媒体披露的定期报告或公告的内容。谢谢!,2026-06-16 15:10:31,制造业
002708.SZ,光洋股份,20260610,您好，请问贵司截止到 6 月 10 日的股东人数是多少?謝謝,您好，为保证所有投资者平等获悉公司信息，公司将在定期报告中披露对应时点的股东人数，感谢您的关注。,2026-06-12 17:03:13,制造业
002708.SZ,光洋股份,20260604,董秘你好，请问光洋股份是宇树科技头部合作供应商吗？光洋股份间接持有宇宙科技股份吗？光洋股份是智元人形机器人供应商吗？,您好，公司未持有宇树科技股份。目前公司正全力推进人形机器人相关业务布局，有关业务情况请关注定期报告披露的内容，涉及部分具体客户名称不便披露，谢谢！,2026-06-10 17:37:34,制造业
002708.SZ,光洋股份,20260604,董秘你好！请问光洋股份和人形机器人、宇树科技和智源科技两大头部人形机器人公司的配件供应商吗？有没有投资宇宙科技股份？,您好，公司未持有宇树科技股份。目前公司正全力推进人形机器人相关业务布局，有关业务情况请关注定期报告披露的内容，涉及部分具体客户名称不便披露，谢谢！,2026-06-10 17:37:01,制造业
002708.SZ,光洋股份,20260601,请问截至6月1日，公司股东人数。别的董秘都回答，为啥你们公司那么懒？！,您好，为保证所有投资者平等获悉公司信息，公司将在定期报告中披露对应时点的股东人数，感谢您的关注。,2026-06-03 16:35:56,制造业
002708.SZ,光洋股份,20260317,你好，请问25年年报何时披露。,您好，目前公司2025年年报预约披露日期为2026年4月29日，感谢您的关注！,2026-03-18 16:55:55,制造业
002708.SZ,光洋股份,20260104,请问贵公司是否有通过并购汽车零部件企业，扩大企业规模、提升市值的想法？,您好，公司始终关注行业发展动态，并结合自身战略规划，积极寻找合适的投资标的，与现有业务形成协同效应，促进公司内生式增长和外延式扩张的协调发展，进一步扩张公司规模，实现公司持续稳健发展，为投资者创造良好的回报。感谢您的关注！,2026-01-06 16:59:25,制造业
002708.SZ,光洋股份,20251219,董秘您好！请问贵司在智能驾驶业务方面有哪些布局？谢谢！,您好，公司积极布局智能驾驶业务，提高公司在线控底盘、车载显示、智能感知系统等方面的产品供应能力，相关定点项目开发与配套正在有序推进中，目前在线控底盘核心部件方面已经取得较大进展，部分零件已经为行业头部客户进行量产。感谢您的关注！,2025-12-23 17:21:24,制造业
002708.SZ,光洋股份,20251219,董秘您好，请问贵司在智驾领域是否有线控底盘、线控转向、线控制动的业务开展？是否已经拿到了龙头公司的定点和订单？,您好，公司积极拓展智能驾驶领域的核心部件供应能力，在线控产品、车载显示、智能感知系统等方面均有积极布局，已定点项目正在有序开发，如公司与国内某龙头线控底盘公司的主动悬架类减速器项目、国内某头部新能源整车企业EMB线控制动项目、智能制动项目、T3*项目等。同时，公司与多家主机厂品牌车载摄像头软硬结合板实现规模化量产，正与多家头部车企协同开发应用于压力传感器的新型软板组件，谢谢。,2025-12-23 17:20:23,制造业
