ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002896.SZ,20260702,76.05,81.68,75.5,77.84,76.36,1.48,1.9382,166829.35,1314745.93971
002896.SZ,20260701,76.08,78.29,75.69,76.36,76.38,-0.02,-0.0262,128405.46,986278.52818
002896.SZ,20260630,74.19,76.96,72.21,76.38,71.76,4.62,6.4381,143040.56,1070087.06204
002896.SZ,20260629,70.1,72.5,67.83,71.76,70.3,1.46,2.0768,113131.12,790883.08749
002896.SZ,20260626,72.71,73.3,70.3,70.3,73.04,-2.74,-3.7514,93608.01,669060.49065
002896.SZ,20260625,76.0,77.09,72.74,73.04,76.87,-3.83,-4.9824,147216.11,1096233.76378
002896.SZ,20260624,79.05,80.35,76.47,76.87,79.29,-2.42,-3.0521,113252.41,878504.94791
002896.SZ,20260623,78.5,81.54,76.0,79.29,79.67,-0.38,-0.477,137480.77,1088425.93311
002896.SZ,20260622,81.13,82.38,78.0,79.67,82.3,-2.63,-3.1956,151718.48,1209204.77611
002896.SZ,20260618,79.72,83.35,79.72,82.3,79.69,2.61,3.2752,176612.57,1446591.06766
002896.SZ,20260617,79.2,80.39,78.0,79.69,80.51,-0.82,-1.0185,111890.87,887157.89097
002896.SZ,20260616,79.74,81.81,79.06,80.51,80.41,0.1,0.1244,142055.48,1143201.62525
002896.SZ,20260615,78.28,80.76,77.89,80.41,78.28,2.13,2.721,144503.49,1151943.82531
002896.SZ,20260612,82.5,83.33,78.0,78.28,81.56,-3.28,-4.0216,200259.64,1608056.13192
002896.SZ,20260611,86.77,87.0,81.56,81.56,90.62,-9.06,-9.9978,200269.25,1658345.6409
002896.SZ,20260610,88.8,93.84,88.03,90.62,90.69,-0.07,-0.0772,247030.9,2240875.04331
002896.SZ,20260609,90.0,91.44,87.71,90.69,95.2,-4.51,-4.7374,305126.23,2724862.58746
002896.SZ,20260608,88.0,95.4,87.58,95.2,86.77,8.43,9.7153,429542.3,3897644.175
002896.SZ,20260605,78.0,86.77,74.41,86.77,78.88,7.89,10.0025,287153.43,2351434.358
002896.SZ,20260604,77.99,81.99,76.95,78.88,78.9,-0.02,-0.0253,171498.32,1372340.124
002896.SZ,20260603,81.7,83.88,78.3,78.9,81.7,-2.8,-3.4272,266155.11,2165710.327
002896.SZ,20260602,80.11,81.7,79.16,81.7,74.27,7.43,10.004,166998.07,1357183.054
002896.SZ,20260601,74.18,76.99,73.6,74.27,75.82,-1.55,-2.0443,114462.32,859731.901
002896.SZ,20260529,81.42,81.45,75.0,75.82,82.24,-6.42,-7.8064,170926.91,1322066.048
002896.SZ,20260528,85.25,86.4,79.8,82.24,86.11,-3.87,-4.4943,195455.32,1606919.344
002896.SZ,20260527,87.01,92.2,84.86,86.11,89.68,-3.57,-3.9808,275713.11,2426409.553
002896.SZ,20260526,86.0,89.68,86.0,89.68,81.53,8.15,9.9963,304345.19,2692918.157
002896.SZ,20260525,80.68,82.72,80.0,81.53,80.36,1.17,1.4559,117409.09,956700.445
002896.SZ,20260522,80.0,81.05,77.86,80.36,79.93,0.43,0.538,108733.4,869090.656
