ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,ps,total_mv,circ_mv
300421.SZ,20260702,19.5,7.5919,2.02,82.8354,96.9461,4.4364,5.1698,573359.475,449090.46
300421.SZ,20260701,18.9,4.6356,1.32,80.2866,93.9632,4.2999,5.0107,555717.645,435272.292
300421.SZ,20260630,18.51,3.644,1.02,78.6299,92.0242,4.2112,4.9073,544250.4555,426290.4828
300421.SZ,20260629,17.81,3.4559,0.83,75.6563,88.5441,4.0519,4.7217,523668.3205,410169.2868
300421.SZ,20260626,17.95,3.2544,0.78,76.2511,89.2401,4.0838,4.7588,527784.7475,413393.526
300421.SZ,20260625,18.65,3.8389,0.95,79.2246,92.7203,4.243,4.9444,548366.8825,429514.722
300421.SZ,20260624,19.36,3.3257,0.84,82.2407,96.2501,4.4046,5.1326,569243.048,445866.2208
300421.SZ,20260623,19.9,3.9145,1.05,84.5346,98.9347,4.5274,5.2758,585120.695,458302.572
300421.SZ,20260622,19.8,6.3638,2.05,84.1098,98.4376,4.5047,5.2493,582180.39,455999.544
300421.SZ,20260618,20.29,3.4824,1.1,86.1913,100.8737,4.6162,5.3792,596587.8845,467284.3812
300421.SZ,20260617,20.17,3.0227,0.9,85.6815,100.2771,4.5889,5.3474,593059.5185,464520.7476
300421.SZ,20260616,20.49,2.9939,0.85,87.0409,101.868,4.6617,5.4322,602468.4945,471890.4372
300421.SZ,20260615,20.41,2.7562,0.7,86.7011,101.4703,4.6435,5.411,600116.2505,470048.0148
300421.SZ,20260612,20.17,3.3005,0.7,85.6815,100.2771,4.5889,5.3474,593059.5185,464520.7476
300421.SZ,20260611,20.42,3.753,0.79,86.7435,101.52,4.8099,5.4137,600410.2483,470278.3625
300421.SZ,20260610,20.43,4.0619,0.86,86.786,101.5697,4.8122,5.4163,600704.2788,470508.6653
300421.SZ,20260609,21.81,3.7321,0.74,92.6482,108.4305,5.1373,5.7822,641280.4856,502290.4548
300421.SZ,20260608,21.89,4.74,0.99,92.988,108.8282,5.1561,5.8034,643632.7295,504132.8774
300421.SZ,20260605,22.26,7.2598,1.61,94.5598,110.6677,5.2433,5.9015,654511.8574,512654.0818
300421.SZ,20260604,21.87,3.9251,0.78,92.9031,108.7288,4.9756,5.7981,643044.6685,503672.2717
300421.SZ,20260603,21.81,4.0298,0.66,92.6482,108.4305,4.962,5.7822,641280.4856,502290.4548
300421.SZ,20260602,22.29,5.1226,0.76,94.6872,110.8169,5.0712,5.9094,655393.9488,513344.9902
300421.SZ,20260601,22.41,3.6887,0.48,95.197,111.4134,5.0985,5.9412,658922.3146,516108.6241
300421.SZ,20260529,22.39,5.8245,0.64,95.112,111.314,5.0939,5.9359,658334.2537,515648.0185
300421.SZ,20260528,23.88,6.4697,0.6,101.4415,118.7217,5.4329,6.331,702144.7958,549963.1389
300421.SZ,20260527,24.22,9.2781,0.87,102.8858,120.412,5.5103,6.4211,712141.8322,557793.4349
300421.SZ,20260526,26.38,8.3134,0.73,112.0614,131.1507,6.0017,6.9938,775652.4168,607538.8444
300421.SZ,20260525,27.12,8.8519,0.73,115.2049,134.8297,6.17,7.1899,797410.6726,624581.2533
300421.SZ,20260522,27.96,12.6692,1.07,118.7732,139.0058,6.3611,7.4126,822109.2333,643926.6903
