ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
300421.SZ,20251231,钢球,P,943674981.56,148528257.17,795146724.39,CNY
300421.SZ,20251231,滚子,P,146116070.05,25397025.95,120719044.1,CNY
300421.SZ,20251231,其他业务,P,19274030.16,8796236.94,10477793.22,CNY
300421.SZ,20250630,陶瓷球,P,76508.3,51423.78,25084.52,CNY
300421.SZ,20250630,钢球,P,454824522.44,74802483.19,380022039.25,CNY
300421.SZ,20250630,滚子,P,70911227.27,13441098.64,57470128.63,CNY
300421.SZ,20250630,废料销售,P,3119472.85,,,CNY
300421.SZ,20250630,加工、包装服务,P,6138522.42,243079.16,5895443.26,CNY
300421.SZ,20250630,其他主营业务,P,16386.67,1408.14,14978.53,CNY
300421.SZ,20241231,钢球,P,896237116.39,142132811.96,754104304.43,CNY
300421.SZ,20241231,滚子,P,123079506.41,23526933.05,99552573.36,CNY
300421.SZ,20241231,其他业务,P,25253136.6,10509634.96,14743501.64,CNY
300421.SZ,20240630,钢球,P,441467488.38,76929084.62,364538403.76,CNY
300421.SZ,20240630,滚子,P,56456029.4,12418891.36,44037138.04,CNY
300421.SZ,20240630,废料销售,P,4106130.44,,,CNY
300421.SZ,20240630,加工、包装服务,P,9837859.31,1923969.74,7913889.57,CNY
300421.SZ,20240630,其他业务收入,P,26866.6,-3267.38,30133.98,CNY
300421.SZ,20240630,其他业务,P,26866.6,-3267.38,30133.98,CNY
