ts_code,name,trade_date,q,a,pub_time,industry
300421.SZ,力星股份,20260616,董秘您好，请问截止到6月10日，公司最新的股东数量是多少？谢谢！！,"您好，截止2026年6月10日，公司股东人数为40,868.00，感谢您对公司的关注！",2026-06-17 15:54:31,制造业
300421.SZ,力星股份,20260528,请问5月20日贵公司官方公众号发布信息，双方就欧洲和北美汽车项目深度战略合作、陶瓷球项目的持续推进及全球化业务支撑展开深入交流，在现有业务合作基础上进一步巩固全球供应链协同，加速陶瓷球产品的联合开发与应用落地。为何后来删除消息？作为二级市场投资者，非常关注。谢谢,尊敬的投资者您好，感谢您对公司动态的持续关注与监督，公司公众号内容的调整属于内部正常审核调整。再次感谢您的理解与支持！,2026-06-05 15:55:03,制造业
300421.SZ,力星股份,20260521,尊敬的董秘，请问截止到5月20日的最新股东人数是多少，谢谢！,您好，根据中国证券登记结算有限责任公司下发数据，截至 2026 年 5 月 20 日，公司股东总户数为 46186 户，感谢您对公司的关注！,2026-06-05 15:41:36,制造业
300421.SZ,力星股份,20260508,董秘:你好！贵司向特别对象发行股票一事是否有具体的时间进度表？什么时候落实到位？能否具体说明一下！,您好！公司2026 年度向特定对象发行 A 股股票事项，已于2026 年 1 月 28 日经董事会审议通过，并于2026 年 3 月 6 日召开 2026 年第一次临时股东会，相关预案已获股东会审议通过。目前，公司正全力推进本次再融资事项，相关进展请以公司后续公告为准。感谢您的关注！,2026-05-27 16:26:36,制造业
300421.SZ,力星股份,20260428,请问截止4月30日，股东人数是多少？一季报业绩大幅不及预期是什么原因造成？,"您好，截止2026年4月30日，公司股东人数为40,693。2026年第一季度公司营业收入较去年同期上升5.5%，净利润主要因为汇率波动下降所致，感谢您对公司的关注！",2026-05-27 16:25:47,制造业
300421.SZ,力星股份,20260422,咨询一下，26年一季度产能利用情况？,您好，2026年第一季度经营情况请查阅公司《2026年第一季度报告》，感谢您对公司的关注！,2026-04-28 16:03:26,制造业
300421.SZ,力星股份,20260416,请问最新的股东户数,"您好，截至4月20日公司的股东人数为43,093.00，感谢您对公司的关注!",2026-04-28 16:12:54,制造业
300421.SZ,力星股份,20260402,董秘好！请问到2026.04.01截止，力星股份十大流通股东名单。谢谢,您好，公司前十大股东情况请查阅定期报告，感谢您对公司的关注！,2026-04-28 16:08:33,制造业
300421.SZ,力星股份,20260401,截止2026年3月31日，股东人数是多少？一季度业绩同比、环比情况如何？,"您好，截至3月31日公司的股东人数为41,880.00，一季度业绩请查阅公司《2026年第一季度报告》，感谢您对公司的关注!",2026-04-28 16:14:04,制造业
300421.SZ,力星股份,20260323,尊敬的董秘，你好，请问截止2026年3月20日贵公司的股东人数是多少？谢谢！,"您好，截至2026年3月20日公司的股东人数为41,684.00，感谢您对公司的关注!",2026-04-28 16:15:08,制造业
