model_key,trade_date,stock_code,time_slot,total_score,grade,rank_in_day,ret_1d,is_win_1d,ret_3d,is_win_3d,ret_5d,is_win_5d,ret_10d,is_win_10d,ret_20d,f_gain_14,f_ma_score,f_gain_score,f_peer_count,f_seal_score,f_volume_score,f_turnover_score,f_afternoon_score,f_resonance_score,f_leadership_bonus,f_sector_leader_score,f_sector_momentum_score
leader_closing_v3,2026-03-16,688359,14:40,103.0,S,1,-6.52406417112299,False,,,,,,,,8.18,5,10,13,6,7,2,12,5,6,12,7
leader_closing_v3,2026-03-16,002837,14:40,98.5,S,2,-3.6162923486867116,False,,,,,,,,8.51,0,14,10,6,7,10,12,5,6,24,7
leader_closing_v3,2026-03-16,688700,14:40,98.5,S,3,-5.733902393765078,False,,,,,,,,10.02,5,18,10,6,7,4,12,5,6,12,7
leader_closing_v3,2026-03-16,688668,14:40,93.9,S,4,-5.5803724829908585,False,,,,,,,,8.05,0,10,6,6,7,2,10,5,6,12,7
leader_closing_v3,2026-03-16,688347,14:40,84.8,S,5,-5.140291806958475,False,,,,,,,,11.32,3,18,23,6,7,10,12,5,6,12,7
leader_closing_v3,2026-03-16,002969,14:40,12.1,C,6,3.4236804564907297,True,,,,,,,,8.76,3,12,1,6,7,8,12,5,0,6,7
leader_intraday_v7,2026-03-16,688359,14:40,90.0,S,1,-6.52406417112299,False,,,,,,,,8.18,5,10,13,6,7,2,12,5,6,12,7
leader_intraday_v7,2026-03-16,688700,14:40,89.0,S,2,-5.733902393765078,False,,,,,,,,10.02,5,18,10,6,7,4,12,5,6,12,7
leader_intraday_v7,2026-03-16,688668,14:40,88.0,S,3,-5.5803724829908585,False,,,,,,,,8.05,0,10,6,6,7,2,10,5,6,12,7
leader_intraday_v7,2026-03-16,688347,14:40,86.0,S,4,-5.140291806958475,False,,,,,,,,11.32,3,18,23,6,7,10,12,5,6,12,7
leader_closing_v3,2026-03-17,601016,14:40,89.0,S,1,-3.296703296703285,False,,,,,,,,8.94,5,12,5,6,7,10,12,5,6,24,7
leader_closing_v3,2026-03-17,000912,14:40,86.0,S,2,-10.046367851622861,False,,,,,,,,8.33,5,10,5,6,7,4,12,5,6,24,7
leader_closing_v3,2026-03-17,000420,14:40,81.0,S,3,-7.846715328467169,False,,,,,,,,8.04,5,10,3,6,7,8,12,5,6,18,7
leader_closing_v3,2026-03-18,688818,14:40,100.0,S,1,-1.7857142857142905,False,,,,,,,,8.63,0,12,6,6,7,6,12,5,6,12,7
leader_closing_v3,2026-03-18,002202,14:40,91.7,S,2,-3.8387096774193608,False,,,,,,,,8.09,5,10,24,6,7,10,12,5,6,24,7
leader_closing_v3,2026-03-18,000534,14:40,75.0,S,3,-2.780996523754331,False,,,,,,,,8.41,0,10,5,6,7,2,12,5,6,24,7
